------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Alexander County",37003,5.9,2187,"1050 of 3141"
"Burke County",37023,6.0,5301,"1045 of 3141"
"Davie County",37059,6.1,2554,"1025 of 3141"
"Randolph County",37151,6.3,8958,"1010 of 3141"
"Buncombe County",37021,6.3,15871,"1008 of 3141"
"Catawba County",37035,8.1,12635,"895 of 3141"
"Davidson County",37057,9.1,14998,"834 of 3141"
"Rutherford County",37161,10.1,6735,"790 of 3141"
"Brunswick County",37019,10.6,13028,"768 of 3141"
"Stanly County",37167,11.1,6784,"746 of 3141"
"Union County",37179,11.5,25619,"724 of 3141"
"Orange County",37135,11.6,16509,"718 of 3141"
"Chatham County",37037,12.0,8235,"707 of 3141"
"Iredell County",37097,12.4,21135,"698 of 3141"
"Moore County",37125,12.5,11811,"694 of 3141"
"New Hanover County",37129,14.2,31246,"637 of 3141"
"Camden County",37029,14.3,1475,"636 of 3141"
"Onslow County",37133,14.3,27618,"633 of 3141"
"Johnston County",37101,15.4,28671,"600 of 3141"
"Pender County",37141,15.7,9028,"598 of 3141"
"Gaston County",37071,15.7,33624,"597 of 3141"
"Rowan County",37159,16.2,22573,"584 of 3141"
"Cabarrus County",37025,17.2,33787,"564 of 3141"
"Pamlico County",37137,18.6,2375,"532 of 3141"
"Rockingham County",37157,18.6,17054,"530 of 3141"
"Montgomery County",37123,18.6,5117,"529 of 3141"
"Alamance County",37001,19.0,29972,"521 of 3141"
"Lee County",37105,19.1,11408,"517 of 3141"
"Wake County",37183,20.4,208642,"491 of 3141"
"Cleveland County",37045,20.8,20197,"482 of 3141"
"Harnett County",37085,21.2,27243,"473 of 3141"
"Craven County",37049,21.4,22141,"465 of 3141"
"Robeson County",37155,24.1,32308,"424 of 3141"
"Perquimans County",37143,24.2,3268,"418 of 3141"
"Duplin County",37061,24.8,14723,"407 of 3141"
"Sampson County",37163,25.3,16118,"400 of 3141"
"Franklin County",37069,25.7,16395,"391 of 3141"
"Forsyth County",37067,26.0,95834,"386 of 3141"
"Beaufort County",37013,26.5,12526,"380 of 3141"
"Person County",37145,27.1,10633,"373 of 3141"
"Wayne County",37191,30.4,37887,"309 of 3141"
"Jones County",37103,30.5,2985,"307 of 3141"
"Hyde County",37095,30.7,1690,"305 of 3141"
"Columbus County",37047,30.9,17479,"303 of 3141"
"Granville County",37077,31.0,18161,"299 of 3141"
"Mecklenburg County",37119,31.2,322495,"296 of 3141"
"Richmond County",37153,31.2,14176,"295 of 3141"
"Gates County",37073,32.9,3820,"274 of 3141"
"Caswell County",37033,33.0,7546,"272 of 3141"
"Hoke County",37093,33.3,17523,"269 of 3141"
"Guilford County",37081,33.7,174443,"260 of 3141"
"Chowan County",37041,33.9,4869,"257 of 3141"
"Pitt County",37147,34.6,61105,"251 of 3141"
"Bladen County",37017,34.9,11901,"249 of 3141"
"Tyrrell County",37177,35.7,1462,"235 of 3141"
"Greene County",37079,35.9,7564,"231 of 3141"
"Pasquotank County",37139,36.3,14338,"224 of 3141"
"Cumberland County",37051,36.6,121699,"220 of 3141"
"Durham County",37063,37.3,112351,"212 of 3141"
"Scotland County",37165,38.7,13726,"201 of 3141"
"Nash County",37127,39.3,37007,"197 of 3141"
"Lenoir County",37107,39.3,22791,"196 of 3141"
"Wilson County",37195,39.7,32307,"194 of 3141"
"Martin County",37117,41.9,9734,"165 of 3141"
"Washington County",37187,48.2,5949,"110 of 3141"
"Anson County",37007,48.6,12417,"107 of 3141"
"Vance County",37181,50.0,22210,"99 of 3141"
"Warren County",37185,50.4,10173,"93 of 3141"
"Halifax County",37083,52.8,27619,"84 of 3141"
"Northampton County",37131,57.1,11654,"58 of 3141"
"Edgecombe County",37065,57.2,30911,"57 of 3141"
"Hertford County",37091,58.0,14067,"54 of 3141"
"Bertie County",37015,62.0,12349,"39 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
