------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Madison County",37115,15.4,2332,"2040 of 3141"
"Rowan County",37159,15.5,14719,"2063 of 3141"
"Lincoln County",37109,15.6,8870,"2079 of 3141"
"Franklin County",37069,15.8,6921,"2103 of 3141"
"Gaston County",37071,15.9,23424,"2125 of 3141"
"Catawba County",37035,16.0,17152,"2129 of 3141"
"Cleveland County",37045,16.0,10642,"2138 of 3141"
"Chowan County",37041,16.1,1685,"2141 of 3141"
"Granville County",37077,16.4,6707,"2179 of 3141"
"Wayne County",37191,16.5,13597,"2200 of 3141"
"Martin County",37117,16.6,2758,"2208 of 3141"
"Davidson County",37057,16.6,19010,"2213 of 3141"
"Yancey County",37199,16.8,2188,"2236 of 3141"
"Stokes County",37169,16.9,5665,"2247 of 3141"
"Mitchell County",37121,17.3,1942,"2308 of 3141"
"McDowell County",37111,17.5,5659,"2336 of 3141"
"Lee County",37105,18.0,7145,"2384 of 3141"
"Alexander County",37003,18.1,4805,"2392 of 3141"
"Graham County",37075,18.2,1101,"2403 of 3141"
"Jones County",37103,18.2,1317,"2405 of 3141"
"Rutherford County",37161,18.6,8834,"2442 of 3141"
"Rockingham County",37157,18.8,12288,"2462 of 3141"
"Wilson County",37195,19.3,10631,"2523 of 3141"
"Randolph County",37151,19.4,18985,"2526 of 3141"
"Columbus County",37047,19.4,7605,"2529 of 3141"
"Avery County",37011,19.5,2574,"2538 of 3141"
"Burke County",37023,19.5,12425,"2549 of 3141"
"Swain County",37173,19.6,1926,"2560 of 3141"
"Richmond County",37153,19.8,6048,"2578 of 3141"
"Lenoir County",37107,19.9,7991,"2587 of 3141"
"Warren County",37185,19.9,2882,"2591 of 3141"
"Anson County",37007,19.9,3605,"2592 of 3141"
"Hertford County",37091,20.0,3380,"2604 of 3141"
"Hyde County",37095,20.6,819,"2661 of 3141"
"Yadkin County",37197,20.7,5488,"2664 of 3141"
"Bladen County",37017,20.8,5045,"2671 of 3141"
"Alleghany County",37005,21.1,1708,"2710 of 3141"
"Caldwell County",37027,21.3,12471,"2727 of 3141"
"Edgecombe County",37065,21.5,7879,"2743 of 3141"
"Scotland County",37165,21.6,5095,"2755 of 3141"
"Wilkes County",37193,21.7,10590,"2760 of 3141"
"Surry County",37171,21.7,11022,"2766 of 3141"
"Vance County",37181,21.8,6488,"2775 of 3141"
"Northampton County",37131,21.9,3299,"2782 of 3141"
"Montgomery County",37123,22.1,4171,"2793 of 3141"
"Caswell County",37033,22.4,3729,"2820 of 3141"
"Washington County",37187,22.6,1925,"2830 of 3141"
"Sampson County",37163,22.7,9659,"2840 of 3141"
"Robeson County",37155,22.9,19627,"2857 of 3141"
"Halifax County",37083,23.1,8422,"2866 of 3141"
"Bertie County",37015,23.9,3502,"2911 of 3141"
"Greene County",37079,24.8,3680,"2957 of 3141"
"Tyrrell County",37177,25.6,821,"2985 of 3141"
"Duplin County",37061,26.7,10623,"3025 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
