------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Halifax County",37083,9.6,2066,"2785 of 3141"
"Martin County",37117,9.6,986,"2787 of 3141"
"Robeson County",37155,9.6,5105,"2794 of 3141"
"Wayne County",37191,9.7,5540,"2811 of 3141"
"Hertford County",37091,10.0,1020,"2852 of 3141"
"Cumberland County",37051,10.0,13819,"2858 of 3141"
"Richmond County",37153,10.0,1937,"2860 of 3141"
"Pitt County",37147,10.1,9206,"2868 of 3141"
"Northampton County",37131,10.2,807,"2885 of 3141"
"Edgecombe County",37065,10.2,2476,"2886 of 3141"
"Cleveland County",37045,10.3,4631,"2888 of 3141"
"Washington County",37187,10.4,530,"2910 of 3141"
"Onslow County",37133,10.6,7349,"2925 of 3141"
"Person County",37145,10.9,2073,"2951 of 3141"
"Vance County",37181,11.0,2245,"2953 of 3141"
"Hyde County",37095,11.0,253,"2955 of 3141"
"Jones County",37103,11.5,508,"2984 of 3141"
"Lenoir County",37107,11.6,3122,"2988 of 3141"
"Chowan County",37041,11.9,738,"3010 of 3141"
"Hoke County",37093,12.4,2526,"3027 of 3141"
"Bertie County",37015,12.7,1060,"3037 of 3141"
"Scotland County",37165,12.7,1703,"3039 of 3141"
"Anson County",37007,13.4,1574,"3053 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
