------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Currituck County",37053,22.9,4091,"990 of 3141"
"Davie County",37059,23.0,6821,"985 of 3141"
"Clay County",37043,23.1,1893,"971 of 3141"
"Cumberland County",37051,24.3,49477,"851 of 3141"
"Craven County",37049,24.3,16319,"849 of 3141"
"Haywood County",37087,24.3,10894,"848 of 3141"
"Pender County",37141,25.6,10373,"757 of 3141"
"Madison County",37115,25.9,3935,"733 of 3141"
"Carteret County",37031,26.7,13742,"679 of 3141"
"Iredell County",37097,26.9,31154,"653 of 3141"
"Brunswick County",37019,28.0,26690,"586 of 3141"
"Dare County",37055,29.8,7841,"494 of 3141"
"Transylvania County",37175,29.9,7482,"492 of 3141"
"Cabarrus County",37025,30.0,38790,"489 of 3141"
"Jackson County",37099,30.5,8138,"455 of 3141"
"Pitt County",37147,30.9,32579,"433 of 3141"
"Henderson County",37089,31.2,25886,"412 of 3141"
"Polk County",37149,31.9,4996,"377 of 3141"
"Forsyth County",37067,33.8,82982,"309 of 3141"
"Union County",37179,34.0,47757,"305 of 3141"
"Guilford County",37081,34.9,120356,"266 of 3141"
"Moore County",37125,36.0,24440,"239 of 3141"
"Buncombe County",37021,38.5,70716,"189 of 3141"
"New Hanover County",37129,38.9,58164,"180 of 3141"
"Chatham County",37037,40.1,20033,"159 of 3141"
"Watauga County",37189,41.7,12571,"129 of 3141"
"Mecklenburg County",37119,44.1,303197,"100 of 3141"
"Durham County",37063,47.3,96799,"70 of 3141"
"Wake County",37183,51.0,345121,"40 of 3141"
"Orange County",37135,57.6,50385,"14 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
