------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Lee County",37105,12.5,1883,"1994 of 3141"
"Franklin County",37069,12.5,2201,"1998 of 3141"
"Gaston County",37071,12.8,6952,"2071 of 3141"
"Macon County",37113,12.9,1291,"2089 of 3141"
"Perquimans County",37143,13.1,526,"2116 of 3141"
"Yadkin County",37197,13.1,1408,"2121 of 3141"
"Alamance County",37001,13.3,5528,"2160 of 3141"
"Haywood County",37087,13.4,2298,"2164 of 3141"
"Ashe County",37009,13.4,1130,"2168 of 3141"
"Forsyth County",37067,13.4,12278,"2181 of 3141"
"Pasquotank County",37139,13.5,1324,"2194 of 3141"
"Harnett County",37085,13.5,4329,"2201 of 3141"
"Swain County",37173,13.6,472,"2218 of 3141"
"Graham County",37075,13.7,309,"2242 of 3141"
"Person County",37145,13.9,1486,"2289 of 3141"
"Rutherford County",37161,14.2,2461,"2336 of 3141"
"Jackson County",37099,14.3,1394,"2343 of 3141"
"Beaufort County",37013,14.3,1784,"2350 of 3141"
"Caswell County",37033,14.4,915,"2358 of 3141"
"Burke County",37023,14.4,3331,"2368 of 3141"
"Cumberland County",37051,14.7,11568,"2395 of 3141"
"Martin County",37117,14.7,946,"2405 of 3141"
"Rockingham County",37157,14.9,3657,"2435 of 3141"
"Montgomery County",37123,14.9,1082,"2436 of 3141"
"Pitt County",37147,15.3,6307,"2484 of 3141"
"Alleghany County",37005,15.5,530,"2512 of 3141"
"McDowell County",37111,15.5,2002,"2523 of 3141"
"Warren County",37185,15.6,767,"2535 of 3141"
"Wilson County",37195,15.6,3324,"2539 of 3141"
"Cleveland County",37045,15.7,4008,"2549 of 3141"
"Wayne County",37191,16.0,5122,"2570 of 3141"
"Yancey County",37199,16.2,812,"2590 of 3141"
"Wilkes County",37193,16.3,3081,"2605 of 3141"
"Lenoir County",37107,16.5,2523,"2635 of 3141"
"Vance County",37181,16.6,1779,"2642 of 3141"
"Hoke County",37093,16.8,2122,"2658 of 3141"
"Chowan County",37041,16.8,688,"2660 of 3141"
"Bertie County",37015,16.9,830,"2675 of 3141"
"Greene County",37079,17.5,867,"2725 of 3141"
"Sampson County",37163,17.8,2743,"2748 of 3141"
"Anson County",37007,18.1,1114,"2774 of 3141"
"Duplin County",37061,18.3,2708,"2785 of 3141"
"Columbus County",37047,18.4,2700,"2790 of 3141"
"Washington County",37187,18.7,556,"2817 of 3141"
"Bladen County",37017,18.8,1771,"2827 of 3141"
"Tyrrell County",37177,19.7,199,"2879 of 3141"
"Hertford County",37091,19.7,1119,"2884 of 3141"
"Northampton County",37131,20.2,1163,"2903 of 3141"
"Edgecombe County",37065,20.5,2957,"2918 of 3141"
"Jones County",37103,20.5,584,"2919 of 3141"
"Halifax County",37083,21.0,2902,"2947 of 3141"
"Richmond County",37153,21.2,2529,"2958 of 3141"
"Robeson County",37155,23.6,7392,"3018 of 3141"
"Hyde County",37095,24.8,335,"3041 of 3141"
"Scotland County",37165,26.4,2361,"3064 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
