------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Catawba County",37035,5.4,5774,"1982 of 3141"
"Franklin County",37069,5.4,2363,"1986 of 3141"
"Hoke County",37093,5.5,1838,"2022 of 3141"
"Ashe County",37009,5.5,1121,"2039 of 3141"
"Camden County",37029,5.6,396,"2040 of 3141"
"Yancey County",37199,5.6,724,"2042 of 3141"
"Johnston County",37101,5.6,6817,"2045 of 3141"
"Rowan County",37159,5.6,5313,"2054 of 3141"
"Cherokee County",37039,5.6,1173,"2059 of 3141"
"Jones County",37103,5.6,408,"2079 of 3141"
"Alleghany County",37005,5.7,461,"2102 of 3141"
"Durham County",37063,5.7,11775,"2114 of 3141"
"Rockingham County",37157,5.8,3790,"2134 of 3141"
"Davidson County",37057,5.8,6627,"2135 of 3141"
"Perquimans County",37143,5.8,585,"2138 of 3141"
"Alexander County",37003,5.9,1554,"2156 of 3141"
"Alamance County",37001,5.9,6249,"2164 of 3141"
"Hyde County",37095,5.9,234,"2170 of 3141"
"Warren County",37185,5.9,856,"2176 of 3141"
"Scotland County",37165,6.0,1416,"2205 of 3141"
"Martin County",37117,6.1,1015,"2228 of 3141"
"Columbus County",37047,6.3,2486,"2304 of 3141"
"Hertford County",37091,6.4,1079,"2322 of 3141"
"McDowell County",37111,6.5,2093,"2340 of 3141"
"Avery County",37011,6.5,865,"2360 of 3141"
"Randolph County",37151,6.7,6600,"2410 of 3141"
"Swain County",37173,6.8,670,"2432 of 3141"
"Bladen County",37017,6.9,1671,"2442 of 3141"
"Caldwell County",37027,6.9,4067,"2455 of 3141"
"Richmond County",37153,7.0,2141,"2468 of 3141"
"Tyrrell County",37177,7.1,229,"2496 of 3141"
"Edgecombe County",37065,7.2,2633,"2510 of 3141"
"Graham County",37075,7.2,435,"2514 of 3141"
"Wayne County",37191,7.3,6027,"2544 of 3141"
"Yadkin County",37197,7.3,1950,"2549 of 3141"
"Vance County",37181,7.4,2193,"2552 of 3141"
"Bertie County",37015,7.4,1081,"2554 of 3141"
"Northampton County",37131,7.5,1123,"2567 of 3141"
"Granville County",37077,7.6,3098,"2590 of 3141"
"Burke County",37023,7.7,4874,"2605 of 3141"
"Madison County",37115,7.7,1167,"2613 of 3141"
"Wilson County",37195,7.7,4259,"2618 of 3141"
"Wilkes County",37193,7.9,3858,"2637 of 3141"
"Halifax County",37083,7.9,2901,"2641 of 3141"
"Montgomery County",37123,8.0,1522,"2652 of 3141"
"Caswell County",37033,8.1,1352,"2664 of 3141"
"Mitchell County",37121,8.1,913,"2668 of 3141"
"Lee County",37105,8.2,3244,"2674 of 3141"
"Lenoir County",37107,8.4,3379,"2697 of 3141"
"Robeson County",37155,8.5,7295,"2715 of 3141"
"Surry County",37171,8.8,4470,"2757 of 3141"
"Washington County",37187,9.1,779,"2788 of 3141"
"Greene County",37079,9.3,1384,"2804 of 3141"
"Sampson County",37163,10.6,4489,"2909 of 3141"
"Duplin County",37061,13.6,5415,"3032 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
