------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"Wilson County",37195,2.5,1977,"589 of 3140"
"Person County",37145,2.5,960,"603 of 3140"
"Wilkes County",37193,2.5,1685,"609 of 3140"
"Mecklenburg County",37119,2.5,25890,"653 of 3140"
"Moore County",37125,2.6,2469,"727 of 3140"
"Iredell County",37097,2.8,4736,"861 of 3140"
"Yancey County",37199,2.8,498,"869 of 3140"
"Henderson County",37089,2.9,3250,"927 of 3140"
"Swain County",37173,3.0,415,"948 of 3140"
"Lincoln County",37109,3.0,2388,"969 of 3140"
"Buncombe County",37021,3.0,7513,"974 of 3140"
"Lenoir County",37107,3.0,1743,"1002 of 3140"
"Polk County",37149,3.0,618,"1006 of 3140"
"Onslow County",37133,3.1,5900,"1060 of 3140"
"Alamance County",37001,3.1,4885,"1062 of 3140"
"Vance County",37181,3.1,1370,"1065 of 3140"
"Wake County",37183,3.2,32204,"1120 of 3140"
"Guilford County",37081,3.2,16401,"1131 of 3140"
"Forsyth County",37067,3.2,11749,"1143 of 3140"
"Richmond County",37153,3.2,1453,"1146 of 3140"
"Transylvania County",37175,3.2,1071,"1154 of 3140"
"Caldwell County",37027,3.2,2627,"1155 of 3140"
"Gaston County",37071,3.3,6899,"1177 of 3140"
"Randolph County",37151,3.3,4693,"1211 of 3140"
"Duplin County",37061,3.4,1983,"1256 of 3140"
"Lee County",37105,3.4,2026,"1270 of 3140"
"Halifax County",37083,3.5,1796,"1309 of 3140"
"Caswell County",37033,3.5,782,"1311 of 3140"
"Union County",37179,3.5,7610,"1317 of 3140"
"Edgecombe County",37065,3.5,1850,"1321 of 3140"
"Haywood County",37087,3.5,2056,"1329 of 3140"
"Stanly County",37167,3.5,2101,"1341 of 3140"
"Catawba County",37035,3.7,5650,"1474 of 3140"
"Burke County",37023,3.7,3257,"1499 of 3140"
"Wayne County",37191,3.8,4653,"1566 of 3140"
"Columbus County",37047,3.8,2142,"1591 of 3140"
"Yadkin County",37197,3.9,1438,"1618 of 3140"
"Davidson County",37057,3.9,6340,"1643 of 3140"
"Bertie County",37015,3.9,772,"1648 of 3140"
"Johnston County",37101,3.9,7193,"1649 of 3140"
"Rowan County",37159,3.9,5402,"1662 of 3140"
"Cabarrus County",37025,4.0,7789,"1706 of 3140"
"Carteret County",37031,4.1,2780,"1751 of 3140"
"Mitchell County",37121,4.1,614,"1763 of 3140"
"Craven County",37049,4.1,4199,"1769 of 3140"
"Chatham County",37037,4.1,2806,"1787 of 3140"
"Alexander County",37003,4.2,1562,"1848 of 3140"
"Anson County",37007,4.3,1090,"1883 of 3140"
"Brunswick County",37019,4.5,5510,"2010 of 3140"
"Camden County",37029,4.7,478,"2069 of 3140"
"Durham County",37063,4.7,13899,"2088 of 3140"
"Davie County",37059,4.7,1945,"2101 of 3140"
"Jones County",37103,4.7,459,"2119 of 3140"
"Scotland County",37165,4.9,1729,"2220 of 3140"
"New Hanover County",37129,5.0,10810,"2243 of 3140"
"Sampson County",37163,5.0,3159,"2265 of 3140"
"Montgomery County",37123,5.0,1369,"2279 of 3140"
"Pasquotank County",37139,5.1,1976,"2287 of 3140"
"Franklin County",37069,5.1,3221,"2301 of 3140"
"Granville County",37077,5.1,2979,"2319 of 3140"
"Madison County",37115,5.3,1131,"2404 of 3140"
"Hertford County",37091,5.4,1292,"2430 of 3140"
"Nash County",37127,5.5,5089,"2475 of 3140"
"Warren County",37185,5.5,1103,"2496 of 3140"
"Harnett County",37085,5.9,7488,"2607 of 3140"
"Northampton County",37131,6.6,1339,"2763 of 3140"
"Pender County",37141,6.7,3815,"2777 of 3140"
"Pitt County",37147,6.9,12021,"2813 of 3140"
"Pamlico County",37137,7.1,904,"2849 of 3140"
"Orange County",37135,7.3,10262,"2874 of 3140"
"Hoke County",37093,7.4,3821,"2891 of 3140"
"Avery County",37011,8.0,1394,"2955 of 3140"
"Jackson County",37099,8.2,3396,"2968 of 3140"
"Hyde County",37095,8.6,465,"2998 of 3140"
"Greene County",37079,10.1,2105,"3059 of 3140"
"Watauga County",37189,10.9,5776,"3087 of 3140"
"Tyrrell County",37177,13.8,560,"3121 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
