------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Alamance County",37001,17.6,26996,"2056 of 3141"
"Surry County",37171,17.6,12534,"2060 of 3141"
"Macon County",37113,17.7,5980,"2079 of 3141"
"Madison County",37115,17.8,3622,"2110 of 3141"
"Harnett County",37085,18.0,22535,"2144 of 3141"
"New Hanover County",37129,18.0,38374,"2148 of 3141"
"Person County",37145,18.1,6998,"2162 of 3141"
"Pasquotank County",37139,18.1,6730,"2167 of 3141"
"Cumberland County",37051,18.2,57582,"2177 of 3141"
"Rockingham County",37157,18.5,16653,"2227 of 3141"
"Forsyth County",37067,18.7,67043,"2260 of 3141"
"Perquimans County",37143,18.8,2527,"2285 of 3141"
"Graham County",37075,19.0,1606,"2300 of 3141"
"Beaufort County",37013,19.1,8947,"2317 of 3141"
"Martin County",37117,19.2,4430,"2323 of 3141"
"McDowell County",37111,19.3,8498,"2338 of 3141"
"Burke County",37023,19.3,16660,"2345 of 3141"
"Ashe County",37009,19.4,5139,"2357 of 3141"
"Yancey County",37199,19.6,3419,"2379 of 3141"
"Rutherford County",37161,19.6,12804,"2382 of 3141"
"Cleveland County",37045,19.9,18977,"2423 of 3141"
"Hyde County",37095,20.3,985,"2465 of 3141"
"Wilson County",37195,20.6,16458,"2494 of 3141"
"Swain County",37173,20.9,2911,"2519 of 3141"
"Wilkes County",37193,20.9,14040,"2520 of 3141"
"Montgomery County",37123,20.9,5550,"2533 of 3141"
"Alleghany County",37005,21.0,2266,"2538 of 3141"
"Wayne County",37191,21.2,25635,"2559 of 3141"
"Caswell County",37033,21.3,4666,"2578 of 3141"
"Jackson County",37099,21.6,8205,"2616 of 3141"
"Hoke County",37093,21.9,11177,"2642 of 3141"
"Bertie County",37015,22.0,4102,"2656 of 3141"
"Lenoir County",37107,22.3,12632,"2676 of 3141"
"Warren County",37185,22.3,4281,"2677 of 3141"
"Anson County",37007,22.7,5383,"2714 of 3141"
"Chowan County",37041,22.8,3211,"2719 of 3141"
"Vance County",37181,23.0,10026,"2742 of 3141"
"Hertford County",37091,23.3,4999,"2769 of 3141"
"Columbus County",37047,23.6,12671,"2784 of 3141"
"Washington County",37187,24.1,2924,"2807 of 3141"
"Pitt County",37147,24.3,41319,"2820 of 3141"
"Sampson County",37163,24.3,15271,"2821 of 3141"
"Bladen County",37017,24.5,8271,"2840 of 3141"
"Edgecombe County",37065,24.6,13050,"2842 of 3141"
"Northampton County",37131,25.4,4955,"2892 of 3141"
"Greene County",37079,25.8,4851,"2905 of 3141"
"Richmond County",37153,26.1,11448,"2916 of 3141"
"Duplin County",37061,26.3,15390,"2926 of 3141"
"Jones County",37103,26.4,2570,"2934 of 3141"
"Halifax County",37083,26.8,13607,"2955 of 3141"
"Tyrrell County",37177,26.8,931,"2956 of 3141"
"Watauga County",37189,28.3,13556,"3000 of 3141"
"Robeson County",37155,29.2,38182,"3018 of 3141"
"Scotland County",37165,29.8,9815,"3026 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
