------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=37&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Carolina by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Chatham County",37037,1.9,1296,"1705 of 3140"
"Camden County",37029,1.9,198,"1716 of 3140"
"Davie County",37059,1.9,806,"1740 of 3140"
"Madison County",37115,2.0,420,"1762 of 3140"
"Catawba County",37035,2.0,3103,"1793 of 3140"
"Granville County",37077,2.0,1179,"1811 of 3140"
"Yancey County",37199,2.0,358,"1820 of 3140"
"Alamance County",37001,2.1,3204,"1829 of 3140"
"Polk County",37149,2.1,419,"1841 of 3140"
"Gaston County",37071,2.1,4452,"1879 of 3140"
"Washington County",37187,2.2,262,"1924 of 3140"
"Columbus County",37047,2.2,1213,"1925 of 3140"
"Lincoln County",37109,2.2,1733,"1933 of 3140"
"Guilford County",37081,2.3,11793,"2032 of 3140"
"Watauga County",37189,2.3,1231,"2041 of 3140"
"Caswell County",37033,2.5,567,"2161 of 3140"
"Wayne County",37191,2.5,3118,"2186 of 3140"
"Forsyth County",37067,2.7,9820,"2278 of 3140"
"Cabarrus County",37025,2.8,5351,"2317 of 3140"
"Jackson County",37099,3.0,1224,"2428 of 3140"
"Iredell County",37097,3.0,4982,"2432 of 3140"
"Transylvania County",37175,3.0,989,"2450 of 3140"
"Pitt County",37147,3.0,5233,"2452 of 3140"
"New Hanover County",37129,3.1,6679,"2482 of 3140"
"Union County",37179,3.1,6804,"2493 of 3140"
"Wake County",37183,3.2,32856,"2570 of 3140"
"Carteret County",37031,3.3,2220,"2577 of 3140"
"Moore County",37125,3.3,3074,"2588 of 3140"
"Chowan County",37041,3.3,472,"2604 of 3140"
"Graham County",37075,3.3,287,"2605 of 3140"
"Buncombe County",37021,3.4,8440,"2619 of 3140"
"Pasquotank County",37139,3.8,1470,"2740 of 3140"
"Henderson County",37089,3.8,4200,"2743 of 3140"
"Haywood County",37087,4.0,2349,"2787 of 3140"
"Durham County",37063,4.0,11854,"2796 of 3140"
"Perquimans County",37143,4.0,539,"2807 of 3140"
"Brunswick County",37019,4.1,5002,"2826 of 3140"
"Hoke County",37093,4.2,2181,"2847 of 3140"
"Mecklenburg County",37119,4.4,44668,"2872 of 3140"
"Cherokee County",37039,4.4,1200,"2878 of 3140"
"Harnett County",37085,4.6,5793,"2914 of 3140"
"Hertford County",37091,4.6,1115,"2930 of 3140"
"Dare County",37055,4.7,1655,"2938 of 3140"
"Macon County",37113,4.9,1661,"2955 of 3140"
"Currituck County",37053,5.0,1251,"2967 of 3140"
"Orange County",37135,5.2,7264,"2987 of 3140"
"Clay County",37043,5.8,617,"3034 of 3140"
"Craven County",37049,6.7,6875,"3076 of 3140"
"Cumberland County",37051,6.8,22245,"3080 of 3140"
"Onslow County",37133,11.9,22413,"3135 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
