------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Tipton County",47167,1.0,593,"1108 of 3141"
"Hamblen County",47063,1.0,624,"1096 of 3141"
"Madison County",47113,1.1,1047,"1004 of 3141"
"Hardin County",47071,1.1,294,"950 of 3141"
"Bradley County",47011,1.2,1212,"922 of 3141"
"Stewart County",47161,1.2,156,"918 of 3141"
"Sumner County",47165,1.4,2397,"793 of 3141"
"Putnam County",47141,1.4,1032,"792 of 3141"
"Anderson County",47001,1.4,1091,"742 of 3141"
"Wayne County",47181,1.5,244,"734 of 3141"
"Washington County",47179,1.6,2012,"666 of 3141"
"Wilson County",47189,1.7,2142,"643 of 3141"
"Moore County",47127,2.0,125,"542 of 3141"
"Hamilton County",47065,2.1,7308,"519 of 3141"
"Knox County",47093,2.2,9952,"483 of 3141"
"Shelby County",47157,2.5,23903,"415 of 3141"
"Montgomery County",47125,2.6,4963,"405 of 3141"
"Lewis County",47101,2.7,319,"384 of 3141"
"Rutherford County",47149,3.1,9268,"314 of 3141"
"Davidson County",47037,3.6,24369,"263 of 3141"
"Williamson County",47187,4.0,8591,"219 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
