------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=001&race=07&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '07', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=001&race=07&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for  by Borough or Census Area

"All Cancer Sites, 2012-2016"

"White Non-Hispanic, Both Sexes, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Anchorage Municipality",02020,Yes,151.9 ,143.1, 161.1,257,falling,-1.5 ,-1.9, -1.0
"Ketchikan Gateway Borough",02130,Yes,142.6 ,110.2, 181.6,15,stable,-1.2 ,-2.7, 0.4
"Prince of Wales-Outer Ketchikan Census Area",02201,Yes,137.9 ,83.1, 216.9,5,*,*,*,*
"Aleutians East Borough (3)",02013,***,* ,*, *,3 or fewer,*,*,*,*
"Aleutians West Census Area (3)",02016,***,* ,*, *,3 or fewer,*,*,*,*
"Bethel Census Area",02050,***,* ,*, *,3 or fewer,*,*,*,*
"Bristol Bay Borough",02060,***,* ,*, *,3 or fewer,*,*,*,*
"Denali Borough",02068,***,* ,*, *,3 or fewer,*,*,*,*
"Dillingham Census Area (3)",02070,***,* ,*, *,3 or fewer,*,*,*,*
"Lake and Peninsula Borough (3)",02164,***,* ,*, *,3 or fewer,*,*,*,*
"Nome Census Area",02180,***,* ,*, *,3 or fewer,*,*,*,*
"North Slope Borough",02185,***,* ,*, *,3 or fewer,*,*,*,*
"Northwest Arctic Borough",02188,***,* ,*, *,3 or fewer,*,*,*,*
"Wade Hampton Census Area",02270,***,* ,*, *,3 or fewer,*,*,*,*
"Yakutat City and Borough (3)",02282,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.

"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death data provided by the National Vital Statistics System public use data file.  Death rates calculated by the National Cancer Institute using SEER*Stat.  Death rates are age-adjusted  to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+).  The Healthy People 2020 goals are based on rates adjusted using different methods but the differences should be minimal.  Population counts for denominators are based on Census populations as modified by NCI. "
 The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used with mortality data. 
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"(3) Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties.
"
"(6) Hispanic mortality data for the United States has been excluded for the following states: Louisiana, New Hampshire, and Oklahoma. The data on Hispanic and non-Hispanic mortality for these states may be unreliable for the time period used in the generation of the recent trend (1990 - 2016) and has been excluded from the calculation of the United States recent trend. This was based on the NCHS Policy. "
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."


"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
