------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Dougherty County",13095,3.0,1028,"764 of 3141"
"Houston County",13153,3.0,1635,"761 of 3141"
"Stephens County",13257,3.0,283,"738 of 3141"
"Talbot County",13263,3.1,86,"704 of 3141"
"Grady County",13131,3.1,280,"699 of 3141"
"Crawford County",13079,3.1,146,"687 of 3141"
"Washington County",13303,3.2,233,"653 of 3141"
"Pulaski County",13235,3.2,124,"638 of 3141"
"Gordon County",13129,3.2,637,"637 of 3141"
"Clinch County",13065,3.2,83,"626 of 3141"
"Screven County",13251,3.2,170,"623 of 3141"
"Echols County",13101,3.3,49,"611 of 3141"
"Emanuel County",13107,3.3,274,"606 of 3141"
"Walker County",13295,3.3,842,"599 of 3141"
"Appling County",13001,3.3,224,"574 of 3141"
"Clayton County",13063,3.4,3151,"541 of 3141"
"Jasper County",13159,3.5,180,"515 of 3141"
"Habersham County",13137,3.6,538,"499 of 3141"
"Murray County",13213,3.7,523,"465 of 3141"
"Colquitt County",13071,3.8,591,"432 of 3141"
"Polk County",13233,4.0,591,"391 of 3141"
"Taylor County",13269,4.1,144,"368 of 3141"
"Jenkins County",13165,4.4,150,"295 of 3141"
"Brooks County",13027,4.5,282,"293 of 3141"
"Jeff Davis County",13161,4.5,233,"285 of 3141"
"Heard County",13149,4.6,200,"270 of 3141"
"Glascock County",13125,4.6,50,"262 of 3141"
"Tattnall County",13267,4.8,388,"241 of 3141"
"Miller County",13201,5.0,117,"221 of 3141"
"Toombs County",13279,5.0,530,"220 of 3141"
"Hall County",13139,5.2,3273,"206 of 3141"
"Baker County",13007,5.2,69,"200 of 3141"
"Candler County",13043,5.3,217,"192 of 3141"
"Turner County",13287,5.5,171,"187 of 3141"
"Seminole County",13253,5.8,193,"165 of 3141"
"Early County",13099,5.9,236,"162 of 3141"
"Whitfield County",13313,6.3,2227,"140 of 3141"
"Chattooga County",13055,7.2,663,"99 of 3141"
"Decatur County",13087,7.7,791,"88 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
