------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Wexford County",26165,31.3,10175,"2296 of 3141"
"Gratiot County",26057,31.4,11143,"2304 of 3141"
"Roscommon County",26143,31.6,7458,"2321 of 3141"
"Oceana County",26127,32.0,8339,"2359 of 3141"
"Gogebic County",26053,32.3,4528,"2387 of 3141"
"Mecosta County",26107,32.9,13202,"2446 of 3141"
"Osceola County",26133,33.3,7619,"2486 of 3141"
"Houghton County",26061,33.3,11329,"2492 of 3141"
"Gladwin County",26051,33.7,8432,"2522 of 3141"
"Wayne County",26163,34.3,597275,"2571 of 3141"
"Clare County",26035,34.8,10488,"2617 of 3141"
"Isabella County",26073,36.8,23529,"2778 of 3141"
"Lake County",26085,40.0,4508,"2915 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
