------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Midland County",26111,1.5,1235,"1246 of 3140"
"Alcona County",26001,1.5,155,"1251 of 3140"
"Newaygo County",26123,1.5,714,"1264 of 3140"
"Emmet County",26047,1.5,501,"1301 of 3140"
"Cheboygan County",26031,1.5,391,"1312 of 3140"
"Ottawa County",26139,1.6,4298,"1323 of 3140"
"Clare County",26035,1.6,473,"1328 of 3140"
"Branch County",26023,1.6,685,"1365 of 3140"
"Baraga County",26013,1.6,137,"1382 of 3140"
"Kent County",26081,1.7,10470,"1454 of 3140"
"Isabella County",26073,1.7,1214,"1532 of 3140"
"Alger County",26003,1.7,161,"1550 of 3140"
"Monroe County",26115,1.8,2662,"1600 of 3140"
"Gogebic County",26053,1.8,286,"1647 of 3140"
"Manistee County",26101,1.9,471,"1726 of 3140"
"Grand Traverse County",26055,1.9,1752,"1729 of 3140"
"Oceana County",26127,2.0,509,"1745 of 3140"
"Leelanau County",26089,2.0,423,"1774 of 3140"
"Chippewa County",26033,2.0,746,"1775 of 3140"
"Montmorency County",26119,2.0,185,"1784 of 3140"
"Roscommon County",26143,2.1,493,"1856 of 3140"
"St. Joseph County",26149,2.3,1356,"1991 of 3140"
"Benzie County",26019,2.3,397,"2024 of 3140"
"Kalamazoo County",26077,2.3,6026,"2061 of 3140"
"Iron County",26071,2.4,267,"2085 of 3140"
"Dickinson County",26043,2.5,636,"2158 of 3140"
"Ingham County",26065,2.6,7420,"2236 of 3140"
"Marquette County",26103,2.7,1811,"2296 of 3140"
"Hillsdale County",26059,2.8,1271,"2346 of 3140"
"Menominee County",26109,3.0,697,"2454 of 3140"
"Cass County",26027,3.1,1582,"2499 of 3140"
"Houghton County",26061,3.4,1208,"2614 of 3140"
"Iosco County",26069,3.4,861,"2636 of 3140"
"Berrien County",26021,3.5,5324,"2651 of 3140"
"Washtenaw County",26161,4.1,14716,"2823 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
