------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Midland County",26111,10.1,1129,"497 of 3139"
"Kent County",26081,10.2,11118,"519 of 3139"
"Manistee County",26101,10.2,429,"519 of 3139"
"Osceola County",26133,10.2,564,"519 of 3139"
"Berrien County",26021,10.3,3232,"539 of 3139"
"Cheboygan County",26031,10.3,502,"539 of 3139"
"Gogebic County",26053,10.3,298,"539 of 3139"
"Houghton County",26061,10.3,758,"539 of 3139"
"Isabella County",26073,10.3,1988,"539 of 3139"
"Livingston County",26093,10.3,1390,"539 of 3139"
"Eaton County",26045,10.4,1532,"561 of 3139"
"Lapeer County",26087,10.4,1296,"561 of 3139"
"Sanilac County",26151,10.4,818,"561 of 3139"
"Gladwin County",26051,10.6,562,"596 of 3139"
"Grand Traverse County",26055,10.6,1246,"596 of 3139"
"Macomb County",26099,10.7,13577,"614 of 3139"
"Oscoda County",26135,10.7,204,"614 of 3139"
"Presque Isle County",26141,10.8,226,"631 of 3139"
"Alger County",26003,11.0,138,"684 of 3139"
"Arenac County",26011,11.0,335,"684 of 3139"
"Kalkaska County",26079,11.1,425,"697 of 3139"
"Benzie County",26019,11.2,285,"718 of 3139"
"Chippewa County",26033,11.2,814,"718 of 3139"
"Schoolcraft County",26153,11.2,166,"718 of 3139"
"Branch County",26023,11.3,975,"736 of 3139"
"St. Joseph County",26149,11.3,1337,"736 of 3139"
"Emmet County",26047,11.4,528,"756 of 3139"
"Antrim County",26009,11.5,442,"770 of 3139"
"Keweenaw County",26083,11.5,31,"770 of 3139"
"Oakland County",26125,11.5,14569,"770 of 3139"
"Ontonagon County",26131,11.6,109,"789 of 3139"
"Van Buren County",26159,11.8,1840,"825 of 3139"
"Oceana County",26127,12.4,738,"922 of 3139"
"Alcona County",26001,12.6,209,"954 of 3139"
"Mackinac County",26097,14.2,270,"1155 of 3139"
"Leelanau County",26089,15.2,306,"1273 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
