------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Wilbarger County",48487,15.2,1333,"2271 of 3141"
"Shelby County",48419,15.3,2501,"2259 of 3141"
"Cass County",48067,15.3,3216,"2256 of 3141"
"Coryell County",48099,15.4,7241,"2236 of 3141"
"Rusk County",48401,15.5,5603,"2215 of 3141"
"Navarro County",48349,15.6,4910,"2195 of 3141"
"Collingsworth County",48087,15.6,322,"2194 of 3141"
"Motley County",48345,15.6,116,"2193 of 3141"
"Orange County",48361,15.7,8789,"2184 of 3141"
"Menard County",48327,15.8,258,"2169 of 3141"
"Titus County",48449,15.8,3130,"2149 of 3141"
"Leon County",48289,15.9,1855,"2131 of 3141"
"Hansford County",48195,15.9,543,"2120 of 3141"
"Wood County",48499,16.0,5028,"2111 of 3141"
"McCulloch County",48307,16.0,932,"2109 of 3141"
"Callahan County",48059,16.0,1529,"2105 of 3141"
"Morris County",48343,16.0,1422,"2103 of 3141"
"Parmer County",48369,16.1,977,"2092 of 3141"
"Hale County",48189,16.1,3382,"2084 of 3141"
"Calhoun County",48057,16.2,2343,"2065 of 3141"
"Fannin County",48147,16.2,3867,"2063 of 3141"
"Montague County",48337,16.2,2208,"2060 of 3141"
"Hill County",48217,16.4,3921,"2035 of 3141"
"Lamb County",48279,16.4,1389,"2028 of 3141"
"Palo Pinto County",48363,16.6,3170,"2009 of 3141"
"Scurry County",48415,16.6,1859,"2001 of 3141"
"Van Zandt County",48467,16.6,6159,"1996 of 3141"
"Camp County",48063,16.7,1363,"1992 of 3141"
"Cottle County",48101,16.7,177,"1988 of 3141"
"Foard County",48155,16.7,174,"1983 of 3141"
"Angelina County",48005,16.7,9537,"1981 of 3141"
"Hardin County",48199,16.8,6300,"1978 of 3141"
"Stephens County",48429,16.8,1083,"1962 of 3141"
"Upshur County",48459,16.9,4637,"1957 of 3141"
"Lynn County",48305,17.0,646,"1942 of 3141"
"Hartley County",48205,17.0,739,"1933 of 3141"
"Lamar County",48277,17.1,5722,"1921 of 3141"
"Wise County",48497,17.2,7256,"1908 of 3141"
"Cameron County",48061,17.2,41887,"1898 of 3141"
"Terrell County",48443,17.3,97,"1890 of 3141"
"Hopkins County",48223,17.3,4159,"1878 of 3141"
"Floyd County",48153,17.4,665,"1870 of 3141"
"Delta County",48119,17.4,624,"1868 of 3141"
"Lavaca County",48285,17.4,2386,"1861 of 3141"
"Webb County",48479,17.4,25667,"1853 of 3141"
"Lee County",48287,17.6,2031,"1817 of 3141"
"Goliad County",48175,17.6,920,"1816 of 3141"
"Brown County",48049,17.8,4569,"1798 of 3141"
"Hidalgo County",48215,17.8,82993,"1783 of 3141"
"Clay County",48077,17.9,1332,"1777 of 3141"
"Fisher County",48151,18.0,493,"1767 of 3141"
"Fayette County",48149,18.1,3245,"1756 of 3141"
"Val Verde County",48465,18.1,5293,"1752 of 3141"
"Henderson County",48213,18.1,10114,"1742 of 3141"
"Cherokee County",48073,18.1,6095,"1741 of 3141"
"Ochiltree County",48357,18.3,1131,"1706 of 3141"
"Jackson County",48239,18.3,1783,"1704 of 3141"
"Bosque County",48035,18.4,2369,"1681 of 3141"
"Childress County",48075,18.5,882,"1668 of 3141"
"Johnson County",48251,18.5,19331,"1665 of 3141"
"Comanche County",48093,18.6,1750,"1648 of 3141"
"Lipscomb County",48295,18.8,426,"1612 of 3141"
"Harrison County",48203,18.8,8204,"1609 of 3141"
"Jefferson County",48245,18.9,31861,"1595 of 3141"
"Colorado County",48089,18.9,2688,"1590 of 3141"
"Donley County",48129,18.9,426,"1587 of 3141"
"Hunt County",48231,19.1,11404,"1557 of 3141"
"Runnels County",48399,19.1,1338,"1548 of 3141"
"Waller County",48473,19.2,5021,"1529 of 3141"
"Bowie County",48037,19.2,12159,"1526 of 3141"
"Kimble County",48267,19.3,642,"1522 of 3141"
"Wilson County",48493,19.5,6162,"1489 of 3141"
"Aransas County",48007,19.5,3560,"1486 of 3141"
"Victoria County",48469,19.5,11579,"1478 of 3141"
"Young County",48503,19.6,2400,"1464 of 3141"
"Sutton County",48435,19.8,528,"1445 of 3141"
"Franklin County",48159,19.8,1423,"1433 of 3141"
"King County",48269,19.8,41,"1432 of 3141"
"Throckmorton County",48447,20.0,223,"1406 of 3141"
"Somervell County",48425,20.0,1197,"1401 of 3141"
"Medina County",48325,20.0,6479,"1400 of 3141"
"Lampasas County",48281,20.1,2854,"1378 of 3141"
"Presidio County",48377,20.2,914,"1360 of 3141"
"Grayson County",48181,20.2,17217,"1359 of 3141"
"Walker County",48471,20.3,9316,"1356 of 3141"
"Mason County",48319,20.3,622,"1355 of 3141"
"Bastrop County",48021,20.3,10776,"1351 of 3141"
"Schleicher County",48413,20.3,398,"1350 of 3141"
"Gregg County",48183,20.4,16156,"1331 of 3141"
"Knox County",48275,20.5,502,"1318 of 3141"
"Chambers County",48071,20.5,5102,"1309 of 3141"
"Coke County",48081,20.6,495,"1302 of 3141"
"Martin County",48317,20.6,671,"1300 of 3141"
"Edwards County",48137,20.6,331,"1296 of 3141"
"Kaufman County",48257,20.7,15221,"1291 of 3141"
"McMullen County",48311,20.7,83,"1280 of 3141"
"Nueces County",48355,20.9,48389,"1246 of 3141"
"Sherman County",48421,21.4,445,"1189 of 3141"
"Sterling County",48431,21.4,167,"1184 of 3141"
"Real County",48385,21.9,530,"1124 of 3141"
"Briscoe County",48045,21.9,249,"1123 of 3141"
"Ellis County",48139,22.1,23142,"1099 of 3141"
"El Paso County",48141,22.2,111549,"1093 of 3141"
"Austin County",48015,22.3,4443,"1074 of 3141"
"Wichita County",48485,22.4,18786,"1061 of 3141"
"Cooke County",48097,22.7,5945,"1014 of 3141"
"Hemphill County",48211,22.7,565,"1012 of 3141"
"Hamilton County",48193,22.8,1336,"1005 of 3141"
"McLennan County",48309,22.9,33923,"991 of 3141"
"Mills County",48333,23.0,769,"980 of 3141"
"Armstrong County",48011,23.6,330,"922 of 3141"
"Archer County",48009,23.6,1455,"920 of 3141"
"Bandera County",48019,23.8,3875,"900 of 3141"
"Kent County",48263,23.8,118,"898 of 3141"
"Tom Green County",48451,23.8,17804,"893 of 3141"
"Washington County",48477,23.9,5554,"884 of 3141"
"Taylor County",48441,24.1,19767,"868 of 3141"
"Burnet County",48053,24.1,7521,"866 of 3141"
"Kleberg County",48273,24.1,4196,"863 of 3141"
"Bell County",48027,24.2,49057,"855 of 3141"
"Baylor County",48023,24.8,635,"812 of 3141"
"Smith County",48423,25.2,36401,"789 of 3141"
"Nacogdoches County",48347,25.2,9405,"787 of 3141"
"Glasscock County",48173,25.3,237,"779 of 3141"
"Kerr County",48265,25.9,9499,"735 of 3141"
"Hood County",48221,26.3,10461,"704 of 3141"
"Oldham County",48359,26.5,307,"693 of 3141"
"Llano County",48299,26.6,4297,"685 of 3141"
"Guadalupe County",48187,26.8,26296,"661 of 3141"
"Midland County",48329,26.8,26733,"660 of 3141"
"Parker County",48367,26.9,22783,"652 of 3141"
"Bexar County",48029,27.3,327559,"626 of 3141"
"Shackelford County",48417,27.4,612,"621 of 3141"
"Erath County",48143,27.8,6446,"601 of 3141"
"Blanco County",48031,28.5,2337,"563 of 3141"
"Lubbock County",48303,28.7,50137,"551 of 3141"
"Carson County",48065,29.2,1185,"527 of 3141"
"Galveston County",48167,29.5,63091,"518 of 3141"
"Brazoria County",48039,29.7,66731,"501 of 3141"
"Dallas County",48113,30.1,488615,"477 of 3141"
"Harris County",48201,30.5,874241,"452 of 3141"
"Randall County",48381,30.9,26449,"426 of 3141"
"Tarrant County",48439,31.1,393259,"417 of 3141"
"Roberts County",48393,31.2,186,"415 of 3141"
"Gillespie County",48171,33.4,6355,"321 of 3141"
"Montgomery County",48339,33.7,117363,"312 of 3141"
"Brewster County",48043,35.7,2407,"242 of 3141"
"Comal County",48091,36.0,32219,"238 of 3141"
"Jeff Davis County",48243,36.3,642,"232 of 3141"
"Hays County",48209,36.6,42119,"228 of 3141"
"Borden County",48033,38.8,162,"182 of 3141"
"Kendall County",48259,39.0,10749,"178 of 3141"
"Brazos County",48041,39.6,43991,"169 of 3141"
"Rockwall County",48397,40.0,23303,"162 of 3141"
"Williamson County",48491,40.2,133713,"157 of 3141"
"Denton County",48121,43.4,219464,"107 of 3141"
"Fort Bend County",48157,45.7,207135,"86 of 3141"
"Travis County",48453,47.5,377376,"68 of 3141"
"Collin County",48085,50.9,303055,"41 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
