------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Wichita County",48485,25.9,6707,"2625 of 3139"
"Crosby County",48107,26.0,431,"2632 of 3139"
"Red River County",48387,26.1,726,"2641 of 3139"
"Refugio County",48391,26.1,364,"2641 of 3139"
"DeWitt County",48123,26.2,925,"2649 of 3139"
"Frio County",48163,26.4,1268,"2668 of 3139"
"Howard County",48227,26.4,1622,"2668 of 3139"
"Baylor County",48023,26.5,205,"2675 of 3139"
"Tom Green County",48451,26.5,5528,"2675 of 3139"
"Atascosa County",48013,26.7,2676,"2691 of 3139"
"Oldham County",48359,26.7,86,"2691 of 3139"
"Scurry County",48415,26.7,763,"2691 of 3139"
"Donley County",48129,26.8,202,"2699 of 3139"
"Jasper County",48241,26.8,1917,"2699 of 3139"
"Karnes County",48255,26.8,698,"2699 of 3139"
"McLennan County",48309,26.8,15866,"2699 of 3139"
"Jones County",48253,26.9,832,"2708 of 3139"
"Houston County",48225,27.0,1400,"2719 of 3139"
"Kleberg County",48273,27.1,2269,"2730 of 3139"
"Delta County",48119,27.2,331,"2741 of 3139"
"Tyler County",48457,27.2,987,"2741 of 3139"
"Medina County",48325,27.3,2089,"2751 of 3139"
"Randall County",48381,27.3,4590,"2751 of 3139"
"San Patricio County",48409,27.3,3505,"2751 of 3139"
"Upshur County",48459,27.4,2128,"2762 of 3139"
"Callahan County",48059,27.5,789,"2770 of 3139"
"Nueces County",48355,27.5,20251,"2770 of 3139"
"Swisher County",48437,27.5,512,"2770 of 3139"
"Travis County",48453,27.5,54501,"2770 of 3139"
"Willacy County",48489,27.5,1814,"2770 of 3139"
"Uvalde County",48463,27.6,2033,"2778 of 3139"
"Guadalupe County",48187,27.9,5787,"2793 of 3139"
"Concho County",48095,28.1,152,"2803 of 3139"
"Victoria County",48469,28.1,4901,"2803 of 3139"
"Anderson County",48001,28.3,2861,"2812 of 3139"
"Brown County",48049,28.3,2205,"2812 of 3139"
"Goliad County",48175,28.4,347,"2815 of 3139"
"Hunt County",48231,28.4,5672,"2815 of 3139"
"Milam County",48331,28.4,1566,"2815 of 3139"
"Dawson County",48115,28.5,797,"2820 of 3139"
"Lynn County",48305,28.5,353,"2820 of 3139"
"Robertson County",48395,28.5,1050,"2820 of 3139"
"Williamson County",48491,28.6,14128,"2824 of 3139"
"Coleman County",48083,28.8,549,"2830 of 3139"
"Kent County",48263,28.9,33,"2837 of 3139"
"Runnels County",48399,28.9,598,"2837 of 3139"
"Wilbarger County",48487,29.0,802,"2841 of 3139"
"Camp County",48063,29.1,988,"2846 of 3139"
"Cherokee County",48073,29.2,3701,"2851 of 3139"
"Falls County",48145,29.2,1191,"2851 of 3139"
"McCulloch County",48307,29.2,528,"2851 of 3139"
"Walker County",48471,29.2,4261,"2851 of 3139"
"Mitchell County",48335,29.3,401,"2861 of 3139"
"Childress County",48075,29.5,359,"2870 of 3139"
"Hood County",48221,29.5,2309,"2870 of 3139"
"Trinity County",48455,29.5,1028,"2870 of 3139"
"Floyd County",48153,29.7,439,"2878 of 3139"
"Henderson County",48213,29.7,5287,"2878 of 3139"
"Limestone County",48293,29.7,1676,"2878 of 3139"
"Potter County",48375,29.7,9425,"2878 of 3139"
"Shackelford County",48417,29.8,178,"2885 of 3139"
"Aransas County",48007,29.9,1447,"2891 of 3139"
"Grayson County",48181,29.9,7417,"2891 of 3139"
"Gregg County",48183,30.0,8549,"2897 of 3139"
"Kimble County",48267,30.0,259,"2897 of 3139"
"Sabine County",48403,30.0,652,"2897 of 3139"
"Smith County",48423,30.0,13716,"2897 of 3139"
"El Paso County",48141,30.1,67487,"2905 of 3139"
"Johnson County",48251,30.1,8153,"2905 of 3139"
"Matagorda County",48321,30.1,2541,"2905 of 3139"
"Ector County",48135,30.2,8625,"2910 of 3139"
"Hale County",48189,30.2,2552,"2910 of 3139"
"Val Verde County",48465,30.2,3835,"2910 of 3139"
"Irion County",48235,30.3,47,"2916 of 3139"
"Navarro County",48349,30.3,3631,"2916 of 3139"
"Panola County",48365,30.3,1238,"2916 of 3139"
"Angelina County",48005,30.4,6194,"2922 of 3139"
"Coke County",48081,30.4,167,"2922 of 3139"
"Hill County",48217,30.4,2276,"2922 of 3139"
"Jefferson County",48245,30.4,16784,"2922 of 3139"
"Eastland County",48133,30.5,1239,"2928 of 3139"
"Kaufman County",48257,30.5,5891,"2928 of 3139"
"Galveston County",48167,30.6,15568,"2931 of 3139"
"Hockley County",48219,30.6,1357,"2931 of 3139"
"Palo Pinto County",48363,30.6,2053,"2931 of 3139"
"Rusk County",48401,30.6,3033,"2931 of 3139"
"Wharton County",48481,30.6,2885,"2931 of 3139"
"Wood County",48499,30.6,2225,"2931 of 3139"
"Brewster County",48043,30.7,533,"2939 of 3139"
"Roberts County",48393,30.7,35,"2939 of 3139"
"Brazoria County",48039,30.8,13113,"2943 of 3139"
"Kenedy County",48261,30.8,37,"2943 of 3139"
"Terry County",48445,30.8,949,"2943 of 3139"
"Calhoun County",48057,31.0,1337,"2947 of 3139"
"Stonewall County",48433,31.3,72,"2951 of 3139"
"Crockett County",48105,31.4,218,"2953 of 3139"
"Washington County",48477,31.4,1794,"2953 of 3139"
"Motley County",48345,31.5,82,"2956 of 3139"
"Van Zandt County",48467,31.5,3266,"2956 of 3139"
"Burleson County",48051,31.6,1017,"2959 of 3139"
"Franklin County",48159,31.6,716,"2959 of 3139"
"Liberty County",48291,31.6,5507,"2959 of 3139"
"Polk County",48373,31.6,3182,"2959 of 3139"
"Caldwell County",48055,31.7,3077,"2963 of 3139"
"Madison County",48313,31.8,889,"2964 of 3139"
"Comal County",48091,31.9,4987,"2966 of 3139"
"Lamb County",48279,31.9,1089,"2966 of 3139"
"Dickens County",48125,32.0,122,"2968 of 3139"
"Nacogdoches County",48347,32.0,5550,"2968 of 3139"
"Parker County",48367,32.0,4839,"2968 of 3139"
"Freestone County",48161,32.1,1136,"2971 of 3139"
"Llano County",48299,32.1,965,"2971 of 3139"
"Pecos County",48371,32.1,857,"2971 of 3139"
"Real County",48385,32.1,234,"2971 of 3139"
"Reeves County",48389,32.2,809,"2977 of 3139"
"Tarrant County",48439,32.2,114673,"2977 of 3139"
"Ward County",48475,32.2,680,"2977 of 3139"
"Burnet County",48053,32.3,2430,"2981 of 3139"
"Grimes County",48185,32.4,1791,"2984 of 3139"
"Hopkins County",48223,32.4,2652,"2984 of 3139"
"Denton County",48121,32.5,28342,"2987 of 3139"
"Edwards County",48137,32.5,128,"2987 of 3139"
"Lampasas County",48281,32.6,1157,"2991 of 3139"
"Live Oak County",48297,32.6,622,"2991 of 3139"
"Culberson County",48109,32.7,181,"2994 of 3139"
"Kerr County",48265,32.7,3006,"2994 of 3139"
"Maverick County",48323,32.7,5930,"2994 of 3139"
"Bailey County",48017,32.8,677,"2997 of 3139"
"Dallas County",48113,32.8,197129,"2997 of 3139"
"Hamilton County",48193,32.8,540,"2997 of 3139"
"Hays County",48209,32.8,11434,"2997 of 3139"
"Rains County",48379,32.8,673,"2997 of 3139"
"Armstrong County",48011,32.9,77,"3003 of 3139"
"Young County",48503,32.9,1181,"3003 of 3139"
"San Jacinto County",48407,33.0,2029,"3005 of 3139"
"Ellis County",48139,33.1,7974,"3007 of 3139"
"Lavaca County",48285,33.1,932,"3007 of 3139"
"Shelby County",48419,33.1,2261,"3007 of 3139"
"Winkler County",48495,33.1,442,"3007 of 3139"
"Deaf Smith County",48117,33.2,1580,"3013 of 3139"
"Hall County",48191,33.2,304,"3013 of 3139"
"Haskell County",48207,33.2,395,"3013 of 3139"
"Wilson County",48493,33.2,2023,"3013 of 3139"
"Bandera County",48019,33.4,1081,"3019 of 3139"
"Bosque County",48035,33.4,1170,"3019 of 3139"
"Fayette County",48149,33.6,1120,"3022 of 3139"
"Knox County",48275,33.6,305,"3022 of 3139"
"Borden County",48033,33.7,28,"3025 of 3139"
"Austin County",48015,33.8,1586,"3026 of 3139"
"Menard County",48327,33.8,159,"3026 of 3139"
"Carson County",48065,33.9,216,"3029 of 3139"
"Colorado County",48089,33.9,1284,"3029 of 3139"
"Hutchinson County",48233,33.9,1232,"3029 of 3139"
"Starr County",48427,33.9,8630,"3029 of 3139"
"Stephens County",48429,33.9,704,"3029 of 3139"
"Webb County",48479,33.9,33621,"3029 of 3139"
"Gonzales County",48177,34.0,1681,"3036 of 3139"
"Harris County",48201,34.0,339675,"3036 of 3139"
"Sutton County",48435,34.0,217,"3036 of 3139"
"Clay County",48077,34.1,523,"3040 of 3139"
"Titus County",48449,34.2,2964,"3041 of 3139"
"Zapata County",48505,34.2,1725,"3041 of 3139"
"Cooke County",48097,34.4,2339,"3046 of 3139"
"Fannin County",48147,34.4,2149,"3046 of 3139"
"Throckmorton County",48447,34.4,101,"3046 of 3139"
"Bastrop County",48021,34.5,5238,"3049 of 3139"
"Gray County",48179,34.5,1506,"3049 of 3139"
"Cameron County",48061,34.6,52019,"3052 of 3139"
"Erath County",48143,34.6,3064,"3052 of 3139"
"Foard County",48155,34.6,89,"3052 of 3139"
"Jackson County",48239,34.6,878,"3052 of 3139"
"Montgomery County",48339,34.7,25974,"3057 of 3139"
"Fisher County",48151,34.8,228,"3060 of 3139"
"Crane County",48103,34.9,260,"3062 of 3139"
"Montague County",48337,34.9,1305,"3062 of 3139"
"Fort Bend County",48157,35.1,26724,"3066 of 3139"
"Garza County",48169,35.2,327,"3070 of 3139"
"Somervell County",48425,35.2,507,"3070 of 3139"
"Andrews County",48003,35.3,985,"3073 of 3139"
"Kinney County",48271,35.5,212,"3074 of 3139"
"Collin County",48085,35.8,29280,"3076 of 3139"
"Comanche County",48093,35.8,1022,"3076 of 3139"
"Jack County",48237,35.8,582,"3076 of 3139"
"Archer County",48009,36.0,391,"3079 of 3139"
"Hardeman County",48197,36.0,330,"3079 of 3139"
"Presidio County",48377,36.0,668,"3079 of 3139"
"Cottle County",48101,36.3,132,"3086 of 3139"
"Reagan County",48383,36.5,286,"3088 of 3139"
"Midland County",48329,36.6,7541,"3090 of 3139"
"Hidalgo County",48215,36.8,117638,"3091 of 3139"
"Lee County",48287,37.3,985,"3095 of 3139"
"Martin County",48317,37.3,366,"3095 of 3139"
"Wheeler County",48483,37.3,413,"3095 of 3139"
"Waller County",48473,37.4,4089,"3098 of 3139"
"Castro County",48069,37.7,755,"3099 of 3139"
"Moore County",48341,38.1,1862,"3100 of 3139"
"Rockwall County",48397,38.2,3074,"3101 of 3139"
"Leon County",48289,38.3,1297,"3102 of 3139"
"King County",48269,38.4,28,"3103 of 3139"
"Cochran County",48079,38.7,282,"3104 of 3139"
"Upton County",48461,38.7,243,"3104 of 3139"
"San Saba County",48411,38.8,428,"3107 of 3139"
"Chambers County",48071,38.9,1933,"3108 of 3139"
"Schleicher County",48413,39.2,233,"3109 of 3139"
"Mills County",48333,39.3,336,"3110 of 3139"
"Dallam County",48111,39.5,665,"3111 of 3139"
"Hartley County",48205,39.5,227,"3111 of 3139"
"Kendall County",48259,39.5,1416,"3111 of 3139"
"Wise County",48497,39.5,4255,"3111 of 3139"
"Hemphill County",48211,39.8,251,"3115 of 3139"
"Loving County",48301,40.0,8,"3116 of 3139"
"Parmer County",48369,40.4,866,"3117 of 3139"
"Hudspeth County",48229,40.8,457,"3118 of 3139"
"Gillespie County",48171,40.9,1384,"3119 of 3139"
"Ochiltree County",48357,40.9,814,"3119 of 3139"
"Yoakum County",48501,41.1,608,"3121 of 3139"
"Hansford County",48195,41.4,435,"3123 of 3139"
"Blanco County",48031,41.8,644,"3124 of 3139"
"Gaines County",48165,42.4,2076,"3126 of 3139"
"Sterling County",48431,42.7,90,"3127 of 3139"
"Collingsworth County",48087,43.2,296,"3128 of 3139"
"Sherman County",48421,44.9,252,"3131 of 3139"
"Terrell County",48443,45.9,61,"3132 of 3139"
"Lipscomb County",48295,46.8,288,"3133 of 3139"
"Briscoe County",48045,47.0,134,"3134 of 3139"
"Mason County",48319,47.1,333,"3135 of 3139"
"McMullen County",48311,47.6,30,"3136 of 3139"
"Glasscock County",48173,49.6,66,"3138 of 3139"
"Jeff Davis County",48243,50.6,133,"3139 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
