------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Shackelford County",48417,49.9,1671,"1129 of 3141"
"Knox County",48275,49.9,1874,"1146 of 3141"
"Hall County",48191,50.0,1550,"1168 of 3141"
"Briscoe County",48045,50.0,795,"1170 of 3141"
"Coryell County",48099,50.0,37897,"1179 of 3141"
"Leon County",48289,50.0,8481,"1183 of 3141"
"Clay County",48077,50.0,5185,"1201 of 3141"
"Waller County",48473,50.0,24234,"1219 of 3141"
"Bell County",48027,50.0,168359,"1225 of 3141"
"Atascosa County",48013,50.0,24088,"1232 of 3141"
"Hutchinson County",48233,50.1,10866,"1257 of 3141"
"Donley County",48129,50.1,1719,"1266 of 3141"
"Burleson County",48051,50.1,8815,"1281 of 3141"
"Hansford County",48195,50.1,2772,"1293 of 3141"
"Zapata County",48505,50.1,7225,"1311 of 3141"
"Johnson County",48251,50.1,80286,"1313 of 3141"
"Jim Hogg County",48247,50.2,2639,"1338 of 3141"
"Collingsworth County",48087,50.2,1518,"1351 of 3141"
"Milam County",48331,50.2,12285,"1365 of 3141"
"Hays County",48209,50.2,97870,"1403 of 3141"
"Harris County",48201,50.3,2274459,"1431 of 3141"
"Comanche County",48093,50.3,6782,"1438 of 3141"
"Hudspeth County",48229,50.3,1861,"1442 of 3141"
"Coke County",48081,50.3,1629,"1478 of 3141"
"Wood County",48499,50.3,21792,"1482 of 3141"
"Matagorda County",48321,50.3,18495,"1509 of 3141"
"Parker County",48367,50.3,63418,"1517 of 3141"
"Kenedy County",48261,50.4,284,"1524 of 3141"
"Maverick County",48323,50.4,28949,"1541 of 3141"
"Washington County",48477,50.4,17468,"1560 of 3141"
"Crockett County",48105,50.4,1933,"1561 of 3141"
"Brown County",48049,50.4,19046,"1575 of 3141"
"Refugio County",48391,50.4,3676,"1576 of 3141"
"Shelby County",48419,50.4,12949,"1578 of 3141"
"Bandera County",48019,50.4,10746,"1583 of 3141"
"Robertson County",48395,50.4,8436,"1606 of 3141"
"Marion County",48315,50.4,5115,"1616 of 3141"
"Cooke County",48097,50.4,19706,"1617 of 3141"
"Lampasas County",48281,50.5,10329,"1623 of 3141"
"Montgomery County",48339,50.5,270153,"1658 of 3141"
"Terrell County",48443,50.5,364,"1666 of 3141"
"Hill County",48217,50.5,17724,"1681 of 3141"
"Crosby County",48107,50.5,2977,"1684 of 3141"
"Tom Green County",48451,50.5,59058,"1702 of 3141"
"Presidio County",48377,50.5,3633,"1704 of 3141"
"Palo Pinto County",48363,50.5,14205,"1718 of 3141"
"Orange County",48361,50.5,42404,"1720 of 3141"
"Upshur County",48459,50.5,20471,"1724 of 3141"
"Wilbarger County",48487,50.5,6557,"1736 of 3141"
"Guadalupe County",48187,50.6,76278,"1743 of 3141"
"Liberty County",48291,50.6,40393,"1761 of 3141"
"Hockley County",48219,50.6,11768,"1762 of 3141"
"San Jacinto County",48407,50.6,13873,"1762 of 3141"
"San Augustine County",48405,50.6,4249,"1764 of 3141"
"Hamilton County",48193,50.6,4158,"1780 of 3141"
"Austin County",48015,50.6,14818,"1784 of 3141"
"Burnet County",48053,50.6,22783,"1814 of 3141"
"Galveston County",48167,50.6,162620,"1853 of 3141"
"Comal County",48091,50.6,65368,"1860 of 3141"
"Panola County",48365,50.6,11939,"1875 of 3141"
"Lubbock County",48303,50.7,150962,"1882 of 3141"
"Delta County",48119,50.7,2620,"1897 of 3141"
"Nueces County",48355,50.7,181648,"1913 of 3141"
"Archer County",48009,50.7,4458,"1943 of 3141"
"Bexar County",48029,50.7,959427,"1951 of 3141"
"Dallas County",48113,50.7,1294462,"1961 of 3141"
"Ellis County",48139,50.7,83255,"1986 of 3141"
"Williamson County",48491,50.8,258207,"2048 of 3141"
"Denton County",48121,50.8,396931,"2057 of 3141"
"Hunt County",48231,50.8,45890,"2064 of 3141"
"Runnels County",48399,50.8,5216,"2065 of 3141"
"Navarro County",48349,50.8,24513,"2070 of 3141"
"Bosque County",48035,50.8,9124,"2071 of 3141"
"Rockwall County",48397,50.8,45951,"2079 of 3141"
"Fort Bend County",48157,50.8,361724,"2103 of 3141"
"Titus County",48449,50.8,16609,"2107 of 3141"
"Jasper County",48241,50.9,18024,"2110 of 3141"
"Randall County",48381,50.9,66403,"2121 of 3141"
"Wharton County",48481,50.9,21075,"2128 of 3141"
"Young County",48503,50.9,9244,"2142 of 3141"
"Collin County",48085,50.9,465160,"2144 of 3141"
"Hopkins County",48223,50.9,18286,"2149 of 3141"
"Hood County",48221,50.9,28219,"2173 of 3141"
"Van Zandt County",48467,50.9,27300,"2180 of 3141"
"Kaufman County",48257,50.9,58505,"2193 of 3141"
"Camp County",48063,50.9,6455,"2203 of 3141"
"Erath County",48143,51.0,20898,"2207 of 3141"
"El Paso County",48141,51.0,425626,"2233 of 3141"
"Montague County",48337,51.0,9894,"2234 of 3141"
"Tarrant County",48439,51.0,1012533,"2287 of 3141"
"Taylor County",48441,51.1,69113,"2299 of 3141"
"Victoria County",48469,51.1,46728,"2306 of 3141"
"Gregg County",48183,51.1,63036,"2335 of 3141"
"Floyd County",48153,51.1,3042,"2350 of 3141"
"Jackson County",48239,51.1,7542,"2361 of 3141"
"Hidalgo County",48215,51.1,429156,"2369 of 3141"
"Hardeman County",48197,51.1,2040,"2379 of 3141"
"Hardin County",48199,51.1,28628,"2379 of 3141"
"Upton County",48461,51.1,1828,"2385 of 3141"
"Webb County",48479,51.2,137967,"2417 of 3141"
"Dimmit County",48127,51.2,5538,"2423 of 3141"
"Fayette County",48149,51.2,12775,"2425 of 3141"
"Harrison County",48203,51.2,34089,"2429 of 3141"
"Uvalde County",48463,51.2,13827,"2434 of 3141"
"Grayson County",48181,51.2,64590,"2450 of 3141"
"McLennan County",48309,51.2,125826,"2452 of 3141"
"Gillespie County",48171,51.2,13284,"2459 of 3141"
"Llano County",48299,51.2,10347,"2477 of 3141"
"Henderson County",48213,51.3,40847,"2493 of 3141"
"Jim Wells County",48249,51.3,21184,"2503 of 3141"
"Angelina County",48005,51.3,44993,"2524 of 3141"
"Callahan County",48059,51.3,7010,"2533 of 3141"
"Starr County",48427,51.4,32605,"2600 of 3141"
"Kendall County",48259,51.5,20738,"2625 of 3141"
"Cass County",48067,51.5,15519,"2672 of 3141"
"Cameron County",48061,51.5,216544,"2675 of 3141"
"Brewster County",48043,51.6,4756,"2709 of 3141"
"Kerr County",48265,51.6,26198,"2718 of 3141"
"Lamar County",48277,51.7,25525,"2755 of 3141"
"Lavaca County",48285,51.7,10263,"2766 of 3141"
"Baylor County",48023,51.7,1862,"2769 of 3141"
"Smith County",48423,51.7,114922,"2775 of 3141"
"Kimble County",48267,51.7,2292,"2781 of 3141"
"Fisher County",48151,51.8,2008,"2832 of 3141"
"Morris County",48343,51.9,6508,"2874 of 3141"
"Trinity County",48455,51.9,7522,"2876 of 3141"
"Somervell County",48425,52.0,4495,"2881 of 3141"
"Carson County",48065,52.1,3145,"2929 of 3141"
"Jeff Davis County",48243,52.1,1166,"2938 of 3141"
"Nacogdoches County",48347,52.2,34114,"2943 of 3141"
"Hemphill County",48211,52.4,2176,"2987 of 3141"
"Falls County",48145,52.9,9154,"3059 of 3141"
"Red River County",48387,53.0,6550,"3066 of 3141"
"Mills County",48333,53.4,2612,"3095 of 3141"
"Real County",48385,53.8,1805,"3105 of 3141"
"Throckmorton County",48447,54.3,836,"3122 of 3141"
"Kent County",48263,54.3,369,"3123 of 3141"
"Edwards County",48137,54.3,1146,"3124 of 3141"
"Roberts County",48393,54.6,485,"3129 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
