------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Adams County",28001,34.2,9950,"3088 of 3141"
"Noxubee County",28103,34.9,3725,"3092 of 3141"
"Coahoma County",28027,36.2,8587,"3104 of 3141"
"Yazoo County",28163,36.5,8518,"3107 of 3141"
"Bolivar County",28011,37.4,11782,"3110 of 3141"
"Quitman County",28119,37.5,2762,"3113 of 3141"
"Wilkinson County",28157,38.7,3107,"3117 of 3141"
"Issaquena County",28055,40.3,422,"3122 of 3141"
"Leflore County",28083,40.3,11604,"3123 of 3141"
"Humphreys County",28053,40.5,3469,"3124 of 3141"
"Claiborne County",28021,45.9,3897,"3135 of 3141"
"Holmes County",28051,46.5,8167,"3136 of 3141"
"Jefferson County",28063,47.0,3301,"3137 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
