------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Choctaw County",28019,2.3,74,"1188 of 3141"
"Pike County",28113,2.3,347,"1182 of 3141"
"Tallahatchie County",28135,2.3,100,"1172 of 3141"
"DeSoto County",28033,2.4,1468,"1105 of 3141"
"Forrest County",28035,2.4,679,"1095 of 3141"
"Lincoln County",28085,2.4,311,"1082 of 3141"
"Grenada County",28043,2.5,195,"1048 of 3141"
"Montgomery County",28097,2.5,112,"1045 of 3141"
"Webster County",28155,2.5,96,"1018 of 3141"
"Lamar County",28073,2.6,564,"976 of 3141"
"Bolivar County",28011,2.6,315,"969 of 3141"
"Tippah County",28139,2.6,211,"966 of 3141"
"Lafayette County",28071,2.7,530,"896 of 3141"
"Washington County",28151,2.7,500,"854 of 3141"
"Lawrence County",28077,2.8,133,"846 of 3141"
"Warren County",28149,2.8,514,"839 of 3141"
"Chickasaw County",28017,2.8,179,"837 of 3141"
"Adams County",28001,2.8,326,"809 of 3141"
"Jasper County",28061,3.0,203,"753 of 3141"
"Jones County",28067,3.0,739,"743 of 3141"
"Lauderdale County",28075,3.0,903,"729 of 3141"
"Hinds County",28049,3.2,2818,"651 of 3141"
"Calhoun County",28013,3.2,186,"641 of 3141"
"Leflore County",28083,3.2,338,"624 of 3141"
"Pearl River County",28109,3.3,676,"608 of 3141"
"Attala County",28007,3.3,236,"602 of 3141"
"Harrison County",28047,3.3,2554,"601 of 3141"
"Pontotoc County",28115,3.4,368,"556 of 3141"
"Carroll County",28015,3.4,123,"548 of 3141"
"Jefferson County",28063,3.4,84,"547 of 3141"
"Kemper County",28069,3.4,127,"543 of 3141"
"Lee County",28081,3.5,1150,"508 of 3141"
"Union County",28145,3.6,361,"478 of 3141"
"Greene County",28041,3.7,156,"447 of 3141"
"Winston County",28159,3.8,279,"437 of 3141"
"Sunflower County",28133,3.8,324,"426 of 3141"
"Copiah County",28029,3.9,379,"413 of 3141"
"Issaquena County",28055,3.9,17,"408 of 3141"
"Walthall County",28147,4.0,234,"389 of 3141"
"Simpson County",28127,4.0,371,"387 of 3141"
"Leake County",28079,4.0,329,"383 of 3141"
"Perry County",28111,4.1,182,"366 of 3141"
"Holmes County",28051,4.2,261,"343 of 3141"
"Yazoo County",28163,4.2,362,"334 of 3141"
"Panola County",28107,4.2,523,"332 of 3141"
"Sharkey County",28125,4.3,77,"324 of 3141"
"Tate County",28137,4.3,427,"322 of 3141"
"Newton County",28101,4.3,347,"314 of 3141"
"Humphreys County",28053,4.4,136,"309 of 3141"
"Marion County",28091,4.4,430,"294 of 3141"
"Noxubee County",28103,4.7,188,"251 of 3141"
"Quitman County",28119,4.7,145,"248 of 3141"
"Stone County",28131,4.8,284,"245 of 3141"
"Scott County",28123,5.4,546,"191 of 3141"
"Neshoba County",28099,6.0,651,"153 of 3141"
"Claiborne County",28021,6.4,203,"132 of 3141"
"Tunica County",28143,9.9,395,"43 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
