------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Leflore County",28083,12.0,1244,"3014 of 3141"
"Copiah County",28029,12.3,1445,"3024 of 3141"
"Wilkinson County",28157,12.5,335,"3031 of 3141"
"Bolivar County",28011,12.6,1618,"3034 of 3141"
"Issaquena County",28055,12.6,48,"3035 of 3141"
"Benton County",28009,13.7,465,"3063 of 3141"
"Tallahatchie County",28135,13.7,630,"3064 of 3141"
"Noxubee County",28103,14.8,689,"3082 of 3141"
"Sharkey County",28125,14.9,265,"3084 of 3141"
"Yazoo County",28163,15.9,1467,"3104 of 3141"
"Washington County",28151,16.8,3465,"3111 of 3141"
"Sunflower County",28133,17.6,1782,"3120 of 3141"
"Claiborne County",28021,17.7,516,"3121 of 3141"
"Coahoma County",28027,19.0,1971,"3122 of 3141"
"Holmes County",28051,19.6,1195,"3125 of 3141"
"Humphreys County",28053,21.1,732,"3131 of 3141"
"Quitman County",28119,24.3,750,"3136 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
