------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Alcorn County",28003,19.2,4853,"2512 of 3141"
"Perry County",28111,19.3,1584,"2515 of 3141"
"Pike County",28113,19.3,4882,"2519 of 3141"
"Tate County",28137,19.5,3587,"2546 of 3141"
"Montgomery County",28097,19.8,1410,"2572 of 3141"
"Smith County",28129,19.8,2142,"2582 of 3141"
"Walthall County",28147,19.8,1924,"2585 of 3141"
"Clay County",28025,20.0,2682,"2598 of 3141"
"Kemper County",28069,20.0,1383,"2601 of 3141"
"Monroe County",28095,20.1,4973,"2613 of 3141"
"Adams County",28001,20.5,4466,"2644 of 3141"
"Marshall County",28093,20.6,5044,"2657 of 3141"
"George County",28039,20.6,3138,"2659 of 3141"
"Simpson County",28127,20.7,3764,"2667 of 3141"
"Tishomingo County",28141,20.9,2845,"2683 of 3141"
"Winston County",28159,20.9,2679,"2687 of 3141"
"Clarke County",28023,21.1,2340,"2699 of 3141"
"Amite County",28005,21.1,1965,"2708 of 3141"
"Washington County",28151,21.2,6507,"2713 of 3141"
"Grenada County",28043,21.2,3043,"2717 of 3141"
"Tunica County",28143,21.3,1423,"2730 of 3141"
"Copiah County",28029,21.5,4056,"2746 of 3141"
"Coahoma County",28027,21.6,3210,"2751 of 3141"
"Union County",28145,21.7,4052,"2757 of 3141"
"Leake County",28079,21.7,3169,"2762 of 3141"
"Leflore County",28083,21.8,3944,"2769 of 3141"
"Prentiss County",28117,21.8,3683,"2770 of 3141"
"Neshoba County",28099,21.8,4054,"2771 of 3141"
"Marion County",28091,22.1,3794,"2794 of 3141"
"Panola County",28107,22.2,4947,"2802 of 3141"
"Itawamba County",28057,22.3,3487,"2808 of 3141"
"Tippah County",28139,22.4,3218,"2816 of 3141"
"Attala County",28007,22.6,2812,"2834 of 3141"
"Yazoo County",28163,23.6,4300,"2899 of 3141"
"Bolivar County",28011,23.9,5059,"2912 of 3141"
"Pontotoc County",28115,24.0,4811,"2914 of 3141"
"Claiborne County",28021,24.0,1277,"2917 of 3141"
"Greene County",28041,24.1,2388,"2919 of 3141"
"Jefferson Davis County",28065,24.3,1972,"2930 of 3141"
"Calhoun County",28013,24.6,2442,"2948 of 3141"
"Sharkey County",28125,24.7,774,"2951 of 3141"
"Holmes County",28051,24.7,2756,"2952 of 3141"
"Wayne County",28153,24.9,3398,"2963 of 3141"
"Chickasaw County",28017,25.5,2886,"2982 of 3141"
"Jefferson County",28063,25.8,1276,"2998 of 3141"
"Scott County",28123,25.8,4767,"3001 of 3141"
"Benton County",28009,26.9,1524,"3033 of 3141"
"Sunflower County",28133,27.8,4911,"3051 of 3141"
"Tallahatchie County",28135,29.1,3028,"3069 of 3141"
"Wilkinson County",28157,30.2,1902,"3084 of 3141"
"Quitman County",28119,30.8,1542,"3093 of 3141"
"Humphreys County",28053,31.7,1755,"3102 of 3141"
"Noxubee County",28103,31.8,2274,"3103 of 3141"
"Issaquena County",28055,34.4,354,"3118 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
