------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Caldwell County",29025,13.3,1160,"1195 of 3141"
"Ralls County",29173,13.3,1342,"1205 of 3141"
"Chariton County",29041,14.2,1038,"1369 of 3141"
"Bates County",29013,14.3,2296,"1408 of 3141"
"Polk County",29167,14.4,4309,"1423 of 3141"
"Carter County",29035,14.5,900,"1446 of 3141"
"Worth County",29227,15.0,299,"1532 of 3141"
"Pike County",29163,15.1,2444,"1555 of 3141"
"Vernon County",29217,15.2,3018,"1563 of 3141"
"Lewis County",29111,15.2,1418,"1566 of 3141"
"Clark County",29045,15.3,1023,"1594 of 3141"
"St. Francois County",29187,15.4,9139,"1619 of 3141"
"Shelby County",29205,15.5,899,"1625 of 3141"
"Ray County",29177,15.6,3527,"1657 of 3141"
"Dallas County",29059,15.7,2553,"1682 of 3141"
"Sullivan County",29211,15.9,989,"1728 of 3141"
"Jackson County",29095,15.9,108026,"1731 of 3141"
"Montgomery County",29139,16.1,1804,"1753 of 3141"
"Johnson County",29101,16.2,7953,"1768 of 3141"
"Howard County",29089,16.4,1551,"1810 of 3141"
"Linn County",29115,16.5,1999,"1824 of 3141"
"Randolph County",29175,16.5,3758,"1832 of 3141"
"Miller County",29131,16.5,4061,"1834 of 3141"
"Ste. Genevieve County",29186,16.6,2934,"1865 of 3141"
"Scotland County",29199,16.7,792,"1877 of 3141"
"Audrain County",29007,16.7,3953,"1889 of 3141"
"Stoddard County",29207,16.8,4864,"1907 of 3141"
"Putnam County",29171,16.9,808,"1927 of 3141"
"Macon County",29121,17.0,2563,"1952 of 3141"
"Lawrence County",29109,17.1,6387,"1958 of 3141"
"Taney County",29213,17.1,8996,"1968 of 3141"
"Pettis County",29159,17.2,7125,"1992 of 3141"
"Buchanan County",29021,17.3,14698,"1994 of 3141"
"Reynolds County",29179,17.3,1067,"2007 of 3141"
"Saline County",29195,17.3,3759,"2010 of 3141"
"Jasper County",29097,17.3,20083,"2013 of 3141"
"Camden County",29029,17.5,7753,"2044 of 3141"
"Mercer County",29129,17.7,634,"2074 of 3141"
"Laclede County",29105,17.7,6198,"2084 of 3141"
"Cape Girardeau County",29031,17.7,13251,"2088 of 3141"
"Livingston County",29117,17.9,2469,"2131 of 3141"
"Gentry County",29075,18.1,1180,"2170 of 3141"
"Harrison County",29081,18.3,1527,"2193 of 3141"
"Carroll County",29033,18.4,1615,"2213 of 3141"
"Webster County",29225,18.4,6694,"2214 of 3141"
"Marion County",29127,18.4,5013,"2215 of 3141"
"Schuyler County",29197,18.4,803,"2217 of 3141"
"Greene County",29077,18.5,50765,"2221 of 3141"
"Benton County",29015,18.6,3456,"2239 of 3141"
"Boone County",29019,18.7,30979,"2265 of 3141"
"Madison County",29123,18.8,2241,"2279 of 3141"
"Maries County",29125,18.9,1673,"2289 of 3141"
"McDonald County",29119,19.0,4269,"2305 of 3141"
"Bollinger County",29017,19.9,2438,"2422 of 3141"
"Crawford County",29055,20.0,4803,"2430 of 3141"
"Scott County",29201,20.1,7646,"2440 of 3141"
"Washington County",29221,20.2,4749,"2448 of 3141"
"Knox County",29103,20.2,787,"2451 of 3141"
"Phelps County",29161,20.4,8542,"2475 of 3141"
"Grundy County",29079,20.5,2008,"2481 of 3141"
"Barry County",29009,20.5,7141,"2485 of 3141"
"Douglas County",29067,20.6,2718,"2491 of 3141"
"Dent County",29065,20.8,3178,"2513 of 3141"
"Barton County",29011,20.9,2460,"2523 of 3141"
"Iron County",29093,21.2,2083,"2558 of 3141"
"Henry County",29083,21.2,4524,"2562 of 3141"
"Butler County",29023,21.6,9025,"2614 of 3141"
"St. Clair County",29185,22.2,2017,"2666 of 3141"
"Cedar County",29039,22.6,3079,"2701 of 3141"
"Nodaway County",29147,22.6,4438,"2707 of 3141"
"Dade County",29057,22.9,1691,"2731 of 3141"
"Howell County",29091,22.9,9026,"2732 of 3141"
"Hickory County",29085,23.3,2143,"2766 of 3141"
"Ripley County",29181,23.4,3187,"2774 of 3141"
"Wayne County",29223,23.4,3065,"2775 of 3141"
"New Madrid County",29143,24.1,4240,"2808 of 3141"
"Wright County",29229,25.0,4493,"2859 of 3141"
"St. Louis City",29510,25.0,76472,"2861 of 3141"
"Texas County",29215,25.3,6102,"2876 of 3141"
"Oregon County",29149,25.3,2662,"2885 of 3141"
"Morgan County",29141,25.5,5011,"2895 of 3141"
"Adair County",29001,26.2,5943,"2922 of 3141"
"Dunklin County",29069,26.6,8025,"2951 of 3141"
"Ozark County",29153,27.6,2549,"2983 of 3141"
"Pemiscot County",29155,28.5,4859,"3004 of 3141"
"Shannon County",29203,30.5,2483,"3040 of 3141"
"Mississippi County",29133,31.7,3843,"3059 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
