------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Worth County",29227,12.3,183,"1537 of 3141"
"Franklin County",29071,12.3,8634,"1538 of 3141"
"Polk County",29167,12.4,2471,"1558 of 3141"
"Dade County",29057,12.4,673,"1562 of 3141"
"Gasconade County",29073,12.4,1313,"1563 of 3141"
"Barton County",29011,12.7,1026,"1621 of 3141"
"Ste. Genevieve County",29186,12.7,1598,"1627 of 3141"
"Newton County",29145,12.9,5035,"1650 of 3141"
"Jasper County",29097,12.9,9974,"1655 of 3141"
"DeKalb County",29063,12.9,1217,"1660 of 3141"
"Livingston County",29117,13.0,1383,"1669 of 3141"
"Stone County",29209,13.2,3183,"1707 of 3141"
"Grundy County",29079,13.2,898,"1708 of 3141"
"Webster County",29225,13.3,3233,"1725 of 3141"
"Miller County",29131,13.6,2312,"1764 of 3141"
"Phelps County",29161,13.6,3782,"1765 of 3141"
"Knox County",29103,13.7,369,"1777 of 3141"
"Callaway County",29027,14.0,4236,"1823 of 3141"
"Randolph County",29175,14.1,2413,"1840 of 3141"
"Carroll County",29033,14.2,875,"1860 of 3141"
"Bates County",29013,14.2,1595,"1868 of 3141"
"Howell County",29091,14.3,3874,"1876 of 3141"
"St. Louis City",29510,14.3,31498,"1883 of 3141"
"Clark County",29045,14.6,691,"1916 of 3141"
"Audrain County",29007,15.3,2685,"2019 of 3141"
"Ozark County",29153,15.4,1069,"2037 of 3141"
"Harrison County",29081,15.5,914,"2057 of 3141"
"Benton County",29015,15.5,2263,"2074 of 3141"
"Daviess County",29061,15.7,868,"2098 of 3141"
"Montgomery County",29139,15.8,1290,"2101 of 3141"
"Saline County",29195,15.9,2414,"2124 of 3141"
"Maries County",29125,16.1,1024,"2151 of 3141"
"Oregon County",29149,16.1,1229,"2152 of 3141"
"Moniteau County",29135,16.2,1744,"2156 of 3141"
"Cedar County",29039,16.2,1558,"2157 of 3141"
"Pettis County",29159,16.2,4555,"2159 of 3141"
"Hickory County",29085,16.4,1193,"2181 of 3141"
"Pike County",29163,16.4,2096,"2183 of 3141"
"Laclede County",29105,16.5,3973,"2193 of 3141"
"Scott County",29201,16.5,4348,"2197 of 3141"
"Butler County",29023,16.5,4855,"2203 of 3141"
"Sullivan County",29211,16.7,741,"2228 of 3141"
"St. Francois County",29187,16.8,7809,"2246 of 3141"
"Lawrence County",29109,17.0,4327,"2268 of 3141"
"Texas County",29215,17.7,3168,"2355 of 3141"
"Shannon County",29203,18.1,1053,"2390 of 3141"
"Barry County",29009,18.4,4497,"2418 of 3141"
"Stoddard County",29207,18.6,3838,"2437 of 3141"
"Dallas County",29059,18.8,2129,"2461 of 3141"
"St. Clair County",29185,18.9,1321,"2471 of 3141"
"Madison County",29123,18.9,1618,"2476 of 3141"
"Iron County",29093,19.3,1423,"2516 of 3141"
"Wright County",29229,19.6,2429,"2557 of 3141"
"Douglas County",29067,19.6,1889,"2558 of 3141"
"Bollinger County",29017,20.2,1757,"2623 of 3141"
"Dent County",29065,20.4,2231,"2638 of 3141"
"Scotland County",29199,20.6,641,"2654 of 3141"
"Carter County",29035,20.6,875,"2656 of 3141"
"Ripley County",29181,21.3,2055,"2731 of 3141"
"McDonald County",29119,21.5,3201,"2742 of 3141"
"Morgan County",29141,22.6,3254,"2835 of 3141"
"Washington County",29221,23.0,3973,"2863 of 3141"
"Reynolds County",29179,23.2,1073,"2875 of 3141"
"Crawford County",29055,23.3,3931,"2881 of 3141"
"New Madrid County",29143,24.1,3001,"2923 of 3141"
"Wayne County",29223,24.6,2370,"2947 of 3141"
"Pemiscot County",29155,25.6,2867,"2986 of 3141"
"Mississippi County",29133,25.7,2518,"2991 of 3141"
"Dunklin County",29069,25.7,5235,"2996 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
