------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Lewis County",29111,8.6,209,"1051 of 3141"
"Ralls County",29173,8.7,254,"1077 of 3141"
"Monroe County",29137,8.8,205,"1089 of 3141"
"Daviess County",29061,8.8,183,"1108 of 3141"
"Worth County",29227,8.9,56,"1131 of 3141"
"Cole County",29051,9.1,1713,"1166 of 3141"
"Lafayette County",29107,9.1,845,"1167 of 3141"
"Vernon County",29217,9.1,507,"1173 of 3141"
"Newton County",29145,9.4,1474,"1230 of 3141"
"Clinton County",29049,9.4,555,"1242 of 3141"
"Boone County",29019,9.5,3748,"1276 of 3141"
"Callaway County",29027,9.5,1013,"1292 of 3141"
"Ray County",29177,9.5,581,"1299 of 3141"
"Caldwell County",29025,9.9,244,"1383 of 3141"
"Clark County",29045,10.0,198,"1399 of 3141"
"Shelby County",29205,10.0,164,"1425 of 3141"
"Sullivan County",29211,10.2,144,"1462 of 3141"
"Pike County",29163,10.2,453,"1470 of 3141"
"Cape Girardeau County",29031,10.2,1909,"1478 of 3141"
"Lincoln County",29113,10.3,1409,"1480 of 3141"
"Howard County",29089,10.3,255,"1482 of 3141"
"Bates County",29013,10.3,470,"1490 of 3141"
"DeKalb County",29063,10.3,258,"1492 of 3141"
"Carter County",29035,10.4,157,"1508 of 3141"
"Polk County",29167,10.5,836,"1531 of 3141"
"Pulaski County",29169,10.5,1084,"1541 of 3141"
"Adair County",29001,10.7,548,"1575 of 3141"
"St. Francois County",29187,10.7,1718,"1588 of 3141"
"Montgomery County",29139,11.3,364,"1748 of 3141"
"Schuyler County",29197,11.5,128,"1781 of 3141"
"Jackson County",29095,11.6,19060,"1812 of 3141"
"Maries County",29125,11.6,278,"1816 of 3141"
"Stoddard County",29207,11.8,888,"1847 of 3141"
"Camden County",29029,11.9,1412,"1860 of 3141"
"Miller County",29131,12.0,764,"1883 of 3141"
"Randolph County",29175,12.1,680,"1899 of 3141"
"Saline County",29195,12.1,684,"1906 of 3141"
"Greene County",29077,12.1,8528,"1910 of 3141"
"Gentry County",29075,12.2,216,"1939 of 3141"
"Audrain County",29007,12.2,742,"1943 of 3141"
"Nodaway County",29147,12.2,607,"1944 of 3141"
"Macon County",29121,12.2,461,"1945 of 3141"
"Phelps County",29161,12.3,1322,"1955 of 3141"
"Jasper County",29097,12.3,3706,"1958 of 3141"
"Putnam County",29171,12.4,167,"1974 of 3141"
"Mercer County",29129,12.6,115,"2012 of 3141"
"Linn County",29115,12.6,424,"2020 of 3141"
"Reynolds County",29179,12.6,239,"2028 of 3141"
"Scotland County",29199,12.8,159,"2049 of 3141"
"Taney County",29213,12.8,1948,"2050 of 3141"
"McDonald County",29119,12.8,778,"2069 of 3141"
"Buchanan County",29021,12.9,2662,"2074 of 3141"
"Webster County",29225,12.9,1259,"2076 of 3141"
"Lawrence County",29109,13.0,1326,"2098 of 3141"
"Benton County",29015,13.2,695,"2136 of 3141"
"Pettis County",29159,13.2,1416,"2146 of 3141"
"Livingston County",29117,13.5,500,"2187 of 3141"
"Barry County",29009,13.6,1273,"2207 of 3141"
"Marion County",29127,13.6,1002,"2214 of 3141"
"Knox County",29103,13.6,146,"2215 of 3141"
"Douglas County",29067,13.9,503,"2268 of 3141"
"Harrison County",29081,13.9,334,"2272 of 3141"
"Madison County",29123,14.0,457,"2296 of 3141"
"Carroll County",29033,14.1,344,"2313 of 3141"
"Dallas County",29059,14.2,640,"2327 of 3141"
"Dent County",29065,14.2,584,"2331 of 3141"
"Dade County",29057,14.3,305,"2348 of 3141"
"Hickory County",29085,14.7,379,"2393 of 3141"
"Henry County",29083,14.7,848,"2394 of 3141"
"Grundy County",29079,14.7,376,"2398 of 3141"
"Bollinger County",29017,14.7,503,"2401 of 3141"
"Wayne County",29223,14.9,549,"2422 of 3141"
"Laclede County",29105,15.1,1480,"2456 of 3141"
"St. Clair County",29185,15.1,400,"2462 of 3141"
"Iron County",29093,15.2,410,"2476 of 3141"
"Scott County",29201,15.4,1613,"2502 of 3141"
"Ste. Genevieve County",29186,15.5,794,"2518 of 3141"
"Washington County",29221,16.1,1043,"2579 of 3141"
"Crawford County",29055,16.2,992,"2591 of 3141"
"Butler County",29023,16.5,1834,"2628 of 3141"
"Barton County",29011,16.8,554,"2656 of 3141"
"Texas County",29215,17.0,1056,"2691 of 3141"
"Cedar County",29039,17.5,650,"2728 of 3141"
"Howell County",29091,18.2,1974,"2778 of 3141"
"Ripley County",29181,18.3,665,"2784 of 3141"
"Ozark County",29153,19.1,515,"2848 of 3141"
"St. Louis City",29510,19.7,12714,"2878 of 3141"
"Morgan County",29141,19.7,979,"2883 of 3141"
"New Madrid County",29143,20.6,1011,"2928 of 3141"
"Dunklin County",29069,20.7,1686,"2931 of 3141"
"Wright County",29229,20.8,1042,"2939 of 3141"
"Pemiscot County",29155,21.1,916,"2952 of 3141"
"Oregon County",29149,21.3,620,"2961 of 3141"
"Shannon County",29203,23.8,485,"3024 of 3141"
"Mississippi County",29133,27.4,997,"3079 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
