------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"Osage County",29151,3.9,524,"1647 of 3140"
"Barry County",29009,3.9,1366,"1651 of 3140"
"Lincoln County",29113,4.0,2141,"1676 of 3140"
"Marion County",29127,4.0,1121,"1679 of 3140"
"Carter County",29035,4.1,256,"1758 of 3140"
"Pettis County",29159,4.1,1716,"1761 of 3140"
"Holt County",29087,4.1,183,"1775 of 3140"
"Wayne County",29223,4.2,551,"1806 of 3140"
"Shelby County",29205,4.2,254,"1823 of 3140"
"Madison County",29123,4.2,510,"1828 of 3140"
"Howell County",29091,4.2,1672,"1839 of 3140"
"Ste. Genevieve County",29186,4.2,753,"1849 of 3140"
"Mercer County",29129,4.3,158,"1886 of 3140"
"Ozark County",29153,4.4,404,"1915 of 3140"
"Bates County",29013,4.4,720,"1939 of 3140"
"Ralls County",29173,4.4,441,"1949 of 3140"
"Crawford County",29055,4.4,1069,"1963 of 3140"
"Daviess County",29061,4.5,365,"1964 of 3140"
"Cedar County",29039,4.5,612,"1978 of 3140"
"Camden County",29029,4.5,1999,"1989 of 3140"
"Clay County",29047,4.6,10621,"2022 of 3140"
"Morgan County",29141,4.6,906,"2024 of 3140"
"Newton County",29145,4.6,2662,"2052 of 3140"
"Lewis County",29111,4.7,469,"2098 of 3140"
"Montgomery County",29139,4.8,546,"2133 of 3140"
"St. Louis City",29510,4.8,14802,"2138 of 3140"
"Saline County",29195,4.8,1095,"2165 of 3140"
"Stoddard County",29207,4.9,1430,"2196 of 3140"
"Buchanan County",29021,4.9,4292,"2197 of 3140"
"Andrew County",29003,4.9,843,"2207 of 3140"
"Ray County",29177,4.9,1110,"2215 of 3140"
"Scott County",29201,5.0,1901,"2244 of 3140"
"Dent County",29065,5.0,777,"2277 of 3140"
"St. Francois County",29187,5.1,3321,"2285 of 3140"
"Stone County",29209,5.2,1624,"2348 of 3140"
"Miller County",29131,5.2,1286,"2366 of 3140"
"Lawrence County",29109,5.3,1984,"2384 of 3140"
"Warren County",29219,5.3,1768,"2408 of 3140"
"Boone County",29019,5.4,9238,"2420 of 3140"
"St. Clair County",29185,5.4,503,"2434 of 3140"
"Shannon County",29203,5.4,445,"2453 of 3140"
"Lafayette County",29107,5.4,1750,"2455 of 3140"
"Mississippi County",29133,5.4,745,"2459 of 3140"
"Benton County",29015,5.5,1026,"2466 of 3140"
"Henry County",29083,5.5,1182,"2469 of 3140"
"Bollinger County",29017,5.5,673,"2493 of 3140"
"Douglas County",29067,5.7,751,"2536 of 3140"
"Howard County",29089,5.7,570,"2542 of 3140"
"Polk County",29167,5.7,1782,"2564 of 3140"
"Hickory County",29085,5.7,534,"2571 of 3140"
"Greene County",29077,5.7,16286,"2572 of 3140"
"Dallas County",29059,5.8,932,"2575 of 3140"
"Cape Girardeau County",29031,5.8,4468,"2590 of 3140"
"Texas County",29215,5.8,1480,"2592 of 3140"
"Grundy County",29079,5.9,592,"2619 of 3140"
"Christian County",29043,6.0,4939,"2643 of 3140"
"Gasconade County",29073,6.1,884,"2647 of 3140"
"Iron County",29093,6.2,631,"2678 of 3140"
"Clinton County",29049,6.4,1288,"2714 of 3140"
"Platte County",29165,6.4,6118,"2716 of 3140"
"Randolph County",29175,6.5,1605,"2737 of 3140"
"Cole County",29051,6.6,4984,"2756 of 3140"
"Caldwell County",29025,6.6,592,"2761 of 3140"
"Pike County",29163,7.1,1295,"2842 of 3140"
"Audrain County",29007,7.1,1811,"2844 of 3140"
"Livingston County",29117,7.1,1048,"2846 of 3140"
"Callaway County",29027,7.3,3227,"2872 of 3140"
"Adair County",29001,7.4,1854,"2880 of 3140"
"Cooper County",29053,7.7,1332,"2918 of 3140"
"Phelps County",29161,7.8,3453,"2935 of 3140"
"Dade County",29057,8.0,599,"2948 of 3140"
"Webster County",29225,8.1,2983,"2961 of 3140"
"Johnson County",29101,8.4,4482,"2988 of 3140"
"Moniteau County",29135,9.0,1409,"3020 of 3140"
"Maries County",29125,9.0,805,"3025 of 3140"
"Nodaway County",29147,10.8,2444,"3086 of 3140"
"DeKalb County",29063,11.4,1418,"3098 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
