------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Butler County",29023,2.0,852,"1788 of 3140"
"Schuyler County",29197,2.0,88,"1792 of 3140"
"Saline County",29195,2.0,457,"1794 of 3140"
"Carter County",29035,2.1,129,"1849 of 3140"
"Atchison County",29005,2.1,110,"1862 of 3140"
"Randolph County",29175,2.1,519,"1866 of 3140"
"St. Francois County",29187,2.1,1376,"1872 of 3140"
"Clinton County",29049,2.1,428,"1887 of 3140"
"Cass County",29037,2.1,2133,"1888 of 3140"
"Carroll County",29033,2.1,185,"1889 of 3140"
"Bates County",29013,2.1,349,"1908 of 3140"
"Vernon County",29217,2.2,441,"1922 of 3140"
"Dunklin County",29069,2.2,662,"1938 of 3140"
"Pettis County",29159,2.3,946,"1996 of 3140"
"Dent County",29065,2.3,349,"1997 of 3140"
"Christian County",29043,2.3,1867,"2014 of 3140"
"Andrew County",29003,2.3,396,"2030 of 3140"
"Lafayette County",29107,2.3,745,"2034 of 3140"
"St. Louis County",29189,2.3,22891,"2039 of 3140"
"Cape Girardeau County",29031,2.3,1792,"2049 of 3140"
"Sullivan County",29211,2.3,147,"2052 of 3140"
"Madison County",29123,2.4,285,"2065 of 3140"
"Scott County",29201,2.4,912,"2086 of 3140"
"Clark County",29045,2.4,162,"2101 of 3140"
"Scotland County",29199,2.4,116,"2114 of 3140"
"Marion County",29127,2.4,690,"2115 of 3140"
"Dade County",29057,2.4,184,"2124 of 3140"
"Mercer County",29129,2.5,92,"2171 of 3140"
"Perry County",29157,2.5,477,"2173 of 3140"
"Cedar County",29039,2.5,346,"2181 of 3140"
"Putnam County",29171,2.6,122,"2195 of 3140"
"Texas County",29215,2.6,670,"2241 of 3140"
"Douglas County",29067,2.7,352,"2250 of 3140"
"Harrison County",29081,2.7,227,"2265 of 3140"
"Jasper County",29097,2.7,3179,"2286 of 3140"
"Greene County",29077,2.7,7760,"2304 of 3140"
"Barry County",29009,2.9,1003,"2381 of 3140"
"Wright County",29229,2.9,521,"2382 of 3140"
"Newton County",29145,2.9,1666,"2389 of 3140"
"Jackson County",29095,2.9,19791,"2405 of 3140"
"Lawrence County",29109,2.9,1102,"2413 of 3140"
"DeKalb County",29063,3.0,372,"2439 of 3140"
"Benton County",29015,3.1,579,"2487 of 3140"
"Daviess County",29061,3.1,258,"2516 of 3140"
"Polk County",29167,3.2,990,"2538 of 3140"
"Clay County",29047,3.2,7525,"2558 of 3140"
"Stone County",29209,3.3,1022,"2583 of 3140"
"Oregon County",29149,3.3,351,"2594 of 3140"
"Phelps County",29161,3.4,1476,"2611 of 3140"
"Camden County",29029,3.4,1526,"2638 of 3140"
"St. Louis City",29510,3.7,11630,"2731 of 3140"
"Pemiscot County",29155,3.9,666,"2776 of 3140"
"Boone County",29019,3.9,6759,"2780 of 3140"
"Lewis County",29111,4.1,410,"2822 of 3140"
"Adair County",29001,4.2,1053,"2837 of 3140"
"McDonald County",29119,4.4,983,"2877 of 3140"
"Johnson County",29101,4.5,2381,"2903 of 3140"
"Platte County",29165,4.7,4515,"2935 of 3140"
"St. Clair County",29185,4.8,448,"2946 of 3140"
"Taney County",29213,5.2,2801,"2993 of 3140"
"Nodaway County",29147,5.5,1240,"3017 of 3140"
"Pulaski County",29169,25.1,13189,"3139 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
