------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"St. Louis County",29189,5.9,31165,"1493 of 3141"
"Scott County",29201,6.0,1084,"1528 of 3141"
"Schuyler County",29197,6.0,122,"1544 of 3141"
"Randolph County",29175,6.1,653,"1582 of 3141"
"Warren County",29219,6.1,968,"1607 of 3141"
"McDonald County",29119,6.2,596,"1645 of 3141"
"Lawrence County",29109,6.2,1113,"1670 of 3141"
"Lincoln County",29113,6.3,1685,"1690 of 3141"
"Taney County",29213,6.3,1647,"1709 of 3141"
"Phelps County",29161,6.3,1289,"1713 of 3141"
"St. Francois County",29187,6.5,1818,"1791 of 3141"
"Jefferson County",29099,6.5,7564,"1797 of 3141"
"Marion County",29127,6.5,915,"1817 of 3141"
"Henry County",29083,6.7,640,"1915 of 3141"
"Carter County",29035,6.9,183,"1990 of 3141"
"Johnson County",29101,6.9,1812,"2028 of 3141"
"Dunklin County",29069,6.9,871,"2030 of 3141"
"Douglas County",29067,7.0,379,"2072 of 3141"
"Miller County",29131,7.1,843,"2079 of 3141"
"Stoddard County",29207,7.1,979,"2080 of 3141"
"Texas County",29215,7.1,671,"2089 of 3141"
"Ripley County",29181,7.2,416,"2111 of 3141"
"Morgan County",29141,7.3,560,"2145 of 3141"
"Dent County",29065,7.3,470,"2165 of 3141"
"Audrain County",29007,7.4,853,"2208 of 3141"
"Macon County",29121,7.4,514,"2214 of 3141"
"Reynolds County",29179,7.6,207,"2259 of 3141"
"Stone County",29209,7.7,1019,"2316 of 3141"
"Laclede County",29105,7.7,1242,"2320 of 3141"
"Maries County",29125,7.7,310,"2325 of 3141"
"Dallas County",29059,7.8,504,"2348 of 3141"
"Camden County",29029,8.0,1481,"2406 of 3141"
"St. Clair County",29185,8.0,295,"2420 of 3141"
"Barry County",29009,8.0,1243,"2425 of 3141"
"Shannon County",29203,8.1,255,"2447 of 3141"
"Wayne County",29223,8.1,396,"2450 of 3141"
"Carroll County",29033,8.2,329,"2470 of 3141"
"Ozark County",29153,8.4,286,"2546 of 3141"
"Wright County",29229,8.4,611,"2550 of 3141"
"Iron County",29093,8.6,362,"2590 of 3141"
"Pulaski County",29169,8.8,1552,"2621 of 3141"
"Butler County",29023,9.2,1722,"2711 of 3141"
"Dade County",29057,9.3,321,"2726 of 3141"
"New Madrid County",29143,9.4,716,"2741 of 3141"
"St. Louis City",29510,9.4,15697,"2742 of 3141"
"Hickory County",29085,9.6,341,"2796 of 3141"
"Benton County",29015,9.7,664,"2808 of 3141"
"Washington County",29221,9.9,999,"2826 of 3141"
"Mississippi County",29133,10.0,530,"2838 of 3141"
"Pemiscot County",29155,10.7,756,"2930 of 3141"
"Cedar County",29039,11.2,618,"2961 of 3141"
"Crawford County",29055,11.6,1233,"2990 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
