------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Pike County",29163,0.3,17,"696 of 3140"
"Miller County",29131,0.3,26,"732 of 3140"
"Jefferson County",29099,0.3,238,"755 of 3140"
"Lewis County",29111,0.3,11,"767 of 3140"
"Scott County",29201,0.3,45,"773 of 3140"
"Audrain County",29007,0.3,28,"777 of 3140"
"Butler County",29023,0.3,52,"804 of 3140"
"Lincoln County",29113,0.3,61,"827 of 3140"
"Benton County",29015,0.3,27,"855 of 3140"
"Mercer County",29129,0.4,5,"901 of 3140"
"Livingston County",29117,0.4,21,"904 of 3140"
"Crawford County",29055,0.4,34,"910 of 3140"
"Warren County",29219,0.4,45,"921 of 3140"
"Vernon County",29217,0.4,31,"933 of 3140"
"Daviess County",29061,0.4,12,"950 of 3140"
"Harrison County",29081,0.4,14,"967 of 3140"
"Dade County",29057,0.4,13,"1010 of 3140"
"Howell County",29091,0.4,69,"1022 of 3140"
"Stone County",29209,0.4,55,"1025 of 3140"
"Callaway County",29027,0.4,72,"1059 of 3140"
"Randolph County",29175,0.5,40,"1094 of 3140"
"Schuyler County",29197,0.5,8,"1095 of 3140"
"Caldwell County",29025,0.5,18,"1098 of 3140"
"Cass County",29037,0.5,189,"1110 of 3140"
"Gentry County",29075,0.5,13,"1111 of 3140"
"Perry County",29157,0.5,37,"1116 of 3140"
"Osage County",29151,0.5,26,"1143 of 3140"
"Webster County",29225,0.5,72,"1189 of 3140"
"Clinton County",29049,0.5,45,"1198 of 3140"
"Morgan County",29141,0.6,43,"1206 of 3140"
"Cape Girardeau County",29031,0.6,169,"1235 of 3140"
"Cole County",29051,0.6,171,"1243 of 3140"
"Carroll County",29033,0.6,23,"1330 of 3140"
"Dallas County",29059,0.7,42,"1390 of 3140"
"St. Charles County",29183,0.7,1059,"1468 of 3140"
"Lafayette County",29107,0.8,103,"1512 of 3140"
"Scotland County",29199,0.8,15,"1534 of 3140"
"Nodaway County",29147,1.0,83,"1697 of 3140"
"Greene County",29077,1.0,1194,"1712 of 3140"
"Grundy County",29079,1.0,41,"1738 of 3140"
"Pulaski County",29169,1.0,157,"1739 of 3140"
"Lawrence County",29109,1.0,152,"1762 of 3140"
"Jasper County",29097,1.1,517,"1824 of 3140"
"Adair County",29001,1.3,121,"1929 of 3140"
"Newton County",29145,1.3,293,"1976 of 3140"
"Taney County",29213,1.4,300,"1989 of 3140"
"Dunklin County",29069,1.4,176,"2008 of 3140"
"Clay County",29047,1.5,1386,"2118 of 3140"
"Pettis County",29159,1.6,251,"2135 of 3140"
"Boone County",29019,1.6,1079,"2136 of 3140"
"Barry County",29009,1.6,206,"2140 of 3140"
"Moniteau County",29135,1.6,86,"2153 of 3140"
"St. Louis County",29189,1.6,6619,"2182 of 3140"
"Buchanan County",29021,1.6,549,"2184 of 3140"
"Platte County",29165,1.9,711,"2280 of 3140"
"Jackson County",29095,2.1,5908,"2364 of 3140"
"St. Louis City",29510,2.2,3090,"2402 of 3140"
"Phelps County",29161,2.5,426,"2500 of 3140"
"Saline County",29195,2.5,218,"2511 of 3140"
"McDonald County",29119,3.0,246,"2637 of 3140"
"Sullivan County",29211,4.3,98,"2804 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
