------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Washington County",29221,95.0,23725,"821 of 3141"
"St. Clair County",29185,95.2,8941,"799 of 3141"
"Clinton County",29049,95.2,19518,"783 of 3141"
"Reynolds County",29179,95.3,6064,"770 of 3141"
"Carter County",29035,95.4,5967,"761 of 3141"
"Montgomery County",29139,95.4,11089,"749 of 3141"
"Webster County",29225,95.5,35872,"728 of 3141"
"Polk County",29167,95.5,29949,"722 of 3141"
"Christian County",29043,95.6,79335,"720 of 3141"
"Vernon County",29217,95.6,19752,"717 of 3141"
"Oregon County",29149,95.6,10304,"713 of 3141"
"Shannon County",29203,95.6,7909,"711 of 3141"
"Dade County",29057,95.6,7251,"700 of 3141"
"Henry County",29083,95.7,20900,"676 of 3141"
"Ray County",29177,95.7,21882,"674 of 3141"
"Laclede County",29105,95.8,33981,"669 of 3141"
"Chariton County",29041,95.8,7266,"662 of 3141"
"Dallas County",29059,95.9,15759,"643 of 3141"
"Bates County",29013,95.9,15726,"641 of 3141"
"Howell County",29091,95.9,38497,"632 of 3141"
"Andrew County",29003,95.9,16650,"624 of 3141"
"Dent County",29065,96.0,14941,"607 of 3141"
"Carroll County",29033,96.0,8553,"603 of 3141"
"Iron County",29093,96.0,9875,"602 of 3141"
"Morgan County",29141,96.2,19324,"567 of 3141"
"Franklin County",29071,96.2,98482,"565 of 3141"
"Caldwell County",29025,96.2,8699,"563 of 3141"
"Camden County",29029,96.2,43154,"551 of 3141"
"Jefferson County",29099,96.2,214198,"550 of 3141"
"Grundy County",29079,96.2,9729,"548 of 3141"
"Ozark County",29153,96.3,8985,"518 of 3141"
"Linn County",29115,96.3,11800,"514 of 3141"
"Miller County",29131,96.4,24041,"505 of 3141"
"Wright County",29229,96.4,17643,"501 of 3141"
"Putnam County",29171,96.5,4675,"487 of 3141"
"Stone County",29209,96.5,30423,"483 of 3141"
"Ripley County",29181,96.5,13323,"482 of 3141"
"Hickory County",29085,96.5,9027,"472 of 3141"
"Cedar County",29039,96.6,13392,"440 of 3141"
"Holt County",29087,96.7,4349,"421 of 3141"
"Knox County",29103,96.7,3845,"411 of 3141"
"Gentry County",29075,96.7,6469,"407 of 3141"
"Ste. Genevieve County",29186,96.7,17300,"397 of 3141"
"Benton County",29015,96.8,18307,"390 of 3141"
"Ralls County",29173,96.8,9883,"378 of 3141"
"Crawford County",29055,96.8,23615,"372 of 3141"
"Mercer County",29129,96.8,3553,"369 of 3141"
"Wayne County",29223,96.9,12949,"362 of 3141"
"Stoddard County",29207,97.1,28783,"287 of 3141"
"Harrison County",29081,97.1,8369,"283 of 3141"
"Madison County",29123,97.2,11889,"261 of 3141"
"Shelby County",29205,97.3,5917,"256 of 3141"
"Daviess County",29061,97.3,8078,"236 of 3141"
"Perry County",29157,97.3,18627,"230 of 3141"
"Gasconade County",29073,97.5,14396,"198 of 3141"
"Clark County",29045,97.7,6651,"154 of 3141"
"Schuyler County",29197,97.7,4349,"148 of 3141"
"Atchison County",29005,97.7,5214,"147 of 3141"
"Bollinger County",29017,97.7,12068,"146 of 3141"
"Worth County",29227,97.8,2007,"143 of 3141"
"Scotland County",29199,97.8,4776,"127 of 3141"
"Osage County",29151,98.1,13354,"76 of 3141"
"Maries County",29125,98.3,8806,"55 of 3141"
"Douglas County",29067,98.9,13247,"29 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
