------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"St. Clair County",29185,0.2,18,"2601 of 3141"
"Dade County",29057,0.2,15,"2585 of 3141"
"Dallas County",29059,0.2,33,"2575 of 3141"
"Henry County",29083,0.2,54,"2495 of 3141"
"Bates County",29013,0.2,41,"2489 of 3141"
"Audrain County",29007,0.3,66,"2480 of 3141"
"Carroll County",29033,0.3,24,"2456 of 3141"
"Ozark County",29153,0.3,26,"2433 of 3141"
"Putnam County",29171,0.3,14,"2410 of 3141"
"Clinton County",29049,0.3,64,"2362 of 3141"
"Lewis County",29111,0.3,33,"2330 of 3141"
"Polk County",29167,0.3,103,"2326 of 3141"
"Reynolds County",29179,0.3,21,"2323 of 3141"
"Linn County",29115,0.3,41,"2314 of 3141"
"Howard County",29089,0.3,34,"2311 of 3141"
"Worth County",29227,0.3,7,"2297 of 3141"
"DeKalb County",29063,0.4,44,"2278 of 3141"
"Laclede County",29105,0.4,125,"2274 of 3141"
"Montgomery County",29139,0.4,42,"2256 of 3141"
"Grundy County",29079,0.4,38,"2218 of 3141"
"Scott County",29201,0.4,147,"2208 of 3141"
"Dent County",29065,0.4,60,"2191 of 3141"
"Caldwell County",29025,0.4,35,"2185 of 3141"
"Macon County",29121,0.4,61,"2156 of 3141"
"Bollinger County",29017,0.4,50,"2137 of 3141"
"Cooper County",29053,0.4,72,"2133 of 3141"
"Madison County",29123,0.4,50,"2131 of 3141"
"Cedar County",29039,0.4,57,"2120 of 3141"
"Dunklin County",29069,0.4,129,"2103 of 3141"
"Ripley County",29181,0.4,59,"2078 of 3141"
"Monroe County",29137,0.4,39,"2013 of 3141"
"Howell County",29091,0.5,188,"1971 of 3141"
"Sullivan County",29211,0.5,30,"1968 of 3141"
"Miller County",29131,0.5,119,"1942 of 3141"
"Knox County",29103,0.5,19,"1939 of 3141"
"Ralls County",29173,0.5,49,"1934 of 3141"
"Holt County",29087,0.5,22,"1910 of 3141"
"Webster County",29225,0.5,184,"1908 of 3141"
"Gentry County",29075,0.5,33,"1899 of 3141"
"Lincoln County",29113,0.5,272,"1889 of 3141"
"Wright County",29229,0.5,92,"1871 of 3141"
"Christian County",29043,0.5,422,"1860 of 3141"
"Lawrence County",29109,0.5,203,"1804 of 3141"
"Lafayette County",29107,0.5,176,"1784 of 3141"
"St. Francois County",29187,0.5,359,"1775 of 3141"
"Atchison County",29005,0.6,33,"1620 of 3141"
"Franklin County",29071,0.6,636,"1616 of 3141"
"Camden County",29029,0.6,279,"1613 of 3141"
"Pike County",29163,0.6,117,"1595 of 3141"
"Vernon County",29217,0.6,131,"1590 of 3141"
"Barton County",29011,0.6,76,"1583 of 3141"
"Pettis County",29159,0.6,270,"1580 of 3141"
"Andrew County",29003,0.7,113,"1558 of 3141"
"Livingston County",29117,0.7,99,"1548 of 3141"
"Randolph County",29175,0.7,165,"1543 of 3141"
"Perry County",29157,0.7,134,"1465 of 3141"
"Butler County",29023,0.7,303,"1449 of 3141"
"Mercer County",29129,0.7,27,"1382 of 3141"
"Warren County",29219,0.7,251,"1366 of 3141"
"Jefferson County",29099,0.8,1742,"1322 of 3141"
"Callaway County",29027,0.8,357,"1297 of 3141"
"Oregon County",29149,0.8,90,"1257 of 3141"
"Cass County",29037,0.8,864,"1244 of 3141"
"Marion County",29127,0.9,244,"1242 of 3141"
"Taney County",29213,0.9,497,"1163 of 3141"
"Buchanan County",29021,1.2,1088,"883 of 3141"
"Jasper County",29097,1.3,1502,"840 of 3141"
"Cape Girardeau County",29031,1.4,1121,"750 of 3141"
"Cole County",29051,1.5,1122,"732 of 3141"
"Barry County",29009,1.5,536,"702 of 3141"
"Saline County",29195,1.8,409,"602 of 3141"
"Johnson County",29101,1.8,974,"594 of 3141"
"Nodaway County",29147,2.0,446,"547 of 3141"
"Greene County",29077,2.0,5686,"543 of 3141"
"Jackson County",29095,2.1,14575,"506 of 3141"
"Newton County",29145,2.3,1319,"472 of 3141"
"St. Charles County",29183,2.4,9283,"445 of 3141"
"Clay County",29047,2.5,5808,"434 of 3141"
"Adair County",29001,2.7,675,"391 of 3141"
"Platte County",29165,2.8,2741,"361 of 3141"
"McDonald County",29119,2.9,665,"347 of 3141"
"Pulaski County",29169,3.0,1571,"339 of 3141"
"St. Louis City",29510,3.2,9975,"304 of 3141"
"Phelps County",29161,3.7,1642,"257 of 3141"
"St. Louis County",29189,4.0,39924,"226 of 3141"
"Boone County",29019,4.4,7630,"197 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
