------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Iosco County",26069,16.6,3233,"1998 of 3141"
"Hillsdale County",26059,16.8,5239,"1976 of 3141"
"Alpena County",26007,17.3,3651,"1888 of 3141"
"Ontonagon County",26131,17.4,870,"1871 of 3141"
"Crawford County",26039,17.6,1807,"1832 of 3141"
"Wexford County",26165,17.6,3999,"1825 of 3141"
"Alger County",26003,17.8,1266,"1801 of 3141"
"St. Clair County",26147,18.0,20178,"1761 of 3141"
"Cass County",26027,18.1,6572,"1749 of 3141"
"Oceana County",26127,18.1,3266,"1729 of 3141"
"Gogebic County",26053,18.4,2173,"1692 of 3141"
"Lapeer County",26087,18.4,11345,"1687 of 3141"
"Iron County",26071,18.5,1631,"1667 of 3141"
"Monroe County",26115,18.6,19303,"1659 of 3141"
"Muskegon County",26121,18.6,21707,"1647 of 3141"
"Bay County",26017,19.0,14206,"1574 of 3141"
"Mackinac County",26097,19.1,1584,"1560 of 3141"
"Cheboygan County",26031,19.5,3746,"1487 of 3141"
"Barry County",26015,19.5,8095,"1484 of 3141"
"Genesee County",26049,20.4,56811,"1325 of 3141"
"Lenawee County",26091,20.5,13924,"1311 of 3141"
"Manistee County",26101,20.5,3727,"1310 of 3141"
"Van Buren County",26159,20.6,10537,"1294 of 3141"
"Chippewa County",26033,20.7,5413,"1279 of 3141"
"Delta County",26041,20.7,5482,"1272 of 3141"
"Calhoun County",26025,21.0,19062,"1229 of 3141"
"Jackson County",26075,21.1,23073,"1214 of 3141"
"Saginaw County",26145,21.1,27846,"1212 of 3141"
"Mecosta County",26107,21.7,5785,"1143 of 3141"
"Otsego County",26137,22.0,3744,"1119 of 3141"
"Mason County",26105,22.2,4588,"1086 of 3141"
"Allegan County",26005,22.3,17092,"1075 of 3141"
"Wayne County",26163,22.8,267780,"998 of 3141"
"Macomb County",26099,24.2,146143,"854 of 3141"
"Keweenaw County",26083,25.1,415,"793 of 3141"
"Dickinson County",26043,25.5,4743,"771 of 3141"
"Eaton County",26045,26.1,19699,"717 of 3141"
"Berrien County",26021,26.7,28631,"671 of 3141"
"Antrim County",26009,26.9,4645,"654 of 3141"
"Benzie County",26019,28.6,3726,"553 of 3141"
"Isabella County",26073,29.4,11154,"520 of 3141"
"Charlevoix County",26029,30.3,5792,"467 of 3141"
"Marquette County",26103,30.8,13706,"440 of 3141"
"Clinton County",26037,31.5,16543,"394 of 3141"
"Ottawa County",26139,32.5,56107,"353 of 3141"
"Emmet County",26047,32.9,7806,"344 of 3141"
"Houghton County",26061,32.9,6966,"343 of 3141"
"Midland County",26111,34.1,19684,"297 of 3141"
"Grand Traverse County",26055,34.2,22381,"291 of 3141"
"Kent County",26081,34.7,144157,"276 of 3141"
"Livingston County",26093,34.7,44859,"275 of 3141"
"Kalamazoo County",26077,37.2,60013,"214 of 3141"
"Ingham County",26065,38.4,66033,"191 of 3141"
"Leelanau County",26089,40.8,6708,"141 of 3141"
"Oakland County",26125,45.7,397060,"85 of 3141"
"Washtenaw County",26161,54.3,121694,"22 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
