------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Delta County",26041,1.2,187,"2414 of 3141"
"Lenawee County",26091,1.2,466,"2356 of 3141"
"Roscommon County",26143,1.2,138,"2335 of 3141"
"Benzie County",26019,1.3,88,"2300 of 3141"
"Arenac County",26011,1.3,86,"2270 of 3141"
"Jackson County",26075,1.3,801,"2253 of 3141"
"Presque Isle County",26141,1.3,78,"2233 of 3141"
"Huron County",26063,1.3,183,"2226 of 3141"
"Monroe County",26115,1.3,776,"2222 of 3141"
"Kalamazoo County",26077,1.3,1370,"2206 of 3141"
"Ontonagon County",26131,1.4,40,"2189 of 3141"
"Genesee County",26049,1.4,2332,"2147 of 3141"
"Washtenaw County",26161,1.4,1950,"2143 of 3141"
"Calhoun County",26025,1.4,754,"2131 of 3141"
"Luce County",26095,1.4,32,"2116 of 3141"
"Sanilac County",26151,1.4,247,"2087 of 3141"
"Saginaw County",26145,1.5,1159,"2052 of 3141"
"Alger County",26003,1.5,49,"2015 of 3141"
"Antrim County",26009,1.6,151,"1966 of 3141"
"Emmet County",26047,1.6,226,"1963 of 3141"
"Crawford County",26039,1.6,94,"1962 of 3141"
"Lake County",26085,1.6,74,"1886 of 3141"
"Tuscola County",26157,1.6,352,"1882 of 3141"
"Grand Traverse County",26055,1.7,608,"1844 of 3141"
"Macomb County",26099,1.7,5708,"1838 of 3141"
"Eaton County",26045,1.7,742,"1836 of 3141"
"Berrien County",26021,1.7,1062,"1822 of 3141"
"Lapeer County",26087,1.7,560,"1811 of 3141"
"Ingham County",26065,1.7,1909,"1794 of 3141"
"Montcalm County",26117,1.7,411,"1762 of 3141"
"Barry County",26015,1.8,413,"1751 of 3141"
"Iosco County",26069,1.8,206,"1711 of 3141"
"Branch County",26023,1.9,304,"1648 of 3141"
"Muskegon County",26121,1.9,1225,"1613 of 3141"
"Hillsdale County",26059,1.9,342,"1584 of 3141"
"Ottawa County",26139,1.9,1908,"1581 of 3141"
"Isabella County",26073,1.9,478,"1575 of 3141"
"Mackinac County",26097,1.9,99,"1567 of 3141"
"Kent County",26081,2.0,4794,"1476 of 3141"
"Gladwin County",26051,2.1,228,"1426 of 3141"
"Houghton County",26061,2.1,280,"1371 of 3141"
"Ionia County",26067,2.1,483,"1363 of 3141"
"Wexford County",26165,2.2,282,"1347 of 3141"
"Allegan County",26005,2.2,929,"1316 of 3141"
"Cass County",26027,2.2,453,"1307 of 3141"
"Osceola County",26133,2.2,200,"1281 of 3141"
"Wayne County",26163,2.2,15042,"1261 of 3141"
"Kalkaska County",26079,2.2,157,"1259 of 3141"
"Mecosta County",26107,2.2,351,"1250 of 3141"
"Newaygo County",26123,2.3,433,"1193 of 3141"
"Ogemaw County",26129,2.4,220,"1147 of 3141"
"Otsego County",26137,2.4,234,"1134 of 3141"
"Clare County",26035,2.5,313,"1061 of 3141"
"Baraga County",26013,2.5,75,"1025 of 3141"
"St. Joseph County",26149,2.6,623,"950 of 3141"
"Keweenaw County",26083,2.7,27,"912 of 3141"
"Van Buren County",26159,2.7,781,"899 of 3141"
"Oscoda County",26135,2.7,100,"894 of 3141"
"Missaukee County",26113,3.2,193,"616 of 3141"
"Oceana County",26127,4.4,449,"304 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
