------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Otsego County",26137,8.4,1439,"666 of 3141"
"Alpena County",26007,9.0,1889,"777 of 3141"
"Calhoun County",26025,9.0,8135,"779 of 3141"
"Antrim County",26009,9.0,1550,"784 of 3141"
"Lenawee County",26091,9.2,6240,"832 of 3141"
"Allegan County",26005,9.3,7148,"871 of 3141"
"Lapeer County",26087,9.3,5739,"872 of 3141"
"Cheboygan County",26031,9.4,1801,"882 of 3141"
"Manistee County",26101,9.4,1715,"895 of 3141"
"Monroe County",26115,9.5,9925,"925 of 3141"
"Jackson County",26075,9.6,10442,"930 of 3141"
"Ionia County",26067,9.9,4265,"998 of 3141"
"St. Clair County",26147,9.9,11104,"1010 of 3141"
"Genesee County",26049,10.0,27960,"1035 of 3141"
"Muskegon County",26121,10.1,11745,"1038 of 3141"
"Gratiot County",26057,10.1,2839,"1054 of 3141"
"Chippewa County",26033,10.1,2650,"1065 of 3141"
"Kent County",26081,10.2,42328,"1078 of 3141"
"Bay County",26017,10.3,7702,"1107 of 3141"
"Mecosta County",26107,10.3,2745,"1110 of 3141"
"Schoolcraft County",26153,10.3,627,"1116 of 3141"
"Berrien County",26021,10.5,11221,"1158 of 3141"
"Macomb County",26099,10.7,64628,"1210 of 3141"
"Alger County",26003,10.7,765,"1214 of 3141"
"Tuscola County",26157,10.7,4071,"1216 of 3141"
"Wexford County",26165,10.7,2442,"1221 of 3141"
"Mackinac County",26097,11.1,919,"1283 of 3141"
"Branch County",26023,11.1,3340,"1293 of 3141"
"Saginaw County",26145,11.2,14752,"1307 of 3141"
"Huron County",26063,11.3,2622,"1328 of 3141"
"Roscommon County",26143,11.3,2152,"1352 of 3141"
"Presque Isle County",26141,11.5,1153,"1384 of 3141"
"Luce County",26095,11.5,554,"1386 of 3141"
"Alcona County",26001,11.6,985,"1401 of 3141"
"Crawford County",26039,11.6,1199,"1413 of 3141"
"Missaukee County",26113,11.9,1232,"1467 of 3141"
"Montcalm County",26117,11.9,5171,"1474 of 3141"
"Cass County",26027,12.0,4368,"1487 of 3141"
"Iosco County",26069,12.1,2361,"1514 of 3141"
"Sanilac County",26151,12.2,3558,"1517 of 3141"
"Hillsdale County",26059,12.2,3821,"1530 of 3141"
"Montmorency County",26119,12.4,918,"1566 of 3141"
"Osceola County",26133,12.5,2012,"1590 of 3141"
"Van Buren County",26159,12.7,6474,"1619 of 3141"
"Arenac County",26011,13.3,1511,"1724 of 3141"
"Newaygo County",26123,13.4,4426,"1739 of 3141"
"Kalkaska County",26079,13.4,1673,"1742 of 3141"
"Oceana County",26127,13.6,2445,"1766 of 3141"
"St. Joseph County",26149,13.6,5543,"1771 of 3141"
"Baraga County",26013,13.7,856,"1781 of 3141"
"Gladwin County",26051,14.2,2659,"1863 of 3141"
"Wayne County",26163,14.4,169107,"1894 of 3141"
"Ogemaw County",26129,15.0,2343,"1980 of 3141"
"Clare County",26035,15.3,3414,"2027 of 3141"
"Oscoda County",26135,17.2,1063,"2295 of 3141"
"Lake County",26085,17.4,1553,"2315 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
