------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"De Witt County",17039,87.0,13903,"1620 of 3140"
"Mason County",17125,87.1,12013,"1600 of 3140"
"Effingham County",17049,87.1,29469,"1565 of 3140"
"Crawford County",17033,87.2,16588,"1560 of 3140"
"Warren County",17187,87.2,15058,"1557 of 3140"
"Saline County",17165,87.2,21033,"1542 of 3140"
"Vermilion County",17183,87.3,68265,"1517 of 3140"
"Wabash County",17185,87.4,10022,"1485 of 3140"
"White County",17193,87.4,12316,"1459 of 3140"
"Randolph County",17157,87.5,28490,"1428 of 3140"
"Perry County",17145,87.6,18647,"1401 of 3140"
"Edwards County",17047,87.6,5691,"1395 of 3140"
"DuPage County",17043,87.7,808244,"1388 of 3140"
"La Salle County",17099,87.7,96488,"1380 of 3140"
"Cumberland County",17035,87.7,9447,"1377 of 3140"
"St. Clair County",17163,87.9,229587,"1290 of 3140"
"Pike County",17149,88.0,13866,"1260 of 3140"
"Jersey County",17083,88.1,19443,"1247 of 3140"
"Macoupin County",17117,88.1,40087,"1236 of 3140"
"Iroquois County",17075,88.1,24812,"1213 of 3140"
"Greene County",17061,88.2,11577,"1202 of 3140"
"Christian County",17021,88.2,29442,"1196 of 3140"
"Moultrie County",17139,88.3,12841,"1159 of 3140"
"Boone County",17007,88.5,46926,"1116 of 3140"
"Jo Daviess County",17085,88.5,19356,"1113 of 3140"
"Kendall County",17093,88.5,107413,"1109 of 3140"
"Tazewell County",17179,88.5,117865,"1094 of 3140"
"Kankakee County",17091,88.6,97206,"1065 of 3140"
"Whiteside County",17195,88.6,49886,"1064 of 3140"
"Williamson County",17199,88.7,59306,"1016 of 3140"
"Kane County",17089,88.9,464574,"984 of 3140"
"Grundy County",17063,89.0,44281,"919 of 3140"
"Monroe County",17133,89.0,29706,"912 of 3140"
"Woodford County",17203,89.1,34301,"876 of 3140"
"Carroll County",17015,89.2,13026,"858 of 3140"
"Adams County",17001,89.2,58702,"845 of 3140"
"McHenry County",17111,89.2,272439,"840 of 3140"
"Wayne County",17191,89.2,14589,"838 of 3140"
"Clinton County",17027,89.4,33331,"800 of 3140"
"Douglas County",17041,89.4,17437,"787 of 3140"
"Scott County",17171,89.8,4540,"685 of 3140"
"Knox County",17095,90.1,45779,"616 of 3140"
"Washington County",17189,90.1,12712,"609 of 3140"
"Mercer County",17131,90.1,14110,"607 of 3140"
"Cass County",17017,90.3,11478,"550 of 3140"
"Pope County",17151,90.4,3927,"539 of 3140"
"Gallatin County",17059,90.6,4695,"500 of 3140"
"Massac County",17127,90.6,13136,"492 of 3140"
"Will County",17197,90.7,616366,"479 of 3140"
"Putnam County",17155,90.7,5162,"475 of 3140"
"Bureau County",17011,90.7,30123,"469 of 3140"
"Stark County",17175,90.8,4982,"452 of 3140"
"Marshall County",17123,90.9,10704,"439 of 3140"
"Jasper County",17079,91.2,8630,"371 of 3140"
"Shelby County",17173,91.2,19791,"368 of 3140"
"Schuyler County",17169,91.5,6511,"317 of 3140"
"Pulaski County",17153,91.5,5167,"307 of 3140"
"Calhoun County",17013,92.1,4478,"220 of 3140"
"Clay County",17025,92.8,12278,"152 of 3140"
"Hancock County",17067,93.0,16860,"143 of 3140"
"Hardin County",17069,93.4,3852,"116 of 3140"
"Henry County",17073,93.5,45894,"109 of 3140"
"Union County",17181,93.6,15917,"100 of 3140"
"Alexander County",17003,94.0,6315,"76 of 3140"
"Hamilton County",17065,95.0,7794,"37 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
