------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"Marion County",17121,98.1,37586,"2449 of 3141"
"Hardin County",17069,98.2,4087,"2509 of 3141"
"Saline County",17165,98.3,24007,"2535 of 3141"
"Woodford County",17203,98.3,38268,"2536 of 3141"
"Montgomery County",17135,98.3,28671,"2541 of 3141"
"Fayette County",17051,98.3,21603,"2548 of 3141"
"Richland County",17159,98.3,15689,"2580 of 3141"
"Franklin County",17055,98.4,38654,"2581 of 3141"
"Christian County",17021,98.4,33039,"2638 of 3141"
"Henderson County",17071,98.5,6820,"2651 of 3141"
"Monroe County",17133,98.5,33231,"2674 of 3141"
"Clark County",17023,98.5,15685,"2681 of 3141"
"Adams County",17001,98.5,65799,"2697 of 3141"
"Jasper County",17079,98.5,9467,"2706 of 3141"
"Menard County",17129,98.6,12237,"2723 of 3141"
"Hancock County",17067,98.6,18002,"2728 of 3141"
"Stark County",17175,98.6,5472,"2741 of 3141"
"Clay County",17025,98.6,13204,"2746 of 3141"
"Washington County",17189,98.6,14060,"2751 of 3141"
"White County",17193,98.6,13988,"2755 of 3141"
"Wayne County",17191,98.6,16338,"2756 of 3141"
"Jersey County",17083,98.7,21929,"2813 of 3141"
"Edwards County",17047,98.7,6486,"2818 of 3141"
"Piatt County",17147,98.7,16224,"2821 of 3141"
"Pike County",17149,98.7,15728,"2827 of 3141"
"Moultrie County",17139,98.8,14530,"2850 of 3141"
"Scott County",17171,98.8,5049,"2873 of 3141"
"Calhoun County",17013,98.9,4842,"2888 of 3141"
"Cumberland County",17035,98.9,10778,"2895 of 3141"
"Gallatin County",17059,98.9,5168,"2896 of 3141"
"Macoupin County",17117,98.9,45450,"2897 of 3141"
"Edgar County",17045,98.9,17410,"2901 of 3141"
"Mason County",17125,99.0,13762,"2925 of 3141"
"Shelby County",17173,99.0,21686,"2930 of 3141"
"Alexander County",17003,99.0,6708,"2933 of 3141"
"Greene County",17061,99.6,13257,"3083 of 3141"
"Hamilton County",17065,99.7,8236,"3105 of 3141"
"Schuyler County",17169,99.7,7163,"3113 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
