------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Randolph County",17157,0.8,276,"468 of 3140"
"Lee County",17103,0.9,296,"484 of 3140"
"Perry County",17145,0.9,184,"488 of 3140"
"Richland County",17159,0.9,137,"490 of 3140"
"White County",17193,0.9,123,"498 of 3140"
"Will County",17197,0.9,6043,"517 of 3140"
"Gallatin County",17059,0.9,48,"560 of 3140"
"Cass County",17017,1.0,124,"616 of 3140"
"Washington County",17189,1.0,138,"620 of 3140"
"Tazewell County",17179,1.0,1330,"646 of 3140"
"Putnam County",17155,1.0,58,"671 of 3140"
"Stark County",17175,1.0,57,"684 of 3140"
"Henry County",17073,1.0,515,"697 of 3140"
"Alexander County",17003,1.1,72,"725 of 3140"
"Cumberland County",17035,1.1,117,"748 of 3140"
"Montgomery County",17135,1.1,315,"753 of 3140"
"Kendall County",17093,1.1,1328,"758 of 3140"
"Piatt County",17147,1.1,178,"760 of 3140"
"Fayette County",17051,1.1,241,"778 of 3140"
"Macoupin County",17117,1.1,507,"785 of 3140"
"Greene County",17061,1.1,147,"791 of 3140"
"Pike County",17149,1.1,177,"798 of 3140"
"Bureau County",17011,1.1,380,"819 of 3140"
"Kane County",17089,1.1,5990,"821 of 3140"
"Fulton County",17057,1.2,411,"839 of 3140"
"La Salle County",17099,1.2,1296,"866 of 3140"
"Clinton County",17027,1.2,448,"894 of 3140"
"Adams County",17001,1.2,800,"915 of 3140"
"Union County",17181,1.2,207,"920 of 3140"
"Pulaski County",17153,1.3,71,"961 of 3140"
"Jefferson County",17081,1.3,484,"985 of 3140"
"Boone County",17007,1.3,682,"997 of 3140"
"McHenry County",17111,1.3,3984,"1015 of 3140"
"Whiteside County",17195,1.3,735,"1016 of 3140"
"Vermilion County",17183,1.3,1027,"1029 of 3140"
"Stephenson County",17177,1.3,601,"1036 of 3140"
"Christian County",17021,1.3,445,"1048 of 3140"
"Ogle County",17141,1.3,680,"1050 of 3140"
"Calhoun County",17013,1.4,67,"1106 of 3140"
"Macon County",17115,1.4,1477,"1120 of 3140"
"Ford County",17053,1.4,187,"1140 of 3140"
"Effingham County",17049,1.5,493,"1201 of 3140"
"Saline County",17165,1.5,352,"1205 of 3140"
"Kankakee County",17091,1.5,1622,"1224 of 3140"
"Morgan County",17137,1.5,508,"1239 of 3140"
"DuPage County",17043,1.5,13756,"1245 of 3140"
"Winnebago County",17201,1.5,4326,"1283 of 3140"
"Sangamon County",17167,1.5,3027,"1309 of 3140"
"Hancock County",17067,1.6,284,"1331 of 3140"
"Iroquois County",17075,1.6,446,"1347 of 3140"
"Marion County",17121,1.6,603,"1361 of 3140"
"Mercer County",17131,1.6,250,"1370 of 3140"
"Cook County",17031,1.6,83839,"1395 of 3140"
"Franklin County",17055,1.6,642,"1434 of 3140"
"Williamson County",17199,1.7,1112,"1450 of 3140"
"Peoria County",17143,1.7,3143,"1508 of 3140"
"McDonough County",17109,1.8,560,"1591 of 3140"
"Crawford County",17033,1.8,341,"1595 of 3140"
"McLean County",17113,1.9,3221,"1678 of 3140"
"Carroll County",17015,1.9,276,"1684 of 3140"
"Wabash County",17185,1.9,219,"1700 of 3140"
"Madison County",17119,2.0,5150,"1748 of 3140"
"DeKalb County",17037,2.0,2027,"1753 of 3140"
"Warren County",17187,2.0,341,"1764 of 3140"
"Jersey County",17083,2.0,437,"1768 of 3140"
"Clark County",17023,2.0,312,"1771 of 3140"
"Menard County",17129,2.0,245,"1783 of 3140"
"Wayne County",17191,2.0,327,"1785 of 3140"
"Monroe County",17133,2.2,725,"1934 of 3140"
"Bond County",17005,2.3,397,"2063 of 3140"
"Massac County",17127,2.5,368,"2185 of 3140"
"Lawrence County",17101,2.6,420,"2217 of 3140"
"Rock Island County",17161,2.6,3783,"2235 of 3140"
"St. Clair County",17163,2.7,7099,"2293 of 3140"
"Jo Daviess County",17085,2.8,608,"2328 of 3140"
"Lake County",17097,2.9,19933,"2373 of 3140"
"Pope County",17151,2.9,126,"2396 of 3140"
"Henderson County",17071,3.1,211,"2484 of 3140"
"Coles County",17029,3.1,1611,"2495 of 3140"
"Edgar County",17045,3.2,547,"2518 of 3140"
"Champaign County",17019,3.2,6678,"2570 of 3140"
"Jackson County",17077,3.3,1933,"2597 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
