------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Whiteside County",17195,7.7,1173,"812 of 3141"
"Jersey County",17083,7.7,478,"824 of 3141"
"Randolph County",17157,8.0,608,"874 of 3141"
"Shelby County",17173,8.2,518,"943 of 3141"
"Crawford County",17033,8.5,425,"1034 of 3141"
"Effingham County",17049,8.6,782,"1041 of 3141"
"Jasper County",17079,8.7,223,"1075 of 3141"
"Carroll County",17015,8.7,357,"1083 of 3141"
"Calhoun County",17013,8.8,112,"1115 of 3141"
"Wabash County",17185,8.9,287,"1135 of 3141"
"Henry County",17073,9.0,1228,"1140 of 3141"
"Stark County",17175,9.1,143,"1175 of 3141"
"Richland County",17159,9.2,360,"1180 of 3141"
"Livingston County",17105,9.2,873,"1182 of 3141"
"Hamilton County",17065,9.2,216,"1185 of 3141"
"Clay County",17025,9.3,351,"1206 of 3141"
"Warren County",17187,9.3,419,"1209 of 3141"
"Edwards County",17047,9.3,173,"1217 of 3141"
"Menard County",17129,9.3,344,"1222 of 3141"
"Mercer County",17131,9.4,423,"1234 of 3141"
"Macoupin County",17117,9.4,1186,"1247 of 3141"
"Bond County",17005,9.5,385,"1270 of 3141"
"Adams County",17001,9.6,1697,"1306 of 3141"
"Bureau County",17011,9.6,920,"1309 of 3141"
"Champaign County",17019,9.7,4144,"1333 of 3141"
"Brown County",17009,9.7,126,"1337 of 3141"
"Johnson County",17087,9.8,302,"1352 of 3141"
"Christian County",17021,9.8,877,"1354 of 3141"
"White County",17193,9.8,391,"1355 of 3141"
"La Salle County",17099,9.8,2914,"1359 of 3141"
"Madison County",17119,9.8,6860,"1363 of 3141"
"Pulaski County",17153,10.0,136,"1426 of 3141"
"Cass County",17017,10.1,338,"1429 of 3141"
"Perry County",17145,10.1,521,"1436 of 3141"
"Pope County",17151,10.1,106,"1449 of 3141"
"Mason County",17125,10.2,393,"1461 of 3141"
"Pike County",17149,10.3,436,"1494 of 3141"
"Gallatin County",17059,10.3,153,"1496 of 3141"
"De Witt County",17039,10.4,462,"1507 of 3141"
"Moultrie County",17139,10.5,415,"1524 of 3141"
"Union County",17181,10.7,508,"1573 of 3141"
"Williamson County",17199,10.7,1896,"1576 of 3141"
"Morgan County",17137,10.7,933,"1578 of 3141"
"Hardin County",17069,10.8,97,"1610 of 3141"
"McDonough County",17109,10.9,683,"1633 of 3141"
"Clark County",17023,10.9,514,"1634 of 3141"
"Kankakee County",17091,10.9,2951,"1648 of 3141"
"Sangamon County",17167,11.0,5640,"1662 of 3141"
"Rock Island County",17161,11.0,4150,"1672 of 3141"
"Iroquois County",17075,11.0,872,"1676 of 3141"
"Fulton County",17057,11.0,996,"1679 of 3141"
"Douglas County",17041,11.1,558,"1698 of 3141"
"DeKalb County",17037,11.2,2589,"1716 of 3141"
"Montgomery County",17135,11.2,819,"1718 of 3141"
"Stephenson County",17177,11.3,1427,"1736 of 3141"
"Scott County",17171,11.3,157,"1737 of 3141"
"Peoria County",17143,11.3,5138,"1741 of 3141"
"Cumberland County",17035,11.3,331,"1747 of 3141"
"Wayne County",17191,11.3,530,"1750 of 3141"
"Winnebago County",17201,11.5,8564,"1789 of 3141"
"Knox County",17095,11.5,1385,"1790 of 3141"
"Edgar County",17045,11.6,613,"1814 of 3141"
"Ford County",17053,11.8,431,"1851 of 3141"
"Cook County",17031,12.1,143670,"1926 of 3141"
"Macon County",17115,12.7,3425,"2035 of 3141"
"St. Clair County",17163,13.1,8741,"2110 of 3141"
"Coles County",17029,13.1,1613,"2117 of 3141"
"Lawrence County",17101,13.4,565,"2182 of 3141"
"Greene County",17061,13.7,477,"2245 of 3141"
"Fayette County",17051,13.7,722,"2246 of 3141"
"Jefferson County",17081,13.9,1361,"2290 of 3141"
"Marion County",17121,13.9,1458,"2291 of 3141"
"Vermilion County",17183,14.7,2919,"2400 of 3141"
"Massac County",17127,14.9,575,"2433 of 3141"
"Franklin County",17055,15.1,1531,"2459 of 3141"
"Jackson County",17077,16.4,2064,"2613 of 3141"
"Saline County",17165,17.2,1141,"2703 of 3141"
"Alexander County",17003,24.7,382,"3039 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
