------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Calhoun County",17013,19.9,936,"730 of 3141"
"Henry County",17073,19.9,9734,"737 of 3141"
"Edwards County",17047,20.0,1296,"751 of 3141"
"Ogle County",17141,20.1,10204,"758 of 3141"
"Brown County",17009,20.4,981,"797 of 3141"
"De Witt County",17039,20.6,3271,"822 of 3141"
"Hancock County",17067,20.7,3740,"840 of 3141"
"Madison County",17119,20.7,53966,"843 of 3141"
"McLean County",17113,21.0,34817,"880 of 3141"
"Crawford County",17033,21.1,3643,"888 of 3141"
"Adams County",17001,21.1,13757,"895 of 3141"
"Pope County",17151,21.3,887,"914 of 3141"
"Bureau County",17011,21.3,7062,"929 of 3141"
"La Salle County",17099,21.9,23521,"991 of 3141"
"Lee County",17103,21.9,6854,"992 of 3141"
"Livingston County",17105,21.9,7500,"1003 of 3141"
"Macoupin County",17117,22.0,9871,"1015 of 3141"
"Christian County",17021,22.6,7142,"1091 of 3141"
"Moultrie County",17139,22.6,3262,"1094 of 3141"
"Perry County",17145,22.7,4262,"1104 of 3141"
"Rock Island County",17161,22.8,32180,"1121 of 3141"
"Sangamon County",17167,23.0,44592,"1141 of 3141"
"Kankakee County",17091,23.2,24631,"1168 of 3141"
"Williamson County",17199,23.3,15183,"1186 of 3141"
"Cumberland County",17035,23.5,2523,"1208 of 3141"
"Warren County",17187,23.5,3810,"1218 of 3141"
"Wabash County",17185,23.6,2701,"1225 of 3141"
"Douglas County",17041,23.6,4622,"1226 of 3141"
"Edgar County",17045,23.6,4082,"1236 of 3141"
"Randolph County",17157,23.6,6763,"1238 of 3141"
"Johnson County",17087,23.9,2532,"1267 of 3141"
"Shelby County",17173,24.0,5202,"1283 of 3141"
"Cass County",17017,24.1,3049,"1293 of 3141"
"Clay County",17025,24.2,3175,"1309 of 3141"
"Hamilton County",17065,24.3,1988,"1331 of 3141"
"Stark County",17175,24.4,1327,"1346 of 3141"
"Bond County",17005,24.6,3750,"1380 of 3141"
"Morgan County",17137,24.7,7616,"1398 of 3141"
"Scott County",17171,24.7,1224,"1412 of 3141"
"Mason County",17125,24.8,3388,"1420 of 3141"
"Peoria County",17143,24.9,45011,"1434 of 3141"
"Clark County",17023,25.2,3937,"1465 of 3141"
"White County",17193,25.3,3482,"1483 of 3141"
"Montgomery County",17135,25.4,6377,"1494 of 3141"
"Winnebago County",17201,25.4,71809,"1502 of 3141"
"Macon County",17115,25.4,26398,"1503 of 3141"
"Cook County",17031,25.6,1316550,"1520 of 3141"
"Fulton County",17057,25.6,8467,"1525 of 3141"
"DeKalb County",17037,25.9,25640,"1563 of 3141"
"Iroquois County",17075,25.9,7216,"1568 of 3141"
"Ford County",17053,25.9,3380,"1571 of 3141"
"Schuyler County",17169,26.0,1825,"1582 of 3141"
"St. Clair County",17163,26.1,67977,"1599 of 3141"
"Wayne County",17191,26.1,4291,"1600 of 3141"
"Greene County",17061,26.4,3402,"1637 of 3141"
"Lawrence County",17101,26.7,3730,"1694 of 3141"
"Massac County",17127,27.0,3874,"1740 of 3141"
"Stephenson County",17177,27.3,12265,"1773 of 3141"
"Jefferson County",17081,27.9,9961,"1877 of 3141"
"Pike County",17149,28.3,4343,"1926 of 3141"
"Union County",17181,28.5,4848,"1943 of 3141"
"Richland County",17159,28.5,4457,"1954 of 3141"
"Marion County",17121,28.6,10687,"1971 of 3141"
"Fayette County",17051,29.0,5815,"2020 of 3141"
"Vermilion County",17183,29.5,22446,"2082 of 3141"
"Champaign County",17019,29.8,57338,"2121 of 3141"
"Gallatin County",17059,30.1,1562,"2152 of 3141"
"McDonough County",17109,30.2,8391,"2159 of 3141"
"Knox County",17095,30.5,14389,"2202 of 3141"
"Franklin County",17055,32.0,12297,"2356 of 3141"
"Hardin County",17069,33.0,1346,"2457 of 3141"
"Saline County",17165,33.9,8073,"2538 of 3141"
"Coles County",17029,34.2,16688,"2568 of 3141"
"Pulaski County",17153,37.0,2085,"2789 of 3141"
"Jackson County",17077,38.8,21252,"2876 of 3141"
"Alexander County",17003,45.0,2976,"3052 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
