------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Stark County",17175,18.8,736,"1615 of 3141"
"Bureau County",17011,18.9,4455,"1600 of 3141"
"Douglas County",17041,18.9,2494,"1594 of 3141"
"Ford County",17053,19.2,1799,"1543 of 3141"
"Bond County",17005,19.3,2296,"1520 of 3141"
"Ogle County",17141,19.7,7023,"1461 of 3141"
"Jersey County",17083,19.7,3012,"1448 of 3141"
"Hancock County",17067,19.7,2593,"1447 of 3141"
"Logan County",17107,19.8,4117,"1446 of 3141"
"Kankakee County",17091,19.8,14453,"1425 of 3141"
"Washington County",17189,20.2,2053,"1366 of 3141"
"De Witt County",17039,20.3,2326,"1348 of 3141"
"Morgan County",17137,21.2,5060,"1197 of 3141"
"Richland County",17159,21.5,2394,"1179 of 3141"
"Boone County",17007,21.7,7561,"1139 of 3141"
"Clinton County",17027,22.1,5885,"1102 of 3141"
"Henry County",17073,22.1,7640,"1101 of 3141"
"Union County",17181,22.3,2752,"1076 of 3141"
"Winnebago County",17201,22.4,43697,"1058 of 3141"
"Williamson County",17199,22.5,10689,"1055 of 3141"
"Grundy County",17063,22.6,7503,"1043 of 3141"
"Effingham County",17049,22.6,5218,"1039 of 3141"
"Rock Island County",17161,22.7,22798,"1010 of 3141"
"Macon County",17115,22.7,16755,"1009 of 3141"
"Adams County",17001,23.4,10783,"943 of 3141"
"Jo Daviess County",17085,23.5,3833,"932 of 3141"
"Warren County",17187,24.3,2775,"846 of 3141"
"Menard County",17129,24.6,2150,"825 of 3141"
"Tazewell County",17179,26.0,24368,"727 of 3141"
"Coles County",17029,26.0,8569,"722 of 3141"
"Madison County",17119,26.2,48339,"712 of 3141"
"St. Clair County",17163,26.6,47277,"686 of 3141"
"Piatt County",17147,28.5,3287,"562 of 3141"
"Peoria County",17143,30.2,37542,"473 of 3141"
"DeKalb County",17037,30.6,18750,"449 of 3141"
"Monroe County",17133,30.6,7225,"447 of 3141"
"Woodford County",17203,31.1,8062,"420 of 3141"
"Kane County",17089,32.4,110187,"360 of 3141"
"McDonough County",17109,32.6,5993,"349 of 3141"
"McHenry County",17111,33.2,68372,"331 of 3141"
"Will County",17197,33.6,149333,"319 of 3141"
"Sangamon County",17167,34.2,46599,"293 of 3141"
"Kendall County",17093,34.8,26817,"270 of 3141"
"Jackson County",17077,36.2,12779,"235 of 3141"
"Cook County",17031,37.2,1330956,"215 of 3141"
"Champaign County",17019,43.9,52702,"102 of 3141"
"Lake County",17097,44.2,201653,"99 of 3141"
"McLean County",17113,44.7,46690,"96 of 3141"
"DuPage County",17043,48.0,303907,"62 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
