------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Sangamon County",17167,6.9,7022,"1986 of 3141"
"Williamson County",17199,6.9,2117,"1995 of 3141"
"Schuyler County",17169,6.9,216,"2003 of 3141"
"Cass County",17017,6.9,457,"2012 of 3141"
"Rock Island County",17161,7.1,5259,"2093 of 3141"
"Coles County",17029,7.3,1935,"2130 of 3141"
"Madison County",17119,7.4,10014,"2180 of 3141"
"Edgar County",17045,7.4,647,"2209 of 3141"
"Fayette County",17051,7.4,708,"2211 of 3141"
"Kankakee County",17091,7.5,4028,"2229 of 3141"
"Johnson County",17087,7.5,339,"2241 of 3141"
"Wabash County",17185,7.6,436,"2280 of 3141"
"Fulton County",17057,7.7,1245,"2301 of 3141"
"Gallatin County",17059,7.8,180,"2350 of 3141"
"St. Clair County",17163,7.8,9980,"2364 of 3141"
"Massac County",17127,7.9,475,"2380 of 3141"
"Mason County",17125,8.0,537,"2427 of 3141"
"Stephenson County",17177,8.0,1859,"2436 of 3141"
"Boone County",17007,8.1,2194,"2437 of 3141"
"White County",17193,8.2,534,"2469 of 3141"
"Macoupin County",17117,8.2,1876,"2485 of 3141"
"Alexander County",17003,8.2,194,"2489 of 3141"
"Vermilion County",17183,8.3,2882,"2502 of 3141"
"Peoria County",17143,8.3,7622,"2516 of 3141"
"La Salle County",17099,8.3,4617,"2527 of 3141"
"Jackson County",17077,8.4,2358,"2549 of 3141"
"Jefferson County",17081,8.5,1482,"2567 of 3141"
"McDonough County",17109,8.6,1301,"2584 of 3141"
"DeKalb County",17037,8.6,4959,"2589 of 3141"
"Marion County",17121,8.7,1612,"2599 of 3141"
"Cook County",17031,8.7,240605,"2611 of 3141"
"Scott County",17171,8.8,227,"2632 of 3141"
"Franklin County",17055,8.9,1512,"2650 of 3141"
"Pope County",17151,9.1,133,"2689 of 3141"
"Macon County",17115,9.2,4855,"2706 of 3141"
"Winnebago County",17201,10.0,14724,"2856 of 3141"
"Pulaski County",17153,10.4,230,"2914 of 3141"
"Saline County",17165,11.3,1241,"2969 of 3141"
"Hardin County",17069,22.2,372,"3134 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
