------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"Le Flore County",40079,93.2,46473,"1017 of 3141"
"Woods County",40151,93.2,8514,"1021 of 3141"
"Dewey County",40043,93.4,4581,"1046 of 3141"
"Adair County",40001,93.6,20729,"1080 of 3141"
"Murray County",40099,94.0,12970,"1129 of 3141"
"Muskogee County",40101,94.1,65395,"1145 of 3141"
"Logan County",40083,94.3,42728,"1176 of 3141"
"Washington County",40147,94.3,48896,"1177 of 3141"
"Wagoner County",40145,94.3,72455,"1181 of 3141"
"McCurtain County",40089,94.3,31148,"1182 of 3141"
"Bryan County",40013,94.4,42525,"1195 of 3141"
"Grady County",40051,94.5,51354,"1218 of 3141"
"Ottawa County",40115,94.6,30009,"1237 of 3141"
"Pontotoc County",40123,94.9,36345,"1301 of 3141"
"Hughes County",40063,94.9,12835,"1302 of 3141"
"Alfalfa County",40003,95.0,5581,"1311 of 3141"
"Johnston County",40069,95.0,10487,"1314 of 3141"
"Pottawatomie County",40125,95.1,68087,"1334 of 3141"
"Seminole County",40133,95.2,24039,"1362 of 3141"
"Pittsburg County",40121,95.2,42549,"1371 of 3141"
"Grant County",40053,95.4,4251,"1395 of 3141"
"Payne County",40119,95.4,76935,"1405 of 3141"
"Rogers County",40131,95.6,86118,"1451 of 3141"
"Coal County",40029,95.6,5416,"1453 of 3141"
"Haskell County",40061,95.8,12216,"1517 of 3141"
"Choctaw County",40023,96.0,14379,"1562 of 3141"
"Sequoyah County",40135,96.1,39743,"1582 of 3141"
"Creek County",40037,96.1,68141,"1592 of 3141"
"Okfuskee County",40107,96.1,11691,"1599 of 3141"
"Okmulgee County",40111,96.2,37630,"1613 of 3141"
"Delaware County",40041,96.4,40352,"1662 of 3141"
"Noble County",40103,96.5,11023,"1705 of 3141"
"Pushmataha County",40127,96.5,10746,"1710 of 3141"
"Craig County",40035,96.6,14062,"1719 of 3141"
"Osage County",40113,96.6,45734,"1725 of 3141"
"Latimer County",40077,96.6,10261,"1735 of 3141"
"Atoka County",40005,96.6,13430,"1740 of 3141"
"Mayes County",40097,96.7,39565,"1747 of 3141"
"Lincoln County",40081,96.8,33636,"1784 of 3141"
"Nowata County",40105,97.1,10148,"1928 of 3141"
"Pawnee County",40117,97.2,15980,"1945 of 3141"
"McIntosh County",40091,97.4,19357,"2065 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
