------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '1', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_032.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Nome Census Area(6,10)",02180,***,443.6 ,333, 575.9,16,stable,1.9 ,-34.1, 57.8
"Dillingham Census Area(6,10)",02070,***,439.8 ,317.9, 592.3,10,stable,-7.6 ,-29.8, 21.7
"Ketchikan Gateway Borough(6,10)",02130,***,433.7 ,365.7, 510.7,34,stable,1.7 ,-12.7, 18.4
"Bethel Census Area(6,10)",02050,***,429.4 ,340.7, 531.6,23,stable,25.2 ,-7.4, 69.2
"Kenai Peninsula Borough(6,10)",02122,***,415.4 ,383.5, 449.3,150,stable,6.3 ,-2.5, 16.0
"Valdez-Cordova Census Area(6,10)",02261,***,409.8 ,322, 513.9,21,stable,11.8 ,-24.0, 64.5
"Wrangell-Petersburg Census Area(6,10)",02280,***,404.5 ,317.4, 510.1,17,stable,-1.7 ,-21.7, 23.4
"Sitka City and Borough(6,10)",02220,***,394.1 ,313.4, 489.2,19,stable,-5.3 ,-39.8, 49.1
"Aleutians West Census Area(6,10)",02016,***,388.8 ,207.9, 646.3,9,stable,-20.2 ,-48.8, 24.4
"Wade Hampton Census Area(6,10)",02270,***,388 ,270.1, 537.2,9,stable,0.5 ,-44.2, 81.1
"Prince of Wales-Outer Ketchikan Census Area(6,10)",02201,***,385 ,295.5, 494,15,stable,-4.2 ,-30.2, 31.4
"Fairbanks North Borough(6,10)",02090,***,382.4 ,352.5, 414.1,157,stable,-0.6 ,-8.7, 8.1
"Juneau City and Borough(6,10)",02110,***,378.7 ,332.3, 429.6,62,stable,-0.1 ,-25.0, 33.1
"Skagway-Hoonah-Angoon Census Area(6,10)",02232,***,301.3 ,203.7, 435.7,7,stable,4.5 ,-50.5, 120.6
"Denali Borough(6,10)",02068,***,288.9 ,154.7, 516.5,3,*,*,*,*
"Northwest Arctic Borough(6,10)",02188,***,276.3 ,196.3, 378.7,9,stable,7.0 ,-26.8, 56.6
"Aleutians East Borough(6,10)",02013,***,* ,*, *,3 or fewer,*,*,*,*
"Bristol Bay Borough(6,10)",02060,***,* ,*, *,3 or fewer,*,*,*,*
"Yakutat City and Borough(6,10)",02282,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.

*** No Healthy People 2020 Objective for this cancer.

"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission and SEER November 2018 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission.

"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
