------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_033.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alaska by Borough or Census Area

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Kodiak Island Borough(6,10)",02150,***,393.5 ,319.6, 478.8,23,stable,-1.2 ,-16.4, 16.7
"Juneau City and Borough(6,10)",02110,***,381.2 ,337.7, 428.7,63,stable,-2.2 ,-15.2, 12.7
"Skagway-Hoonah-Angoon Census Area(6,10)",02232,***,369 ,247.2, 533.5,7,stable,2.9 ,-27.8, 46.6
"Valdez-Cordova Census Area(6,10)",02261,***,360.1 ,282, 453.4,17,stable,-9.8 ,-35.5, 26.0
"Dillingham Census Area(6,10)",02070,***,353.3 ,232.5, 510.7,7,stable,-7.6 ,-43.3, 50.8
"Sitka City and Borough(6,10)",02220,***,324.2 ,256.9, 404.6,17,stable,0.1 ,-24.7, 33.2
"Wade Hampton Census Area(6,10)",02270,***,320.2 ,222.9, 443.2,8,stable,12.7 ,-30.9, 83.6
"Wrangell-Petersburg Census Area(6,10)",02280,***,297.2 ,221.4, 392.9,11,stable,4.3 ,-13.7, 26.1
"Haines Borough(6,10)",02100,***,261.4 ,161.9, 408.3,5,stable,-7.3 ,-46.2, 59.7
"Bethel Census Area(6,10)",02050,***,260.6 ,203.3, 328.3,16,stable,0.6 ,-25.4, 35.6
"Aleutians East Borough(6,10)",02013,***,* ,*, *,3 or fewer,*,*,*,*
"Bristol Bay Borough(6,10)",02060,***,* ,*, *,3 or fewer,*,*,*,*
"Denali Borough(6,10)",02068,***,* ,*, *,3 or fewer,*,*,*,*
"Lake and Peninsula Borough(6,10)",02164,***,* ,*, *,3 or fewer,*,*,*,*
"Yakutat City and Borough(6,10)",02282,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.

*** No Healthy People 2020 Objective for this cancer.

"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission and SEER November 2018 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].
6 Source: State Cancer Registry and the CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission.

"Please note that the data comes from different sources. Due to different years ( /historicaltrend/differences.html ) of data availablility, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
