------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Dakota County",27037,86.6,355034,"1746 of 3140"
"Kandiyohi County",27067,86.7,36414,"1726 of 3140"
"Goodhue County",27049,86.7,39544,"1725 of 3140"
"Pope County",27121,86.9,9392,"1656 of 3140"
"Chippewa County",27023,87.0,10312,"1605 of 3140"
"Sherburne County",27141,87.1,79110,"1570 of 3140"
"Hubbard County",27057,87.2,17953,"1554 of 3140"
"Lincoln County",27081,87.3,4934,"1492 of 3140"
"Polk County",27119,87.4,27212,"1463 of 3140"
"Kanabec County",27065,87.5,13838,"1437 of 3140"
"Dodge County",27039,87.5,17707,"1429 of 3140"
"Cottonwood County",27033,87.6,9870,"1423 of 3140"
"Grant County",27051,87.8,5127,"1359 of 3140"
"Nobles County",27105,88.0,18966,"1284 of 3140"
"Freeborn County",27047,88.0,26688,"1261 of 3140"
"Le Sueur County",27079,88.1,24172,"1218 of 3140"
"Mahnomen County",27087,88.1,4760,"1208 of 3140"
"Carver County",27019,88.2,86049,"1195 of 3140"
"Crow Wing County",27035,88.2,55384,"1188 of 3140"
"Washington County",27163,88.3,218983,"1170 of 3140"
"Cook County",27031,88.3,4630,"1161 of 3140"
"Waseca County",27161,88.3,16554,"1156 of 3140"
"Pennington County",27113,88.5,12430,"1107 of 3140"
"Swift County",27151,88.6,8249,"1080 of 3140"
"Martin County",27091,88.6,17605,"1073 of 3140"
"Anoka County",27003,88.6,301491,"1066 of 3140"
"McLeod County",27085,88.6,31341,"1059 of 3140"
"Scott County",27139,88.7,123865,"1048 of 3140"
"Itasca County",27061,88.7,39737,"1018 of 3140"
"Clearwater County",27029,88.8,7702,"1006 of 3140"
"Pine County",27115,88.8,25576,"996 of 3140"
"Meeker County",27093,88.9,20268,"964 of 3140"
"Lake of the Woods County",27077,89.0,3393,"929 of 3140"
"Otter Tail County",27111,89.0,50737,"920 of 3140"
"Todd County",27153,89.0,21509,"906 of 3140"
"Wabasha County",27157,89.2,18947,"866 of 3140"
"Wadena County",27159,89.2,11968,"843 of 3140"
"Becker County",27005,89.2,29622,"839 of 3140"
"Big Stone County",27011,89.2,4457,"835 of 3140"
"Carlton County",27017,89.4,31365,"795 of 3140"
"Wright County",27171,89.6,116059,"739 of 3140"
"Jackson County",27063,89.8,8956,"697 of 3140"
"Lac qui Parle County",27073,89.8,6093,"693 of 3140"
"Brown County",27015,89.8,22442,"691 of 3140"
"Kittson County",27069,89.8,3903,"676 of 3140"
"Houston County",27055,89.9,16718,"668 of 3140"
"Yellow Medicine County",27173,89.9,8807,"658 of 3140"
"Koochiching County",27071,90.0,11434,"622 of 3140"
"Cass County",27021,90.0,25682,"620 of 3140"
"Morrison County",27097,90.2,29371,"588 of 3140"
"Murray County",27101,90.5,7502,"524 of 3140"
"Fillmore County",27045,90.5,18680,"510 of 3140"
"Aitkin County",27001,90.7,14257,"483 of 3140"
"Roseau County",27135,90.7,13934,"477 of 3140"
"Renville County",27129,90.7,13275,"470 of 3140"
"Lake County",27075,90.8,9476,"453 of 3140"
"Faribault County",27043,90.9,12573,"437 of 3140"
"Sibley County",27143,90.9,13366,"428 of 3140"
"Wilkin County",27167,90.9,5732,"423 of 3140"
"Traverse County",27155,91.6,3055,"289 of 3140"
"Red Lake County",27125,92.0,3634,"227 of 3140"
"Redwood County",27127,92.7,14158,"166 of 3140"
"Norman County",27107,92.9,6046,"146 of 3140"
"Marshall County",27089,93.0,8631,"141 of 3140"
"Watonwan County",27165,93.9,10175,"87 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
