------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Pipestone County",27117,6.1,560,"734 of 3140"
"Stearns County",27145,6.2,9696,"709 of 3140"
"Lyon County",27083,6.4,1640,"694 of 3140"
"Washington County",27163,6.7,16825,"649 of 3140"
"Rice County",27131,7.4,4849,"562 of 3140"
"Anoka County",27003,7.9,27408,"513 of 3140"
"Kandiyohi County",27067,8.2,3508,"485 of 3140"
"Scott County",27139,8.4,11928,"469 of 3140"
"Mower County",27099,8.8,3448,"438 of 3140"
"Dakota County",27037,9.3,38762,"391 of 3140"
"Olmsted County",27109,10.8,16350,"304 of 3140"
"Watonwan County",27165,12.2,1331,"249 of 3140"
"Hennepin County",27053,13.9,169928,"205 of 3140"
"Ramsey County",27123,15.6,83753,"177 of 3140"
"Nobles County",27105,19.9,4352,"112 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
