------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Clearwater County",27029,0.4,15,"1047 of 3140"
"Waseca County",27161,0.4,33,"1061 of 3140"
"Rock County",27133,0.5,18,"1067 of 3140"
"Winona County",27169,0.5,87,"1070 of 3140"
"St. Louis County",27137,0.5,428,"1129 of 3140"
"Renville County",27129,0.5,33,"1172 of 3140"
"Wabasha County",27157,0.6,53,"1281 of 3140"
"Wright County",27171,0.6,284,"1299 of 3140"
"Blue Earth County",27013,0.7,171,"1374 of 3140"
"Grant County",27051,0.7,17,"1377 of 3140"
"Sherburne County",27141,0.7,210,"1379 of 3140"
"Pope County",27121,0.7,34,"1406 of 3140"
"Red Lake County",27125,0.7,12,"1414 of 3140"
"Becker County",27005,0.7,97,"1430 of 3140"
"Goodhue County",27049,0.8,147,"1482 of 3140"
"Steele County",27147,0.8,110,"1488 of 3140"
"Yellow Medicine County",27173,0.8,32,"1497 of 3140"
"Dodge County",27039,0.8,61,"1524 of 3140"
"Washington County",27163,0.8,744,"1539 of 3140"
"Marshall County",27089,0.8,32,"1543 of 3140"
"Koochiching County",27071,0.9,49,"1602 of 3140"
"Redwood County",27127,0.9,55,"1603 of 3140"
"Brown County",27015,0.9,93,"1604 of 3140"
"Carver County",27019,0.9,319,"1634 of 3140"
"Martin County",27091,0.9,80,"1649 of 3140"
"Otter Tail County",27111,0.9,224,"1650 of 3140"
"Le Sueur County",27079,0.9,100,"1651 of 3140"
"Mahnomen County",27087,0.9,18,"1652 of 3140"
"Big Stone County",27011,0.9,21,"1654 of 3140"
"Roseau County",27135,0.9,57,"1658 of 3140"
"Stevens County",27149,1.1,39,"1784 of 3140"
"Pennington County",27113,1.1,64,"1794 of 3140"
"McLeod County",27085,1.1,163,"1807 of 3140"
"Faribault County",27043,1.1,69,"1808 of 3140"
"Clay County",27027,1.1,260,"1812 of 3140"
"Meeker County",27093,1.1,102,"1815 of 3140"
"Chippewa County",27023,1.1,57,"1830 of 3140"
"Fillmore County",27045,1.1,98,"1831 of 3140"
"Todd County",27153,1.2,113,"1846 of 3140"
"Swift County",27151,1.2,49,"1853 of 3140"
"Polk County",27119,1.2,147,"1858 of 3140"
"Murray County",27101,1.2,44,"1875 of 3140"
"Nicollet County",27103,1.3,166,"1962 of 3140"
"Norman County",27107,1.5,42,"2104 of 3140"
"Benton County",27009,1.6,252,"2141 of 3140"
"Cottonwood County",27033,1.7,84,"2223 of 3140"
"Anoka County",27003,2.2,2770,"2398 of 3140"
"Freeborn County",27047,2.2,287,"2403 of 3140"
"Scott County",27139,2.2,1069,"2412 of 3140"
"Sibley County",27143,2.3,136,"2428 of 3140"
"Stearns County",27145,2.5,1460,"2509 of 3140"
"Lyon County",27083,2.5,251,"2512 of 3140"
"Dakota County",27037,2.6,4112,"2537 of 3140"
"Olmsted County",27109,2.6,1577,"2548 of 3140"
"Rice County",27131,2.8,633,"2581 of 3140"
"Kandiyohi County",27067,3.4,574,"2707 of 3140"
"Watonwan County",27165,3.7,161,"2744 of 3140"
"Hennepin County",27053,4.0,19722,"2771 of 3140"
"Pipestone County",27117,4.5,180,"2822 of 3140"
"Mower County",27099,5.2,813,"2878 of 3140"
"Ramsey County",27123,5.5,11424,"2889 of 3140"
"Nobles County",27105,10.2,808,"3059 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
