------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Kittson County",27069,2.1,91,"2343 of 3141"
"Lac qui Parle County",27073,2.1,144,"2323 of 3141"
"Grant County",27051,2.1,125,"2319 of 3141"
"Benton County",27009,2.2,852,"2287 of 3141"
"Beltrami County",27007,2.2,1018,"2256 of 3141"
"Mille Lacs County",27095,2.2,574,"2246 of 3141"
"Traverse County",27155,2.5,83,"2132 of 3141"
"Sherburne County",27141,2.5,2297,"2121 of 3141"
"Wright County",27171,2.8,3632,"1983 of 3141"
"Winona County",27169,2.8,1418,"1978 of 3141"
"Pine County",27115,2.8,814,"1966 of 3141"
"Rock County",27133,2.8,266,"1958 of 3141"
"Wabasha County",27157,2.9,613,"1939 of 3141"
"Redwood County",27127,3.1,480,"1833 of 3141"
"Stearns County",27145,3.2,4951,"1804 of 3141"
"Goodhue County",27049,3.2,1479,"1796 of 3141"
"Otter Tail County",27111,3.2,1870,"1781 of 3141"
"Blue Earth County",27013,3.2,2131,"1778 of 3141"
"Jackson County",27063,3.4,343,"1731 of 3141"
"Red Lake County",27125,3.5,140,"1704 of 3141"
"Pennington County",27113,3.5,496,"1700 of 3141"
"Murray County",27101,3.6,301,"1675 of 3141"
"Meeker County",27093,3.8,867,"1628 of 3141"
"Mahnomen County",27087,3.8,211,"1604 of 3141"
"Washington County",27163,3.9,9847,"1581 of 3141"
"Brown County",27015,4.1,1030,"1542 of 3141"
"Carver County",27019,4.1,4051,"1535 of 3141"
"Martin County",27091,4.1,829,"1527 of 3141"
"Marshall County",27089,4.2,397,"1493 of 3141"
"Anoka County",27003,4.2,14597,"1490 of 3141"
"Nicollet County",27103,4.3,1431,"1480 of 3141"
"Clay County",27027,4.3,2688,"1467 of 3141"
"Yellow Medicine County",27173,4.3,431,"1464 of 3141"
"Swift County",27151,4.5,428,"1421 of 3141"
"Olmsted County",27109,4.8,7242,"1364 of 3141"
"Dodge County",27039,4.9,1005,"1338 of 3141"
"Scott County",27139,4.9,6951,"1337 of 3141"
"Norman County",27107,5.0,328,"1325 of 3141"
"Stevens County",27149,5.0,488,"1314 of 3141"
"Todd County",27153,5.5,1347,"1217 of 3141"
"Waseca County",27161,5.7,1085,"1174 of 3141"
"Le Sueur County",27079,5.7,1597,"1173 of 3141"
"McLeod County",27085,5.8,2060,"1171 of 3141"
"Pipestone County",27117,5.9,541,"1147 of 3141"
"Polk County",27119,6.2,1956,"1099 of 3141"
"Lyon County",27083,6.2,1604,"1095 of 3141"
"Chippewa County",27023,6.3,759,"1083 of 3141"
"Faribault County",27043,6.4,898,"1068 of 3141"
"Dakota County",27037,6.8,28020,"1024 of 3141"
"Hennepin County",27053,6.9,84059,"1006 of 3141"
"Cottonwood County",27033,7.1,814,"988 of 3141"
"Ramsey County",27123,7.4,39948,"949 of 3141"
"Steele County",27147,7.5,2733,"944 of 3141"
"Rice County",27131,7.9,5129,"901 of 3141"
"Renville County",27129,8.0,1182,"895 of 3141"
"Sibley County",27143,8.6,1276,"844 of 3141"
"Freeborn County",27047,9.5,2908,"773 of 3141"
"Mower County",27099,11.0,4334,"676 of 3141"
"Kandiyohi County",27067,11.9,5061,"632 of 3141"
"Watonwan County",27165,23.3,2553,"316 of 3141"
"Nobles County",27105,26.8,5863,"263 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
