------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Mower County",27099,7.8,3027,"2189 of 3140"
"Nobles County",27105,8.0,1718,"2260 of 3140"
"Blue Earth County",27013,8.2,5308,"2322 of 3140"
"Freeborn County",27047,8.2,2475,"2323 of 3140"
"Lyon County",27083,8.5,2155,"2407 of 3140"
"Kandiyohi County",27067,8.6,3611,"2435 of 3140"
"Ramsey County",27123,9.2,48640,"2600 of 3140"
"Stevens County",27149,9.2,885,"2603 of 3140"
"Beltrami County",27007,9.5,4296,"2686 of 3140"
"Stearns County",27145,9.5,14657,"2693 of 3140"
"Hennepin County",27053,10.0,120363,"2774 of 3140"
"Winona County",27169,10.2,5153,"2822 of 3140"
"St. Louis County",27137,10.4,20531,"2848 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
