------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"McLeod County",27085,18.0,4456,"1758 of 3141"
"Murray County",27101,18.1,1100,"1737 of 3141"
"Redwood County",27127,18.4,1943,"1683 of 3141"
"Grant County",27051,18.6,785,"1645 of 3141"
"Koochiching County",27071,18.7,1758,"1632 of 3141"
"Pennington County",27113,18.7,1819,"1630 of 3141"
"Lac qui Parle County",27073,19.0,952,"1585 of 3141"
"Meeker County",27093,19.1,3018,"1555 of 3141"
"Roseau County",27135,19.2,2007,"1535 of 3141"
"Lincoln County",27081,19.7,797,"1456 of 3141"
"Brown County",27015,19.8,3426,"1428 of 3141"
"Martin County",27091,20.0,2845,"1404 of 3141"
"Marshall County",27089,20.1,1317,"1387 of 3141"
"Waseca County",27161,20.2,2622,"1370 of 3141"
"Jackson County",27063,20.2,1435,"1364 of 3141"
"Cottonwood County",27033,20.4,1613,"1321 of 3141"
"Pipestone County",27117,20.5,1285,"1320 of 3141"
"Mower County",27099,20.7,5496,"1283 of 3141"
"Fillmore County",27045,20.7,2970,"1275 of 3141"
"Wilkin County",27167,20.8,933,"1266 of 3141"
"Chisago County",27025,21.2,7921,"1206 of 3141"
"Carlton County",27017,21.5,5295,"1173 of 3141"
"Cass County",27021,21.6,4520,"1153 of 3141"
"Wabasha County",27157,21.6,3312,"1152 of 3141"
"Rock County",27133,21.8,1396,"1134 of 3141"
"Le Sueur County",27079,21.9,4164,"1122 of 3141"
"Benton County",27009,22.1,5826,"1094 of 3141"
"Pope County",27121,22.2,1755,"1089 of 3141"
"Kandiyohi County",27067,22.6,6481,"1037 of 3141"
"Itasca County",27061,22.7,7367,"1028 of 3141"
"Houston County",27055,23.2,3089,"963 of 3141"
"Kittson County",27069,23.2,726,"959 of 3141"
"Becker County",27005,24.0,5512,"870 of 3141"
"Polk County",27119,24.5,5181,"834 of 3141"
"Crow Wing County",27035,24.6,11061,"827 of 3141"
"Steele County",27147,24.6,6020,"826 of 3141"
"Dodge County",27039,24.6,3290,"824 of 3141"
"Goodhue County",27049,24.7,7978,"823 of 3141"
"Otter Tail County",27111,24.7,10153,"821 of 3141"
"Douglas County",27041,25.2,6620,"790 of 3141"
"Lyon County",27083,26.5,4385,"694 of 3141"
"Hubbard County",27057,26.6,4022,"681 of 3141"
"Rice County",27131,26.8,11029,"667 of 3141"
"Beltrami County",27007,27.0,7510,"650 of 3141"
"Stearns County",27145,27.2,25950,"635 of 3141"
"Sherburne County",27141,27.4,16265,"620 of 3141"
"Wright County",27171,27.4,23085,"619 of 3141"
"St. Louis County",27137,28.4,38675,"568 of 3141"
"Anoka County",27003,28.7,66995,"548 of 3141"
"Stevens County",27149,28.8,1659,"542 of 3141"
"Lake County",27075,29.0,2324,"538 of 3141"
"Winona County",27169,29.6,9230,"513 of 3141"
"Blue Earth County",27013,32.2,12261,"369 of 3141"
"Nicollet County",27103,32.2,7035,"366 of 3141"
"Clay County",27027,33.2,12450,"330 of 3141"
"Scott County",27139,38.9,35211,"179 of 3141"
"Cook County",27031,40.4,1695,"152 of 3141"
"Dakota County",27037,41.1,114336,"138 of 3141"
"Ramsey County",27123,41.5,147730,"131 of 3141"
"Washington County",27163,42.3,71176,"119 of 3141"
"Olmsted County",27109,43.1,44123,"110 of 3141"
"Carver County",27019,47.5,30219,"69 of 3141"
"Hennepin County",27053,48.2,407315,"61 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
