------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '27', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=27&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Minnesota by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Pine County",27115,1.5,166,"1975 of 3141"
"St. Louis County",27137,1.6,1331,"1964 of 3141"
"Morrison County",27097,1.6,209,"1947 of 3141"
"Sherburne County",27141,1.6,507,"1884 of 3141"
"Waseca County",27161,1.7,122,"1856 of 3141"
"Otter Tail County",27111,1.7,402,"1855 of 3141"
"Isanti County",27059,1.7,253,"1769 of 3141"
"Kanabec County",27065,1.8,112,"1745 of 3141"
"Fillmore County",27045,1.8,152,"1743 of 3141"
"Clay County",27027,1.8,422,"1709 of 3141"
"Freeborn County",27047,1.8,234,"1705 of 3141"
"Rice County",27131,1.8,414,"1700 of 3141"
"Wright County",27171,1.8,849,"1682 of 3141"
"Mower County",27099,1.9,292,"1610 of 3141"
"Rock County",27133,1.9,75,"1609 of 3141"
"Goodhue County",27049,1.9,369,"1586 of 3141"
"Scott County",27139,1.9,922,"1569 of 3141"
"Anoka County",27003,1.9,2449,"1554 of 3141"
"Wadena County",27159,2.0,112,"1536 of 3141"
"Kandiyohi County",27067,2.1,344,"1449 of 3141"
"Lake of the Woods County",27077,2.1,32,"1416 of 3141"
"Carlton County",27017,2.1,282,"1398 of 3141"
"Lake County",27075,2.1,108,"1372 of 3141"
"Beltrami County",27007,2.2,368,"1343 of 3141"
"Pipestone County",27117,2.2,88,"1310 of 3141"
"Mille Lacs County",27095,2.2,225,"1272 of 3141"
"Meeker County",27093,2.2,206,"1245 of 3141"
"Aitkin County",27001,2.3,174,"1239 of 3141"
"Hubbard County",27057,2.3,198,"1236 of 3141"
"Steele County",27147,2.3,327,"1233 of 3141"
"Lyon County",27083,2.3,234,"1174 of 3141"
"Itasca County",27061,2.4,462,"1117 of 3141"
"Benton County",27009,2.4,389,"1080 of 3141"
"Olmsted County",27109,2.4,1455,"1078 of 3141"
"Roseau County",27135,2.5,155,"1001 of 3141"
"Hennepin County",27053,2.6,13206,"929 of 3141"
"Cass County",27021,2.7,345,"916 of 3141"
"Norman County",27107,2.7,75,"851 of 3141"
"Cottonwood County",27033,2.8,137,"810 of 3141"
"Stearns County",27145,2.9,1696,"787 of 3141"
"Mahnomen County",27087,3.0,59,"721 of 3141"
"Clearwater County",27029,3.1,106,"689 of 3141"
"Todd County",27153,3.2,314,"630 of 3141"
"Ramsey County",27123,4.1,8650,"345 of 3141"
"Nobles County",27105,4.3,341,"317 of 3141"
"Cook County",27031,4.8,129,"244 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
