------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Neshoba County",28099,14.1,2615,"2485 of 3141"
"Yazoo County",28163,14.3,2604,"2446 of 3141"
"Panola County",28107,14.4,3208,"2432 of 3141"
"Tippah County",28139,14.5,2081,"2406 of 3141"
"Sunflower County",28133,14.5,2560,"2402 of 3141"
"Union County",28145,14.7,2750,"2362 of 3141"
"Pontotoc County",28115,14.9,2980,"2336 of 3141"
"Wilkinson County",28157,14.9,942,"2319 of 3141"
"Pearl River County",28109,15.0,5568,"2317 of 3141"
"Lincoln County",28085,15.0,3449,"2314 of 3141"
"Jefferson Davis County",28065,15.0,1215,"2313 of 3141"
"Stone County",28131,15.0,1749,"2311 of 3141"
"Winston County",28159,15.9,2031,"2134 of 3141"
"Alcorn County",28003,15.9,4020,"2119 of 3141"
"Pike County",28113,15.9,4034,"2115 of 3141"
"Tate County",28137,16.1,2963,"2088 of 3141"
"Covington County",28031,16.1,2029,"2087 of 3141"
"Franklin County",28037,16.2,877,"2074 of 3141"
"Newton County",28101,16.3,2228,"2045 of 3141"
"Carroll County",28015,16.4,1171,"2034 of 3141"
"Monroe County",28095,16.5,4065,"2026 of 3141"
"Coahoma County",28027,16.9,2524,"1945 of 3141"
"Tunica County",28143,17.1,1143,"1912 of 3141"
"Choctaw County",28019,17.3,1005,"1876 of 3141"
"Adams County",28001,17.4,3798,"1863 of 3141"
"Leflore County",28083,17.9,3248,"1772 of 3141"
"Grenada County",28043,18.1,2592,"1746 of 3141"
"Webster County",28155,18.1,1218,"1728 of 3141"
"Jones County",28067,18.4,8251,"1686 of 3141"
"Claiborne County",28021,18.8,998,"1613 of 3141"
"Washington County",28151,19.0,5830,"1576 of 3141"
"Clay County",28025,19.3,2596,"1516 of 3141"
"Lauderdale County",28075,20.1,10464,"1381 of 3141"
"Jackson County",28059,20.7,19736,"1281 of 3141"
"Hancock County",28045,20.9,6805,"1242 of 3141"
"Montgomery County",28097,21.0,1495,"1232 of 3141"
"Sharkey County",28125,21.5,674,"1177 of 3141"
"Harrison County",28047,22.2,29153,"1090 of 3141"
"Warren County",28149,22.9,7250,"995 of 3141"
"Bolivar County",28011,22.9,4846,"987 of 3141"
"Lee County",28081,23.5,13096,"935 of 3141"
"DeSoto County",28033,23.5,26374,"933 of 3141"
"Lowndes County",28087,23.6,9262,"917 of 3141"
"Forrest County",28035,26.7,12454,"668 of 3141"
"Hinds County",28049,28.6,44130,"556 of 3141"
"Rankin County",28121,29.2,29748,"528 of 3141"
"Lamar County",28073,35.9,14121,"240 of 3141"
"Lafayette County",28071,41.9,12580,"126 of 3141"
"Oktibbeha County",28105,42.6,10676,"115 of 3141"
"Madison County",28089,46.5,31203,"76 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
