------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Forrest County",28035,23.2,17577,"1242 of 3141"
"Sunflower County",28133,23.3,6263,"1195 of 3141"
"Perry County",28111,23.4,2820,"1142 of 3141"
"Copiah County",28029,23.6,6794,"1041 of 3141"
"Marion County",28091,23.7,6026,"1028 of 3141"
"Clay County",28025,23.7,4733,"1023 of 3141"
"Alcorn County",28003,23.7,8831,"1008 of 3141"
"Tate County",28137,23.8,6732,"989 of 3141"
"Grenada County",28043,23.8,5092,"958 of 3141"
"Lauderdale County",28075,23.9,18720,"911 of 3141"
"Lowndes County",28087,24.0,14274,"894 of 3141"
"Jackson County",28059,24.1,33987,"860 of 3141"
"Rankin County",28121,24.1,36000,"857 of 3141"
"Walthall County",28147,24.1,3533,"847 of 3141"
"Calhoun County",28013,24.1,3525,"830 of 3141"
"Franklin County",28037,24.2,1883,"773 of 3141"
"Harrison County",28047,24.3,48654,"760 of 3141"
"Webster County",28155,24.3,2400,"746 of 3141"
"Lawrence County",28077,24.4,3090,"715 of 3141"
"Lincoln County",28085,24.5,8474,"681 of 3141"
"Smith County",28129,24.5,3954,"679 of 3141"
"Warren County",28149,24.6,11697,"653 of 3141"
"Quitman County",28119,24.7,1858,"643 of 3141"
"Tippah County",28139,24.7,5434,"630 of 3141"
"Simpson County",28127,24.7,6729,"623 of 3141"
"Jefferson County",28063,24.9,1857,"573 of 3141"
"Sharkey County",28125,24.9,1153,"569 of 3141"
"Hinds County",28049,24.9,60643,"562 of 3141"
"Chickasaw County",28017,25.0,4320,"555 of 3141"
"Wayne County",28153,25.0,5108,"554 of 3141"
"Yazoo County",28163,25.0,6867,"551 of 3141"
"Bolivar County",28011,25.0,8284,"540 of 3141"
"Covington County",28031,25.1,4804,"527 of 3141"
"Lamar County",28073,25.3,15325,"473 of 3141"
"Newton County",28101,25.5,5461,"449 of 3141"
"Union County",28145,25.5,7188,"444 of 3141"
"Madison County",28089,25.5,26093,"435 of 3141"
"Jones County",28067,25.6,17465,"430 of 3141"
"Panola County",28107,25.6,8753,"427 of 3141"
"Noxubee County",28103,25.6,2799,"426 of 3141"
"Attala County",28007,25.7,4807,"411 of 3141"
"Lee County",28081,25.9,21934,"378 of 3141"
"Washington County",28151,26.4,12683,"320 of 3141"
"DeSoto County",28033,26.4,45784,"319 of 3141"
"Scott County",28123,26.4,7505,"318 of 3141"
"Holmes County",28051,26.6,4853,"304 of 3141"
"George County",28039,26.6,6264,"299 of 3141"
"Pontotoc County",28115,26.9,8357,"267 of 3141"
"Pike County",28113,27.0,10717,"260 of 3141"
"Humphreys County",28053,27.1,2353,"237 of 3141"
"Leake County",28079,27.2,6238,"230 of 3141"
"Coahoma County",28027,27.8,6755,"177 of 3141"
"Leflore County",28083,27.9,8387,"176 of 3141"
"Neshoba County",28099,28.3,8326,"148 of 3141"
"Tunica County",28143,29.9,3072,"92 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
