------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Leflore County",28083,5.2,1562,"1036 of 3140"
"Monroe County",28095,5.3,1865,"1046 of 3140"
"Yazoo County",28163,5.3,1434,"1056 of 3140"
"Marion County",28091,5.3,1342,"1087 of 3140"
"Lamar County",28073,5.5,3311,"1181 of 3140"
"Sunflower County",28133,5.6,1488,"1209 of 3140"
"Choctaw County",28019,5.6,465,"1224 of 3140"
"Benton County",28009,5.8,483,"1344 of 3140"
"Clay County",28025,5.9,1152,"1353 of 3140"
"Pike County",28113,5.9,2305,"1355 of 3140"
"Noxubee County",28103,5.9,636,"1362 of 3140"
"Warren County",28149,6.0,2834,"1461 of 3140"
"Quitman County",28119,6.1,455,"1481 of 3140"
"Yalobusha County",28161,6.2,755,"1519 of 3140"
"Leake County",28079,6.3,1424,"1578 of 3140"
"Perry County",28111,6.3,758,"1609 of 3140"
"Panola County",28107,6.4,2150,"1613 of 3140"
"Tippah County",28139,6.5,1406,"1664 of 3140"
"Chickasaw County",28017,6.6,1133,"1728 of 3140"
"Montgomery County",28097,6.8,695,"1801 of 3140"
"Winston County",28159,7.0,1276,"1849 of 3140"
"Sharkey County",28125,7.0,321,"1857 of 3140"
"Calhoun County",28013,7.0,1012,"1859 of 3140"
"Scott County",28123,7.0,1963,"1866 of 3140"
"Alcorn County",28003,7.0,2599,"1888 of 3140"
"Pearl River County",28109,7.1,3852,"1899 of 3140"
"Webster County",28155,7.2,701,"1957 of 3140"
"DeSoto County",28033,7.4,12664,"2055 of 3140"
"Bolivar County",28011,7.4,2432,"2065 of 3140"
"Neshoba County",28099,7.6,2196,"2111 of 3140"
"Simpson County",28127,7.7,2080,"2170 of 3140"
"Rankin County",28121,7.8,11561,"2199 of 3140"
"Hancock County",28045,8.0,3684,"2282 of 3140"
"Tunica County",28143,8.1,821,"2287 of 3140"
"Jackson County",28059,8.4,11721,"2376 of 3140"
"Washington County",28151,8.5,4002,"2406 of 3140"
"Union County",28145,8.6,2409,"2454 of 3140"
"Prentiss County",28117,8.8,2207,"2496 of 3140"
"Grenada County",28043,8.9,1885,"2521 of 3140"
"Lee County",28081,9.4,7882,"2663 of 3140"
"Tishomingo County",28141,9.7,1862,"2715 of 3140"
"Lowndes County",28087,9.8,5752,"2739 of 3140"
"Pontotoc County",28115,9.8,2998,"2744 of 3140"
"Attala County",28007,10.2,1876,"2813 of 3140"
"Coahoma County",28027,10.4,2472,"2849 of 3140"
"Hinds County",28049,10.4,24920,"2854 of 3140"
"Lauderdale County",28075,10.4,8065,"2859 of 3140"
"Harrison County",28047,10.9,21656,"2928 of 3140"
"Forrest County",28035,11.0,8192,"2932 of 3140"
"Lafayette County",28071,11.9,6224,"3034 of 3140"
"Oktibbeha County",28105,13.0,6365,"3085 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
