------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Quitman County",28119,27.7,522,"3083 of 3141"
"Washington County",28151,28.4,3263,"3088 of 3141"
"Adams County",28001,29.5,2191,"3096 of 3141"
"Yazoo County",28163,30.4,1736,"3103 of 3141"
"Coahoma County",28027,30.9,1847,"3105 of 3141"
"Bolivar County",28011,31.4,2447,"3107 of 3141"
"Humphreys County",28053,33.0,652,"3116 of 3141"
"Noxubee County",28103,33.4,902,"3120 of 3141"
"Wilkinson County",28157,35.2,620,"3126 of 3141"
"Leflore County",28083,36.0,2304,"3127 of 3141"
"Issaquena County",28055,38.3,110,"3134 of 3141"
"Claiborne County",28021,39.4,771,"3135 of 3141"
"Holmes County",28051,41.3,1714,"3137 of 3141"
"Jefferson County",28063,42.4,670,"3139 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
