------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Tishomingo County",28141,34.1,6538,"2547 of 3141"
"Wayne County",28153,34.1,6876,"2552 of 3141"
"Lauderdale County",28075,34.2,25619,"2565 of 3141"
"Lincoln County",28085,34.6,11747,"2598 of 3141"
"Hinds County",28049,35.0,82152,"2632 of 3141"
"Choctaw County",28019,35.0,2858,"2635 of 3141"
"Tippah County",28139,35.4,7664,"2663 of 3141"
"Alcorn County",28003,35.6,13044,"2673 of 3141"
"Newton County",28101,36.0,7473,"2706 of 3141"
"Grenada County",28043,36.0,7559,"2708 of 3141"
"Amite County",28005,36.0,4492,"2712 of 3141"
"Attala County",28007,36.2,6670,"2727 of 3141"
"Forrest County",28035,36.4,26279,"2744 of 3141"
"Warren County",28149,36.4,17120,"2745 of 3141"
"Webster County",28155,36.4,3563,"2749 of 3141"
"Panola County",28107,36.8,12504,"2779 of 3141"
"Copiah County",28029,37.0,10316,"2790 of 3141"
"Yalobusha County",28161,37.3,4558,"2804 of 3141"
"Jones County",28067,37.4,25002,"2807 of 3141"
"Covington County",28031,37.4,7061,"2810 of 3141"
"Neshoba County",28099,38.1,11000,"2846 of 3141"
"Jasper County",28061,38.1,6276,"2848 of 3141"
"Montgomery County",28097,38.2,3884,"2854 of 3141"
"Leake County",28079,39.0,8643,"2885 of 3141"
"Calhoun County",28013,39.6,5653,"2901 of 3141"
"Winston County",28159,39.6,7152,"2904 of 3141"
"Perry County",28111,39.8,4751,"2909 of 3141"
"Simpson County",28127,40.2,10722,"2928 of 3141"
"Marion County",28091,40.9,10085,"2954 of 3141"
"Clay County",28025,41.0,8079,"2958 of 3141"
"Chickasaw County",28017,41.3,7021,"2965 of 3141"
"Tunica County",28143,42.1,4279,"2988 of 3141"
"Oktibbeha County",28105,42.4,18725,"2991 of 3141"
"Scott County",28123,42.7,11992,"3001 of 3141"
"Prentiss County",28117,42.8,10358,"3007 of 3141"
"Tallahatchie County",28135,42.9,4556,"3010 of 3141"
"Walthall County",28147,44.0,6303,"3028 of 3141"
"Noxubee County",28103,44.5,4751,"3039 of 3141"
"Pike County",28113,45.7,17619,"3059 of 3141"
"Adams County",28001,46.8,13623,"3071 of 3141"
"Washington County",28151,47.9,22740,"3084 of 3141"
"Sunflower County",28133,48.1,11061,"3087 of 3141"
"Yazoo County",28163,50.0,11666,"3094 of 3141"
"Kemper County",28069,50.4,4609,"3097 of 3141"
"Bolivar County",28011,51.2,16148,"3102 of 3141"
"Sharkey County",28125,51.4,2331,"3104 of 3141"
"Coahoma County",28027,52.4,12438,"3110 of 3141"
"Wilkinson County",28157,52.9,4241,"3113 of 3141"
"Jefferson Davis County",28065,53.0,6029,"3115 of 3141"
"Leflore County",28083,54.8,15765,"3120 of 3141"
"Quitman County",28119,56.9,4190,"3124 of 3141"
"Claiborne County",28021,58.0,4926,"3127 of 3141"
"Humphreys County",28053,59.2,5077,"3131 of 3141"
"Issaquena County",28055,59.3,620,"3132 of 3141"
"Jefferson County",28063,60.6,4255,"3133 of 3141"
"Holmes County",28051,64.0,11251,"3139 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
