------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Merrick County",31121,49.8,3898,"1760 of 3141"
"Sherman County",31163,49.8,1518,"1770 of 3141"
"Kimball County",31105,49.9,1840,"1848 of 3141"
"Buffalo County",31019,49.9,24367,"1856 of 3141"
"Hamilton County",31081,49.9,4566,"1863 of 3141"
"Rock County",31149,50.0,690,"1914 of 3141"
"Fillmore County",31059,50.0,2800,"1922 of 3141"
"Sarpy County",31153,50.0,87568,"1932 of 3141"
"Gage County",31067,50.0,10816,"1946 of 3141"
"Stanton County",31167,50.0,3013,"1985 of 3141"
"Nuckolls County",31129,50.1,2163,"2021 of 3141"
"Dawes County",31045,50.1,4495,"2027 of 3141"
"Holt County",31089,50.1,5157,"2030 of 3141"
"Pierce County",31139,50.1,3598,"2063 of 3141"
"Franklin County",31061,50.1,1514,"2066 of 3141"
"Antelope County",31003,50.2,3213,"2072 of 3141"
"Richardson County",31147,50.2,4036,"2083 of 3141"
"Morrill County",31123,50.2,2460,"2089 of 3141"
"Garden County",31069,50.2,960,"2101 of 3141"
"Lancaster County",31109,50.2,153788,"2112 of 3141"
"Cass County",31025,50.2,12813,"2132 of 3141"
"Boone County",31011,50.2,2691,"2146 of 3141"
"Phelps County",31137,50.2,4603,"2150 of 3141"
"Howard County",31093,50.3,3212,"2199 of 3141"
"Saunders County",31155,50.3,10546,"2219 of 3141"
"Seward County",31159,50.3,8582,"2230 of 3141"
"Hall County",31079,50.4,30843,"2252 of 3141"
"Dixon County",31051,50.4,2905,"2264 of 3141"
"Butler County",31023,50.4,4085,"2274 of 3141"
"Cuming County",31039,50.4,4557,"2285 of 3141"
"Frontier County",31063,50.5,1324,"2304 of 3141"
"Adams County",31001,50.6,15981,"2386 of 3141"
"Box Butte County",31013,50.6,5671,"2387 of 3141"
"Boyd County",31015,50.7,1038,"2407 of 3141"
"Platte County",31141,50.7,16662,"2423 of 3141"
"Keith County",31101,50.7,4121,"2429 of 3141"
"Wayne County",31179,50.7,4772,"2440 of 3141"
"Grant County",31075,50.7,346,"2450 of 3141"
"Perkins County",31135,50.8,1474,"2460 of 3141"
"Cedar County",31027,50.8,4349,"2476 of 3141"
"Blaine County",31009,51.0,256,"2535 of 3141"
"Red Willow County",31145,51.1,5552,"2563 of 3141"
"Saline County",31151,51.1,7320,"2572 of 3141"
"Keya Paha County",31103,51.1,368,"2579 of 3141"
"Dawson County",31047,51.1,12235,"2587 of 3141"
"McPherson County",31117,51.2,221,"2590 of 3141"
"Clay County",31035,51.2,3210,"2619 of 3141"
"Logan County",31113,51.3,471,"2624 of 3141"
"Sioux County",31165,51.5,647,"2683 of 3141"
"Hayes County",31085,51.6,494,"2706 of 3141"
"Colfax County",31037,52.1,5527,"2793 of 3141"
"Harlan County",31083,52.2,1811,"2815 of 3141"
"Wheeler County",31183,52.5,444,"2855 of 3141"
"Thomas County",31171,53.5,344,"2944 of 3141"
"Johnson County",31097,59.4,3087,"3098 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
