------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Sherman County",31163,24.0,120,"2465 of 3139"
"Wheeler County",31183,24.1,35,"2476 of 3139"
"Arthur County",31005,24.8,25,"2541 of 3139"
"Thomas County",31171,24.8,35,"2541 of 3139"
"Perkins County",31135,25.0,84,"2556 of 3139"
"Boyd County",31015,25.4,89,"2596 of 3139"
"Dakota County",31043,25.6,1010,"2606 of 3139"
"Saline County",31151,25.6,543,"2606 of 3139"
"Rock County",31149,25.9,57,"2625 of 3139"
"Sioux County",31165,27.2,68,"2741 of 3139"
"Colfax County",31037,27.9,508,"2793 of 3139"
"Greeley County",31077,28.2,117,"2810 of 3139"
"Dundy County",31057,29.7,85,"2878 of 3139"
"Keya Paha County",31103,31.0,45,"2947 of 3139"
"Chase County",31029,35.6,184,"3075 of 3139"
"Hayes County",31085,41.3,78,"3122 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
