------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Adams County",31001,1.7,518,"1445 of 3140"
"Rock County",31149,1.7,23,"1471 of 3140"
"Saline County",31151,1.7,242,"1487 of 3140"
"Harlan County",31083,1.7,59,"1529 of 3140"
"Thurston County",31173,1.8,122,"1556 of 3140"
"Gage County",31067,1.8,384,"1597 of 3140"
"Nuckolls County",31129,1.9,81,"1691 of 3140"
"Dawson County",31047,1.9,447,"1692 of 3140"
"York County",31185,2.0,268,"1750 of 3140"
"Stanton County",31167,2.0,120,"1790 of 3140"
"Hall County",31079,2.1,1244,"1838 of 3140"
"Madison County",31119,2.1,726,"1873 of 3140"
"Dodge County",31053,2.1,759,"1876 of 3140"
"Hitchcock County",31087,2.1,60,"1896 of 3140"
"Webster County",31181,2.1,76,"1897 of 3140"
"Phelps County",31137,2.2,202,"1974 of 3140"
"Pawnee County",31133,2.3,61,"2002 of 3140"
"Knox County",31107,2.3,194,"2033 of 3140"
"Jefferson County",31095,2.4,170,"2075 of 3140"
"Greeley County",31077,2.5,60,"2153 of 3140"
"Washington County",31177,2.5,513,"2178 of 3140"
"Scotts Bluff County",31157,2.7,956,"2252 of 3140"
"Otoe County",31131,2.7,422,"2279 of 3140"
"Lincoln County",31111,2.7,963,"2311 of 3140"
"Douglas County",31055,2.8,15305,"2354 of 3140"
"Lancaster County",31109,2.8,8570,"2358 of 3140"
"Custer County",31041,2.9,310,"2392 of 3140"
"Loup County",31115,3.1,16,"2473 of 3140"
"Hayes County",31085,3.1,29,"2493 of 3140"
"Morrill County",31123,3.1,153,"2508 of 3140"
"Buffalo County",31019,3.2,1534,"2535 of 3140"
"Seward County",31159,3.2,541,"2559 of 3140"
"Nemaha County",31127,3.3,229,"2589 of 3140"
"Chase County",31029,3.4,128,"2634 of 3140"
"Wayne County",31179,3.5,322,"2646 of 3140"
"Cherry County",31031,3.6,209,"2713 of 3140"
"Franklin County",31061,3.7,109,"2716 of 3140"
"Cedar County",31027,3.7,310,"2719 of 3140"
"Perkins County",31135,3.7,107,"2727 of 3140"
"Red Willow County",31145,3.8,414,"2759 of 3140"
"Cheyenne County",31033,3.9,383,"2771 of 3140"
"Sarpy County",31153,4.0,6917,"2798 of 3140"
"Hooker County",31091,4.2,29,"2846 of 3140"
"Sheridan County",31161,4.3,221,"2853 of 3140"
"Garden County",31069,4.3,82,"2867 of 3140"
"Kimball County",31105,4.6,166,"2913 of 3140"
"Banner County",31007,4.6,33,"2917 of 3140"
"Keith County",31101,5.0,405,"2970 of 3140"
"Dakota County",31043,5.1,1031,"2977 of 3140"
"Logan County",31113,6.2,55,"3053 of 3140"
"Deuel County",31049,6.4,121,"3064 of 3140"
"Thomas County",31171,6.7,43,"3070 of 3140"
"Dawes County",31045,8.0,714,"3115 of 3140"
"Dundy County",31057,13.0,258,"3137 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
