------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"Banner County",31007,92.2,671,"903 of 3141"
"Deuel County",31049,92.2,1753,"907 of 3141"
"Otoe County",31131,92.4,14668,"924 of 3141"
"Keith County",31101,93.2,7580,"1025 of 3141"
"Lancaster County",31109,93.3,285732,"1026 of 3141"
"Cheyenne County",31033,93.3,9343,"1033 of 3141"
"Hayes County",31085,94.1,901,"1150 of 3141"
"Kearney County",31099,94.2,6167,"1160 of 3141"
"Wayne County",31179,94.5,8887,"1210 of 3141"
"Phelps County",31137,94.6,8664,"1228 of 3141"
"Stanton County",31167,94.7,5702,"1259 of 3141"
"Thurston County",31173,94.9,6694,"1290 of 3141"
"Red Willow County",31145,95.1,10332,"1330 of 3141"
"York County",31185,95.1,13154,"1340 of 3141"
"Dawes County",31045,95.2,8542,"1359 of 3141"
"Polk County",31143,95.2,4993,"1360 of 3141"
"Sheridan County",31161,95.3,4996,"1383 of 3141"
"Webster County",31181,95.3,3429,"1384 of 3141"
"Holt County",31089,95.7,9853,"1478 of 3141"
"Merrick County",31121,95.9,7507,"1530 of 3141"
"Garden County",31069,96.1,1839,"1597 of 3141"
"Fillmore County",31059,96.1,5387,"1600 of 3141"
"Perkins County",31135,96.2,2793,"1607 of 3141"
"Sioux County",31165,96.2,1208,"1608 of 3141"
"Harlan County",31083,96.3,3340,"1634 of 3141"
"Furnas County",31065,96.3,4637,"1647 of 3141"
"Jefferson County",31095,96.4,7017,"1684 of 3141"
"Antelope County",31003,96.8,6202,"1806 of 3141"
"Hamilton County",31081,96.8,8859,"1811 of 3141"
"Cherry County",31031,96.9,5610,"1824 of 3141"
"Cass County",31025,96.9,24726,"1841 of 3141"
"Butler County",31023,97.0,7859,"1869 of 3141"
"Logan County",31113,97.1,892,"1907 of 3141"
"Hooker County",31091,97.1,664,"1911 of 3141"
"Custer County",31041,97.1,10521,"1916 of 3141"
"Washington County",31177,97.2,19838,"1956 of 3141"
"Valley County",31175,97.2,4133,"1969 of 3141"
"Burt County",31021,97.3,6368,"2014 of 3141"
"Nemaha County",31127,97.4,6858,"2068 of 3141"
"Nuckolls County",31129,97.4,4206,"2071 of 3141"
"Knox County",31107,97.4,8277,"2077 of 3141"
"Nance County",31125,97.5,3479,"2107 of 3141"
"Howard County",31093,97.5,6224,"2108 of 3141"
"Seward County",31159,97.5,16623,"2131 of 3141"
"Thayer County",31169,97.7,5016,"2230 of 3141"
"Gage County",31067,97.7,21142,"2236 of 3141"
"Saunders County",31155,97.9,20511,"2320 of 3141"
"Garfield County",31071,97.9,1917,"2331 of 3141"
"Franklin County",31061,97.9,2957,"2354 of 3141"
"Sherman County",31163,98.0,2986,"2360 of 3141"
"Gosper County",31073,98.0,1978,"2361 of 3141"
"Greeley County",31077,98.0,2387,"2369 of 3141"
"Boone County",31011,98.0,5251,"2398 of 3141"
"Richardson County",31147,98.1,7891,"2430 of 3141"
"Grant County",31075,98.1,669,"2433 of 3141"
"Pawnee County",31133,98.2,2655,"2485 of 3141"
"Cedar County",31027,98.3,8415,"2558 of 3141"
"Pierce County",31139,98.4,7060,"2607 of 3141"
"Frontier County",31063,98.6,2587,"2747 of 3141"
"Brown County",31017,98.8,3021,"2856 of 3141"
"Keya Paha County",31103,98.9,712,"2893 of 3141"
"Rock County",31149,99.1,1368,"2949 of 3141"
"McPherson County",31117,99.1,428,"2955 of 3141"
"Hitchcock County",31087,99.2,2838,"3003 of 3141"
"Boyd County",31015,99.3,2034,"3014 of 3141"
"Wheeler County",31183,99.3,840,"3017 of 3141"
"Thomas County",31171,99.4,639,"3039 of 3141"
"Arthur County",31005,100.0,421,"3133 of 3141"
"Blaine County",31009,100.0,502,"3133 of 3141"
"Loup County",31115,100.0,537,"3133 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
