------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Holt County",31089,0.5,51,"1893 of 3141"
"Otoe County",31131,0.5,82,"1842 of 3141"
"Sheridan County",31161,0.5,28,"1797 of 3141"
"Box Butte County",31013,0.5,61,"1767 of 3141"
"Sherman County",31163,0.6,17,"1746 of 3141"
"Seward County",31159,0.6,105,"1629 of 3141"
"Cass County",31025,0.6,161,"1597 of 3141"
"Platte County",31141,0.6,209,"1584 of 3141"
"Gosper County",31073,0.6,13,"1571 of 3141"
"Lincoln County",31111,0.6,230,"1569 of 3141"
"Colfax County",31037,0.7,70,"1546 of 3141"
"Thurston County",31173,0.7,50,"1444 of 3141"
"Scotts Bluff County",31157,0.7,260,"1440 of 3141"
"Nemaha County",31127,0.7,51,"1421 of 3141"
"Dodge County",31053,0.8,287,"1318 of 3141"
"Kimball County",31105,0.8,29,"1315 of 3141"
"Custer County",31041,0.8,86,"1307 of 3141"
"Cheyenne County",31033,0.8,81,"1285 of 3141"
"Gage County",31067,0.8,183,"1247 of 3141"
"Webster County",31181,0.9,31,"1223 of 3141"
"Johnson County",31097,0.9,45,"1218 of 3141"
"Boyd County",31015,0.9,18,"1207 of 3141"
"Garden County",31069,0.9,17,"1188 of 3141"
"Madison County",31119,1.1,385,"976 of 3141"
"Nuckolls County",31129,1.2,51,"914 of 3141"
"Buffalo County",31019,1.3,630,"827 of 3141"
"Keith County",31101,1.4,112,"785 of 3141"
"Adams County",31001,1.4,454,"748 of 3141"
"Hall County",31079,1.5,931,"698 of 3141"
"Blaine County",31009,2.0,10,"539 of 3141"
"Sarpy County",31153,2.6,4554,"403 of 3141"
"Saline County",31151,3.0,430,"333 of 3141"
"Dawes County",31045,3.1,280,"310 of 3141"
"Dakota County",31043,3.2,647,"307 of 3141"
"Douglas County",31055,3.5,19205,"271 of 3141"
"Lancaster County",31109,4.3,13179,"205 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
