------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Boone County",31011,0.1,3,"613 of 3140"
"Nemaha County",31127,0.1,4,"620 of 3140"
"Clay County",31035,0.1,4,"669 of 3140"
"Hamilton County",31081,0.1,6,"686 of 3140"
"Washington County",31177,0.1,14,"709 of 3140"
"Hitchcock County",31087,0.1,2,"720 of 3140"
"Fillmore County",31059,0.1,4,"731 of 3140"
"Rock County",31149,0.1,1,"740 of 3140"
"Scotts Bluff County",31157,0.1,29,"799 of 3140"
"Saunders County",31155,0.1,17,"807 of 3140"
"Webster County",31181,0.1,3,"823 of 3140"
"Polk County",31143,0.1,5,"898 of 3140"
"Sherman County",31163,0.1,3,"919 of 3140"
"Cheyenne County",31033,0.1,10,"932 of 3140"
"Hayes County",31085,0.1,1,"963 of 3140"
"York County",31185,0.1,15,"983 of 3140"
"Madison County",31119,0.1,39,"1007 of 3140"
"Seward County",31159,0.1,19,"1012 of 3140"
"Lincoln County",31111,0.1,40,"1022 of 3140"
"Johnson County",31097,0.1,6,"1037 of 3140"
"Holt County",31089,0.1,14,"1188 of 3140"
"Dawes County",31045,0.1,13,"1238 of 3140"
"Furnas County",31065,0.1,7,"1240 of 3140"
"Cedar County",31027,0.2,13,"1291 of 3140"
"Gage County",31067,0.2,33,"1292 of 3140"
"Antelope County",31003,0.2,10,"1311 of 3140"
"Deuel County",31049,0.2,3,"1316 of 3140"
"Keith County",31101,0.2,14,"1425 of 3140"
"Custer County",31041,0.2,19,"1448 of 3140"
"Merrick County",31121,0.2,14,"1472 of 3140"
"Dawson County",31047,0.2,43,"1477 of 3140"
"Boyd County",31015,0.2,4,"1563 of 3140"
"Dodge County",31053,0.2,77,"1636 of 3140"
"Pawnee County",31133,0.2,6,"1692 of 3140"
"Otoe County",31131,0.2,36,"1723 of 3140"
"Greeley County",31077,0.2,6,"1813 of 3140"
"Butler County",31023,0.3,20,"1815 of 3140"
"Red Willow County",31145,0.3,27,"1818 of 3140"
"Knox County",31107,0.3,22,"1865 of 3140"
"Dakota County",31043,0.3,53,"1873 of 3140"
"Platte County",31141,0.3,86,"1877 of 3140"
"Buffalo County",31019,0.3,144,"2009 of 3140"
"Adams County",31001,0.3,96,"2043 of 3140"
"Thomas County",31171,0.3,2,"2050 of 3140"
"Nuckolls County",31129,0.4,15,"2190 of 3140"
"Cass County",31025,0.4,89,"2197 of 3140"
"Perkins County",31135,0.4,12,"2349 of 3140"
"Phelps County",31137,0.4,41,"2415 of 3140"
"Arthur County",31005,0.5,2,"2463 of 3140"
"Saline County",31151,0.5,71,"2499 of 3140"
"Thurston County",31173,0.5,36,"2539 of 3140"
"Dundy County",31057,0.6,11,"2609 of 3140"
"Chase County",31029,0.6,23,"2680 of 3140"
"Douglas County",31055,0.6,3346,"2686 of 3140"
"Kimball County",31105,0.6,23,"2701 of 3140"
"Sarpy County",31153,0.7,1162,"2750 of 3140"
"Lancaster County",31109,0.8,2479,"2871 of 3140"
"Hall County",31079,0.9,537,"2918 of 3140"
"Brown County",31017,1.2,37,"3013 of 3140"
"Colfax County",31037,2.0,208,"3099 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
