------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Lincoln County",31111,2.3,345,"1204 of 3141"
"Pawnee County",31133,2.3,29,"1160 of 3141"
"Dixon County",31051,2.4,55,"1123 of 3141"
"Logan County",31113,2.5,9,"1062 of 3141"
"Butler County",31023,2.5,84,"1049 of 3141"
"Platte County",31141,2.5,329,"987 of 3141"
"Blaine County",31009,2.6,6,"959 of 3141"
"Knox County",31107,2.7,99,"883 of 3141"
"Wayne County",31179,2.8,102,"811 of 3141"
"Madison County",31119,2.8,404,"805 of 3141"
"Sheridan County",31161,3.0,69,"749 of 3141"
"Dawes County",31045,3.1,111,"675 of 3141"
"McPherson County",31117,3.6,7,"477 of 3141"
"Saline County",31151,3.8,195,"420 of 3141"
"Hall County",31079,4.5,1019,"288 of 3141"
"Dawson County",31047,4.7,415,"256 of 3141"
"Colfax County",31037,7.0,256,"108 of 3141"
"Dakota County",31043,7.1,524,"103 of 3141"
"Thurston County",31173,11.8,253,"27 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
