------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Seward County",31159,17.5,2728,"443 of 3141"
"Cuming County",31039,17.7,1565,"459 of 3141"
"Otoe County",31131,17.7,2753,"460 of 3141"
"York County",31185,17.8,2296,"475 of 3141"
"Holt County",31089,17.9,1808,"479 of 3141"
"Kearney County",31099,17.9,1151,"481 of 3141"
"Gage County",31067,18.3,3885,"520 of 3141"
"Chase County",31029,18.5,684,"541 of 3141"
"Thayer County",31169,18.6,926,"555 of 3141"
"Box Butte County",31013,18.7,2059,"580 of 3141"
"Merrick County",31121,19.2,1464,"628 of 3141"
"Garden County",31069,19.2,359,"633 of 3141"
"Lincoln County",31111,19.6,6801,"690 of 3141"
"Thomas County",31171,19.8,127,"707 of 3141"
"Stanton County",31167,20.0,1194,"743 of 3141"
"Nemaha County",31127,20.0,1304,"745 of 3141"
"Greeley County",31077,20.4,491,"801 of 3141"
"Sherman County",31163,20.5,612,"818 of 3141"
"Boyd County",31015,20.8,416,"846 of 3141"
"Deuel County",31049,20.8,388,"848 of 3141"
"Wheeler County",31183,20.9,177,"868 of 3141"
"Johnson County",31097,21.0,839,"878 of 3141"
"Jefferson County",31095,21.1,1509,"893 of 3141"
"Logan County",31113,21.1,192,"894 of 3141"
"Adams County",31001,21.1,6281,"897 of 3141"
"Knox County",31107,21.2,1747,"905 of 3141"
"Banner County",31007,21.3,155,"921 of 3141"
"Webster County",31181,21.3,742,"923 of 3141"
"Clay County",31035,21.3,1312,"926 of 3141"
"Nance County",31125,21.5,744,"946 of 3141"
"Garfield County",31071,21.6,411,"954 of 3141"
"Hooker County",31091,21.7,142,"970 of 3141"
"Wayne County",31179,21.8,1774,"985 of 3141"
"Keith County",31101,22.0,1771,"1017 of 3141"
"McPherson County",31117,22.2,96,"1036 of 3141"
"Douglas County",31055,22.3,119855,"1046 of 3141"
"Custer County",31041,22.4,2384,"1063 of 3141"
"Valley County",31175,22.4,937,"1067 of 3141"
"Lancaster County",31109,22.5,65825,"1073 of 3141"
"Arthur County",31005,22.8,96,"1118 of 3141"
"Dodge County",31053,22.8,8113,"1126 of 3141"
"Dawes County",31045,23.0,1810,"1142 of 3141"
"Cherry County",31031,23.1,1314,"1147 of 3141"
"Antelope County",31003,23.1,1456,"1149 of 3141"
"Sioux County",31165,23.1,290,"1156 of 3141"
"Burt County",31021,23.2,1495,"1169 of 3141"
"Hall County",31079,23.3,14013,"1194 of 3141"
"Franklin County",31061,23.6,695,"1227 of 3141"
"Harlan County",31083,23.8,814,"1254 of 3141"
"Buffalo County",31019,23.8,11032,"1256 of 3141"
"Colfax County",31037,24.0,2478,"1280 of 3141"
"Morrill County",31123,24.0,1133,"1282 of 3141"
"Nuckolls County",31129,24.3,1019,"1336 of 3141"
"Hayes County",31085,24.6,235,"1370 of 3141"
"Richardson County",31147,24.7,1950,"1407 of 3141"
"Dawson County",31047,24.9,5852,"1425 of 3141"
"Saline County",31151,25.1,3345,"1460 of 3141"
"Furnas County",31065,25.3,1188,"1487 of 3141"
"Madison County",31119,25.6,8696,"1532 of 3141"
"Scotts Bluff County",31157,25.8,9174,"1551 of 3141"
"Dakota County",31043,26.5,5385,"1666 of 3141"
"Red Willow County",31145,26.6,2776,"1677 of 3141"
"Kimball County",31105,27.2,987,"1771 of 3141"
"Sheridan County",31161,28.4,1469,"1935 of 3141"
"Hitchcock County",31087,28.9,808,"1996 of 3141"
"Brown County",31017,29.7,891,"2096 of 3141"
"Dundy County",31057,29.9,591,"2133 of 3141"
"Grant County",31075,31.3,205,"2293 of 3141"
"Pawnee County",31133,32.7,871,"2424 of 3141"
"Thurston County",31173,42.4,2949,"2990 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
